vendor_id,vendor_name,roadmap_url,roadmap_title,roadmap_type,publish_date,last_verified_date,coverage_notes,downloadable,local_file,status,deprecated_at,deprecated_reason
VND-001,Amazon Web Services Inc.,https://aws.amazon.com/security/post-quantum-cryptography/migrating-to-post-quantum-cryptography/,AWS Post-Quantum Cryptography Migration Plan,official_doc,2026-04-23,2026-06-06,"AWS PQC migration plan: ML-KEM (FIPS 203) key exchange enabled across KMS, ACM, Secrets Manager, S3, CloudFront, API Gateway, ALB/NLB, Transfer Family, Payment Cryptography; ML-DSA (FIPS 204) signatures in AWS Private CA and KMS, CloudHSM ML-DSA in preview. Built on AWS-LC and s2n-tls. Some features transparently enabled, others customer-opt-in under shared responsibility model. | Milestone: ML-KEM hybrid key exchange live across KMS, ACM, Secrets Manager, S3, CloudFront (default client-to-edge), API Gateway, ALB/NLB, Transfer Family, Payment Cryptography; ML-DSA signing in Private CA and KMS,",yes,public/vendor-roadmaps/VND-001_Amazon_Web_Services_Inc..html,active,,
VND-002,Apple Inc.,https://support.apple.com/guide/security/quantum-secure-cryptography-apple-devices-secc7c82e533/web,Quantum-secure cryptography in Apple operating systems,official_doc,2024-02-21,,,yes,public/vendor-roadmaps/VND-002_Apple_Inc..html,active,,
VND-005,BlackBerry Limited,https://www.prnewswire.com/news-releases/blackberry-and-nxp-join-forces-to-help-companies-prepare-for-and-prevent-y2q-post-quantum-cyber-attacks-301554427.html,BlackBerry & NXP: Preparing Against Y2Q Post-Quantum Cyber Attacks (Certicom + QNX),press_release,2022-05-25,2026-06-06,"BlackBerry has no single consolidated PQC roadmap page; its PQC work runs through the Certicom division and QNX. Official BlackBerry/NXP press release describes Certicom Code Signing & Key Management Server using CRYSTALS-Dilithium (ML-DSA) for quantum-resistant code/firmware/OTA signing and SBOMs on NXP S32G; QNX secure boot uses quantum-safe signatures. BlackBerry/Certicom states it is deploying finalized NIST standards (ML-KEM, ML-DSA, SLH-DSA, HQC). | Milestone: BlackBerry Certicom Code Signing and Key Management Server uses CRYSTALS-Dilithium (ML-DSA) for quantum-resistant secure boot, fi",yes,public/vendor-roadmaps/VND-005_BlackBerry_Limited.html,active,,
VND-008,Cisco Systems Inc.,https://blogs.cisco.com/security/preparing-for-post-quantum-cryptography-the-secure-firewall-roadmap,Cisco Secure Firewall: Post-Quantum Cryptography Roadmap,official_doc,2026-04-13,2026-06-06,"Cisco Secure Firewall PQC roadmap: ML-KEM arrives in FTD 10.5 / ASA 9.25 (GA late 2026) for IPsec VPN and SKIP key management; ML-DSA and SLH-DSA planned for FTD/ASA 11.0 in H2 2027 with broader TLS decryption, Remote Access VPN and management access. Driven by NSA NSS Jan 2027 purchase requirements and CNSA 2.0 deadlines through 2035. Broader Cisco PQC spans IOS XE/XR, Meraki, Webex, AnyConnect. | Milestone: ML-KEM in Secure Firewall Threat Defense (FTD) 10.5 and ASA 9.25 targeted GA late 2026 (IPsec VPN + SKIP key management); ML-DSA/SLH-DSA planned for FTD/ASA 11.0 in H2 CY2027 with broader",yes,public/vendor-roadmaps/VND-008_Cisco_Systems_Inc..html,active,,
VND-012,DigiCert Inc.,https://www.digicert.com/post-quantum-cryptography,DigiCert Post-Quantum Cryptography — Trust Lifecycle Manager,product_page,2025-01-01,2026-06-06,"DigiCert PQC product page centered on Trust Lifecycle Manager (DigiCert ONE) and crypto-agility: discover, inventory and manage certificates at scale to prepare for ML-KEM/ML-DSA migration. Supporting resources include PQC test servers/playgrounds (DigiCert Labs), a 'PQC for Dummies' ebook and readiness webinars. Page is undated and gives no explicit per-algorithm GA timeline. | Milestone: DigiCert positions Trust Lifecycle Manager (DigiCert ONE) for crypto-agility — continuous certificate discovery/inventory and at-scale management to enable transition to NIST ML-KEM/ML-DSA; provides PQC test",yes,public/vendor-roadmaps/VND-012_DigiCert_Inc..html,active,,
VND-013,Entrust Corporation,https://www.entrust.com/solutions/post-quantum-cryptography,Entrust Post-Quantum Cryptography Solutions,official_doc,2024-01-01,2026-06-06,"Entrust PQC solutions page covering nShield HSMs, KeyControl, PKI and Certificate Services, and identity solutions for the quantum-safe transition (NIST ML-KEM/ML-DSA). Content could not be re-read this pass due to a server block. | Milestone: Entrust quantum-safe portfolio across nShield HSMs, KeyControl, PKI/Certificate Services and identity solutions supporting NIST ML-KEM/ML-DSA; specific dated milestones not confirmable this pass.",true,public/vendor-roadmaps/VND-013_Entrust_Corporation.html,active,,
VND-014,F5 Networks Inc.,https://www.f5.com/company/blog/f5-big-ip-v21-1-is-now-generally-available-bringing-pqc-and-ai-security-enhancements,F5 BIG-IP v21.1 GA: Post-Quantum Cryptography & AI Security Enhancements,blog_post,2026-05-06,2026-06-06,"F5 PQC readiness: BIG-IP began hybrid X25519+ML-KEM-768 TLS 1.3 in v17.5.0/17.5.1; v21.1 (GA 2026-05-06) adds FIPS 203 ML-KEM hybrid cipher groups SecP256r1ML-KEM-768 and SecP384r1ML-KEM-1024 for client/server TLS and quantum-resistant TLS/SSL VPN tunneling. NGINX Plus enables PQC for APIs/microservices; SSL Orchestrator centralizes quantum-safe management; F5 Distributed Cloud included. | Milestone: BIG-IP v21.1 (GA May 2026) adds NIST FIPS 203 ML-KEM hybrid cipher groups SecP256r1ML-KEM-768 and SecP384r1ML-KEM-1024 for client- and server-side TLS, plus quantum-resistant TLS/SSL VPN tunneling",yes,public/vendor-roadmaps/VND-014_F5_Networks_Inc..html,active,,
VND-016,Fortinet Inc.,https://www.fortinet.com/solutions/quantum-security,Fortinet Quantum Security Solutions,official_doc,2025-07-22,,,yes,public/vendor-roadmaps/VND-016_Fortinet_Inc..html,active,,
VND-017,Futurex Inc.,https://www.futurex.com/news/futurex-announces-post-quantum-hybrid-certificate-authority-solution,Futurex Post-Quantum Hybrid Certificate Authority Solution,blog_post,2026-06-05,,,yes,public/vendor-roadmaps/VND-017_Futurex_Inc..html,active,,
VND-018,Google LLC,https://cloud.google.com/security/resources/post-quantum-cryptography,Google Cloud Post-Quantum Cryptography,official_doc,2025-10-01,2026-06-06,"Google Cloud PQC: ML-KEM migrated for internal/network traffic and default Cloud network encryption; Cloud KMS quantum-safe digital signatures (ML-DSA-65, SLH-DSA-SHA2-128S) preview Feb 2025 and KEM support preview Oct 2025, committing to FIPS 203/204/205 in both Cloud KMS (software) and Cloud HSM (hardware). Implementations open-sourced via BoringCrypto/BoringSSL and Tink (HPKE for Java/C++/Go/Python). Chrome and Android PQC support. Infra connection rollout targeted 2026. | Milestone: Quantum-safe KEMs in Cloud KMS in preview (Oct 2025); quantum-safe digital signatures (ML-DSA-65, SLH-DSA-SH",yes,public/vendor-roadmaps/VND-018_Google_LLC.html,active,,
