lesson_id,playground,playground_label,lesson_key,title,summary,quiz_question_count,source_file,learning_objective,spec_refs,spec_refs_source,last_reviewed,reviewed_by,status,deprecated_at,deprecated_reason
kmip3:async,kmip3,KMIP 3.0,async,"Ask now, answer later: asynchronous jobs","Enqueue an op as a real background job, then Poll its correlation value.",3,src/components/Playground/kmip/kmip3/learnLessons.ts,"Enqueue asynchronous jobs, poll correlation values, and manage background tasks using KMIP asynchronous processing operations.",KMIP 3.0,explicit,,,active,,
kmip3:certificate-services,kmip3,KMIP 3.0,certificate-services,"Certificate Services: a real X.509 CA, PQC included","Certify / Re-certify / Validate — pure Rust, ML-DSA and SLH-DSA chains included.",4,src/components/Playground/kmip/kmip3/learnLessons.ts,Validate X.509 certificates using ECDSA and ML-DSA algorithms and detect tampering via Validity Indicators.,FIPS 204,explicit,,,active,,
kmip3:hbs,kmip3,KMIP 3.0,hbs,A new option: hash-based signatures,"SLH-DSA has no classical predecessor — a conservative addition, not a replacement.",3,src/components/Playground/kmip/kmip3/learnLessons.ts,"Generate and verify signatures using SLH-DSA to implement a conservative, hash-based cryptographic hedge alongside lattice-based schemes.",FIPS 205,explicit,,,active,,
kmip3:honesty,kmip3,KMIP 3.0,honesty,An honest HSM: claims you can check,"Destroy really scrubs, read-only refuses, Locate really filters.",4,src/components/Playground/kmip/kmip3/learnLessons.ts,"Verify HSM honesty by confirming read-only refusals, secure key destruction, and accurate Locate filtering.",KMIP 3.0 CSD02,inherited,,,active,,
kmip3:hybrid,kmip3,KMIP 3.0,hybrid,Hedging your bets: hybrid key establishment,"X25519MLKEM768 — one op, two algorithms, secure if either survives.",3,src/components/Playground/kmip/kmip3/learnLessons.ts,Execute hybrid key encapsulation using X25519MLKEM768 to ensure security if either classical or post-quantum algorithms fail.,KMIP 3.0,explicit,,,active,,
kmip3:kem,kmip3,KMIP 3.0,kem,Key establishment,"ECDH → ML-KEM-768 — same goal, a completely different wire shape.",3,src/components/Playground/kmip/kmip3/learnLessons.ts,Implement ML-KEM-768 key establishment using KMIP Encapsulate and Decapsulate operations to replace classical ECDH workflows.,FIPS 203; KMIP 3.0,explicit,,,active,,
kmip3:provision,kmip3,KMIP 3.0,provision,Provisioning a key,CreateKeyPair → Activate — the object model everything else builds on.,3,src/components/Playground/kmip/kmip3/learnLessons.ts,Provision and activate RSA-3072 and ML-DSA-65 key pairs using KMIP CreateKeyPair and Activate operations.,FIPS 204,explicit,,,active,,
kmip3:sign,kmip3,KMIP 3.0,sign,Sign & verify,RSA-3072 / ECDSA → ML-DSA-65 — the biggest visible size jump under PQC.,3,src/components/Playground/kmip/kmip3/learnLessons.ts,Compare RSA-3072 and ML-DSA-65 signature sizes to identify required buffer expansions for post-quantum migration.,FIPS 204,explicit,,,active,,
kmip3:splitkey,kmip3,KMIP 3.0,splitkey,Split custody: M-of-N key shares,Split a key into 5 shares where any 3 recover it — and 2 honestly cannot.,3,src/components/Playground/kmip/kmip3/learnLessons.ts,Split a key into shares and reconstruct it using a threshold while verifying that fewer shares fail.,KMIP 3.0,explicit,,,active,,
kmip3:symmetric,kmip3,KMIP 3.0,symmetric,Myth-buster: AES-256 doesn't need to change,"The shortest lesson here, on purpose — the answer is ""nothing changes.""",3,src/components/Playground/kmip/kmip3/learnLessons.ts,Explain why AES-256 requires no changes for post-quantum security and prioritize migration budgets for asymmetric cryptography.,KMIP 3.0 CSD02,inherited,,,active,,
