phase,phase_name,phase_mission,phase_todo,phase_produces,level,level_name,goal
p0,Executive Mandate,"Get leadership to commit — turn the quantum threat into a funded, governed program.",Make the business case and brief the board | Secure a multi-year budget (not a one-off) | Stand up governance: a SteerCo + a Quantum-Readiness Program Manager (QRPM) | Approve a charter and a first-cut scope (your top-20 systems),Approved charter | Multi-year budget | Governance (SteerCo / QRPM) | Board deck,0,Unaware,No executive awareness of quantum risk; no budget discussion
p0,Executive Mandate,"Get leadership to commit — turn the quantum threat into a funded, governed program.",Make the business case and brief the board | Secure a multi-year budget (not a one-off) | Stand up governance: a SteerCo + a Quantum-Readiness Program Manager (QRPM) | Approve a charter and a first-cut scope (your top-20 systems),Approved charter | Multi-year budget | Governance (SteerCo / QRPM) | Board deck,1,Aware,Quantum risk acknowledged; no formal program
p0,Executive Mandate,"Get leadership to commit — turn the quantum threat into a funded, governed program.",Make the business case and brief the board | Secure a multi-year budget (not a one-off) | Stand up governance: a SteerCo + a Quantum-Readiness Program Manager (QRPM) | Approve a charter and a first-cut scope (your top-20 systems),Approved charter | Multi-year budget | Governance (SteerCo / QRPM) | Board deck,2,Initiated,Charter approved; QRPM appointed; Year 1 budget secured
p0,Executive Mandate,"Get leadership to commit — turn the quantum threat into a funded, governed program.",Make the business case and brief the board | Secure a multi-year budget (not a one-off) | Stand up governance: a SteerCo + a Quantum-Readiness Program Manager (QRPM) | Approve a charter and a first-cut scope (your top-20 systems),Approved charter | Multi-year budget | Governance (SteerCo / QRPM) | Board deck,3,Progressing,Multi-year budget committed; SteerCo operational; scoping assessment complete
p0,Executive Mandate,"Get leadership to commit — turn the quantum threat into a funded, governed program.",Make the business case and brief the board | Secure a multi-year budget (not a one-off) | Stand up governance: a SteerCo + a Quantum-Readiness Program Manager (QRPM) | Approve a charter and a first-cut scope (your top-20 systems),Approved charter | Multi-year budget | Governance (SteerCo / QRPM) | Board deck,4,Advanced,Program integrated into enterprise risk register; quantum risk reported to board quarterly alongside other strategic risks
p1,Discovery & Inventory,Find all your cryptography — you can't migrate what you can't see.,"Scope by risk, then discover across three tracks (passive, active, source-integration) | Run automated discovery on your Priority-A systems | Cross-reference multiple sources (CMDB, SBOM, scanners) — not just one tool | Don't forget OT, and capture your classical-crypto findings too",Scoping doc | Cryptographic asset inventory (≥70% of Tier-1) | Sensitive-data map | Systems register,0,Unaware,No cryptographic inventory exists; no awareness of the need
p1,Discovery & Inventory,Find all your cryptography — you can't migrate what you can't see.,"Scope by risk, then discover across three tracks (passive, active, source-integration) | Run automated discovery on your Priority-A systems | Cross-reference multiple sources (CMDB, SBOM, scanners) — not just one tool | Don't forget OT, and capture your classical-crypto findings too",Scoping doc | Cryptographic asset inventory (≥70% of Tier-1) | Sensitive-data map | Systems register,1,Aware,"Partial manual inventory of obvious systems (web servers, VPN); CMDB-only asset register; no continuous discovery"
p1,Discovery & Inventory,Find all your cryptography — you can't migrate what you can't see.,"Scope by risk, then discover across three tracks (passive, active, source-integration) | Run automated discovery on your Priority-A systems | Cross-reference multiple sources (CMDB, SBOM, scanners) — not just one tool | Don't forget OT, and capture your classical-crypto findings too",Scoping doc | Cryptographic asset inventory (≥70% of Tier-1) | Sensitive-data map | Systems register,2,Initiated,Risk-driven scoping complete; automated discovery deployed on Priority A systems; ≥70% Tier-1 coverage; inventory is queryable; classical vulnerabilities being remediated; multiple asset data sources cross-referenced
p1,Discovery & Inventory,Find all your cryptography — you can't migrate what you can't see.,"Scope by risk, then discover across three tracks (passive, active, source-integration) | Run automated discovery on your Priority-A systems | Cross-reference multiple sources (CMDB, SBOM, scanners) — not just one tool | Don't forget OT, and capture your classical-crypto findings too",Scoping doc | Cryptographic asset inventory (≥70% of Tier-1) | Sensitive-data map | Systems register,3,Progressing,"≥90% coverage; continuous discovery in CI/CD and passive monitoring; integrated with CMDB, SBOM, BIA, and certificate management; change management integration live; crypto champions designated; alerting framework operational"
p1,Discovery & Inventory,Find all your cryptography — you can't migrate what you can't see.,"Scope by risk, then discover across three tracks (passive, active, source-integration) | Run automated discovery on your Priority-A systems | Cross-reference multiple sources (CMDB, SBOM, scanners) — not just one tool | Don't forget OT, and capture your classical-crypto findings too",Scoping doc | Cryptographic asset inventory (≥70% of Tier-1) | Sensitive-data map | Systems register,4,Advanced,"Real-time cryptographic posture monitoring with tiered alerting; automated drift detection; coverage spans IT, OT, cloud, and third-party; discovery effectiveness metrics tracked and reported; discovery gap register trending toward zero"
