category,id,label,description,industries,hndl_relevance,migration_priority,retention_years,compliance_deadline,compliance_notes,countries,data_quality_notes,confidence_score,status,deprecated_at,deprecated_reason
TLS,TLS/HTTPS,Securing web and API traffic with TLS,Telecommunications;Technology;Finance & Banking;Retail & E-Commerce;Education;Healthcare,6,10,10,,2025-12-31,NSA CNSA 2.0 requires ML-KEM for key exchange and ML-DSA for TLS authentication by 2025. IETF RFC 9370 defines hybrid PQC key exchange.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
DATA-REST,Data-at-rest encryption,Encrypting stored data and files,Healthcare;Finance & Banking;Government & Defense;Education;Energy & Utilities,9,7,7,,2030-12-31,NIST recommends AES-256 for symmetric encryption (quantum-resistant). Migration focus is key wrapping and key management algorithms.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
SIGNING,Digital signatures / code signing,Signing software and documents cryptographically,Government & Defense;Technology;Aerospace;Finance & Banking,3,8,9,,2026-12-31,NSA CNSA 2.0 requires ML-DSA for code signing by 2026. NIST FIPS 204 and FIPS 205 (SLH-DSA) applicable.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
KEY-EXCHANGE,Key exchange / agreement,Establishing shared secret keys between parties,Government & Defense;Finance & Banking;Telecommunications,8,9,10,,2025-12-31,"NSA CNSA 2.0, NIST SP 800-56C Rev 3. Transition to ML-KEM-768 or ML-KEM-1024 for all key agreement protocols.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
AUTH,Authentication / identity,User and machine identity verification,Government & Defense;Technology;Finance & Banking;Education;Healthcare;Retail & E-Commerce,4,7,8,,2027-12-31,NIST FIPS 204 (ML-DSA) for digital signatures. Federal PIV/CAC: NIST SP 800-73-5 requires PQC-capable certificates.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
BLOCKCHAIN,Blockchain / cryptocurrency,Distributed ledger and digital asset cryptography,Finance & Banking;Technology,5,6,6,,2032-12-31,NIST guidance on PQC for distributed ledgers. ~25M BTC addresses with exposed public keys at risk from HNDL + CRQC.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
EMAIL-ENC,"Email encryption (S/MIME, PGP)",Encrypting and signing email communications,Government & Defense;Finance & Banking;Healthcare,7,5,6,,2030-12-31,IETF draft-ietf-lamps-pq-composite-sigs for S/MIME PQC. OpenPGP PQC draft (draft-ietf-openpgp-pqc) in progress.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
VPN,VPN / IPSec,Encrypted network tunnels and site-to-site VPNs,Government & Defense;Technology;Energy & Utilities;Telecommunications,7,8,9,,2026-12-31,"NSA CNSA 2.0, IETF RFC 9370 hybrid PQC IKEv2. StrongSwan and OpenVPN support via liboqs.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
IOT,IoT device communication,Cryptographic communication for connected devices,Automotive;Energy & Utilities;Telecommunications,5,6,6,,2030-12-31,NIST IR 8259A (IoT baseline security). ML-KEM-512 or BIKE for resource-constrained IoT devices.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
DB-ENC,Database encryption,Encrypting database contents and backups,Healthcare;Finance & Banking;Retail & E-Commerce;Education,8,7,7,,2030-12-31,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
SIM-ESIM,SIM/eSIM provisioning,Cryptographic provisioning of cellular subscriber identities,Telecommunications,8,9,9,,2030-12-31,GSMA SGP.22 RSP spec. Long SIM lifecycle (5-10 years) demands PQC in provisioning infrastructure. 3GPP SA3 PQC work item active.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
5G-SLICING,5G network slicing security,PQC for network slice authentication and isolation in 5G,Telecommunications,7,8,8,,2030-12-31,3GPP TS 33.501 5G security architecture. ETSI NFV SEC group active on PQC requirements for network function virtualization.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
SS7,SS7/Diameter protocol security,Signaling protocol integrity for telecom core networks,Telecommunications,6,8,8,,2030-12-31,GSMA FS.11 SS7 security. Telecom core signaling uses long-lived session keys requiring PQC for harvest-now-decrypt-later protection.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
SWIFT-MSG,SWIFT messaging integrity,Cryptographic signing and verification of SWIFT interbank messages,Finance & Banking,9,9,9,,2030-12-31,SWIFT Customer Security Programme (CSP) v2025. SWIFT recommends PQC readiness assessment. BIS/FSB quantum risk guidance applies.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
TRADING,Trading system code signing,Digital signatures for high-frequency trading software,Finance & Banking,5,8,8,,2030-12-31,,United States;European Union;United Kingdom,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
CARD-ENC,Card payment encryption,POS terminal and card-not-present transaction encryption,Finance & Banking;Retail & E-Commerce,6,7,7,,2030-12-31,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
MEDICAL-DEVICE,Medical device communication,Encrypted telemetry for connected medical devices,Healthcare,8,9,9,,2032-12-31,FDA 2023 cybersecurity guidance for premarket submissions. EU MDR/IVDR. 10-15 year device lifetimes require PQC-agile design.,United States;European Union,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
EHR,EHR/FHIR data exchange,Secure exchange of electronic health records via HL7/FHIR,Healthcare,9,8,8,,2030-12-31,HIPAA Security Rule (45 CFR §164.312). HHS PQC guidance 2025. HL7 FHIR security transport requires PQC-ready TLS.,United States;European Union;Canada;Australia,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
V2X,V2X communication,Vehicle-to-everything communication security (DSRC/C-V2X),Automotive,7,9,9,,2030-12-31,IEEE 1609.2 WAVE security / ETSI ITS standards. CAMP V2X Security Credential Management System PQC transition required.,United States;European Union;Japan;South Korea;China,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
OTA,OTA firmware updates,Signed over-the-air vehicle and device software updates,Automotive;Energy & Utilities,5,9,9,,2028-12-31,UNECE WP.29 R155 cybersecurity regulation for vehicles. ML-DSA for signed OTA firmware packages across 10-15 year vehicle lifetime.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
ECU-BOOT,ECU secure boot,Root-of-trust for automotive electronic control units,Automotive,4,8,8,,2028-12-31,ISO/SAE 21434 automotive cybersecurity. AUTOSAR Secure Onboard Communication (SecOC). PQC-safe secure boot required for new designs from 2026.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
SCADA,SCADA/OT system security,Cryptographic controls for industrial control systems,Energy & Utilities;Aerospace,8,9,9,,2032-12-31,"CISA ICS-CERT advisories, NERC CIP-013. Long OT system lifespans (20-40 years) require PQC crypto-agility design today.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
SMART-METER,Smart meter communication,Encrypted AMI/AMR infrastructure for utility metering,Energy & Utilities,7,7,7,,2032-12-31,NIST IR 7628 Smart Grid cybersecurity. NERC CIP-007 for utility metering. AMI device lifespans 15-20 years.,United States;European Union;Australia,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
AVIONICS,Avionics communication,Encrypted and authenticated flight-critical avionics comms,Aerospace,8,10,10,,2035-12-31,DO-326A/DO-356A Airworthiness Security. 20-40 year aircraft service life mandates immediate PQC design-in. FAA crypto-agility guidance.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
