from_concept,to_concept,relationship_type,rationale_type,evidence,evidence_kind,confidence,notes,extraction_source,extracted_at,review_status,reviewed_by,reviewed_date
NIST,FIPS 186,intersects_with,policy_reference,"""Vulnerable NIST standards • RSA • ECDSA (and Elliptic Curve Cryptography) • FIPS 186, Digital Signature Standard""",citation,high,"The text identifies FIPS 186 as a NIST standard that is vulnerable to quantum attacks, establishing a direct reference.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
NIST,SP 800-56A/B,intersects_with,policy_reference,"""Diffie-Hellman key exchange • SP 800-56A/B, Recommendation for Pair- Wise Key Establishment Schemes""",citation,high,The text lists SP 800-56A/B as a NIST standard for key establishment that is vulnerable to quantum attacks.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
NIST,NIST-IR-8105,intersects_with,timeline_anchor,"""Feb 2016: NIST report on PQC- http://csrc.nist.gov/publications/drafts/nistir-8105/nistir_8105_draft.pdf""",rationale,high,"The text explicitly cites NIST IR 8105 as a report on PQC released in Feb 2016, serving as a timeline anchor for the project.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
NIST,FIPS 203,intersects_with,policy_reference,"""NIST is calling for quantum-resistant cryptographic algorithms for new public-key crypto standards""",rationale,medium,"FIPS 203 is a known citation in the record's metadata. The text describes the process of creating ""new public-key crypto standards"" which FIPS 203 (ML-KEM) represents. The relationship is inferred from the context of NIST standardizing PQC algorithms.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
NIST,FIPS 204,intersects_with,policy_reference,"""NIST is calling for quantum-resistant cryptographic algorithms for new public-key crypto standards""",rationale,medium,"FIPS 204 is a known citation in the record's metadata. The text describes the process of creating ""new public-key crypto standards"" which FIPS 204 (ML-DSA) represents. The relationship is inferred from the context of NIST standardizing PQC algorithms.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
NIST,FIPS 205,intersects_with,policy_reference,"""NIST is calling for quantum-resistant cryptographic algorithms for new public-key crypto standards""",rationale,medium,"FIPS 205 is a known citation in the record's metadata. The text describes the process of creating ""new public-key crypto standards"" which FIPS 205 (SLH-DSA) represents. The relationship is inferred from the context of NIST standardizing PQC algorithms.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
NIST,NIST SP 800-227,intersects_with,implementation_guidance,"""NIST will provide transition guideline when PQC standards are developed""",rationale,medium,"NIST SP 800-227 is a known citation in the record's metadata. The text states NIST will provide transition guidelines, which SP 800-227 (Transitioning to Post-Quantum Cryptography) fulfills.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
NIST,FIPS 206,intersects_with,policy_reference,"""NIST is calling for quantum-resistant cryptographic algorithms for new public-key crypto standards""",rationale,low,"FIPS 206 is a known citation in the record's metadata. While the text discusses standardization, FIPS 206 (FN-DSA) was not part of the initial 2022/2024 final standards set described in this specific 2016-era text context, but is listed in the record's known citations. The relationship is weakly supported by the general mandate to standardize PQC.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
NIST,NIST-IR-8547,intersects_with,timeline_anchor,"""NIST will report its findings""",rationale,low,"NIST-IR-8547 is a known citation in the record's metadata. The text mentions NIST reporting findings, but does not explicitly name IR 8547. The relationship is inferred from the record's metadata listing it as a related document, likely a later report on the project's status or results.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
ENISA,ENISA PQC Guidelines,equivalent,equivalence,"""POST-QUANTUM CRYPTOGRAPHY Current state and quantum mitigation MAY 2021, v2""",rationale,high,"The source text is the ""ENISA PQC Guidelines"" document itself (v2, May 2021). The compliance record ""ENISA"" is the authoring body, and this document is its primary PQC guidance output.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
ENISA,NIST SP 800-208,intersects_with,technical_dependency,"""NIST already published SP 800-208 [32] standardizing LMS [87] and XMSS [59] two stateful hash-based signature schemes.""",citation,high,"The ENISA guidelines explicitly reference NIST SP 800-208 as a standard for stateful hash-based signatures, indicating a technical dependency on NIST standards for specific algorithm classes.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
ENISA,NIST PQC Timeline,intersects_with,timeline_anchor,"""tentative deadline for Draft Standards is 2022/2024, as of 2021 https://csrc.nist.gov/projects/post-quantum-cryptography/workshops-and-timeline.""",rationale,high,"The document cites the NIST PQC project timeline to contextualize the standardization schedule, serving as a timeline anchor for the EU's PQC migration planning.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
ENISA,EDPS TechDispatch #2/2020,intersects_with,policy_reference,"""EDPS, ”TechDispatch #2/2020: Quantum Computing and Cryptography”, https://edps.europa.eu/data-protection/our-work/publications/techdispatch/techdispatch-22020-quantum-computing-and_en.""",rationale,medium,"The ENISA guidelines cite the European Data Protection Supervisor's technical dispatch, indicating a policy reference to EU data protection perspectives on quantum computing.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
IETF,RFC 9794,intersects_with,timeline_anchor,"""2023-04-30 Apr 2023 WG Adoption of an Informational document that defines terminology for (hybrid) PQC schemes rfc9794 (was draft-ietf-pquip-pqt-hybrid-terminology)""",rationale,high,The text explicitly links the IETF PQUIP WG milestone to the adoption of RFC 9794.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
IETF,RFC 9958,intersects_with,timeline_anchor,"""2023-05-31 May 2023 WG Adoption of an Informational document on ‘PQC for engineers’ rfc9958 (was draft-ietf-pquip-pqc-engineers)""",rationale,high,The text explicitly links the IETF PQUIP WG milestone to the adoption of RFC 9958.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
IETF,NIST,intersects_with,policy_reference,"""Outside of the IETF, active work is underway to develop and validate Post-Quantum Cryptography (PQC) mechanisms that are expected to be resilient to the cryptanalysis capabilities of future CRQCs (e.g., CFRG, US NIST).""",rationale,high,The text identifies US NIST as an external entity performing active work on PQC mechanisms that the IETF protocols rely upon.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
FIPS-140-3,NIST-SP-800-140C,intersects_with,technical_dependency,"""c. specified in NIST SP 800-140C as an Approved security function, or""",citation,high,FIPS 140-3 defines approved security functions by referencing SP 800-140C.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
FIPS-140-3,NIST-SP-800-140D,intersects_with,technical_dependency,"""d. specified in NIST SP 800-140D as an Approved sensitive security parameter establishment method.""",citation,high,FIPS 140-3 defines approved sensitive security parameter establishment methods by referencing SP 800-140D.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
FIPS-140-3,NIST-SP-800-140B,intersects_with,technical_dependency,"""NIST SP 800-140B modifies: ISO/IEC 19790:2012(E) CMVP Security Policy Requirements Annex B""",citation,high,FIPS 140-3 relies on SP 800-140B to modify the security policy requirements of the base ISO standard.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
FIPS-140-3,FIPS 203,intersects_with,policy_reference,"""Approved security functions include those that are either: a. specified in a Federal Information Processing Standard (FIPS),""",rationale,medium,"FIPS 203 (SHA-3) is a FIPS standard specifying approved cryptographic algorithms required by FIPS 140-3 modules. The text cites the general category ""FIPS"" which includes FIPS 203.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
FIPS-140-3,FIPS 204,intersects_with,policy_reference,"""Approved security functions include those that are either: a. specified in a Federal Information Processing Standard (FIPS),""",rationale,medium,"FIPS 204 (Random Number Generation) is a FIPS standard specifying approved cryptographic techniques required by FIPS 140-3 modules. The text cites the general category ""FIPS"" which includes FIPS 204.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
FIPS-140-3,FIPS 205,intersects_with,policy_reference,"""Approved security functions include those that are either: a. specified in a Federal Information Processing Standard (FIPS),""",rationale,medium,"FIPS 205 (HMAC) is a FIPS standard specifying approved cryptographic techniques required by FIPS 140-3 modules. The text cites the general category ""FIPS"" which includes FIPS 205.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
COMMON-CRITERIA,ISO/IEC 15408,equivalent,equivalence,"""The ISO version of the CC:2022 is published in five parts as ISO/IEC 15408-1:2022 through 15408-5:2022""",citation,high,The text explicitly states that CC:2022 is published as the ISO/IEC 15408 series.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
COMMON-CRITERIA,ISO/IEC 18045,intersects_with,technical_dependency,"""the ISO version of the CEM:2022 is published in one part as ISO/IEC 18045:2022.""",citation,high,CC:2022 references CEM:2022 (ISO/IEC 18045) as the baseline methodology for evaluation.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
COMMON-CRITERIA,ISO/IEC IEEE 24765,intersects_with,technical_dependency,"""ISO/IEC IEEE 24765, Systems and software engineering — Vocabulary""",rationale,high,"Listed in the ""Normative references"" section (page 12), indicating it is a required reference for the standard's terminology.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
COMMON-CRITERIA,FIPS PUB 186-4,intersects_with,implementation_guidance,"""FIPS PUB 186-4, “Digital Signature Standard (DSS)”, Appendix B.3""",rationale,medium,Cited in Annex B as an example of a technical standard that can be referenced in a Protection Profile refinement.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
COMMON-CRITERIA,ANSI X9.31-1998,intersects_with,implementation_guidance,"""ANSI X9.31-1998, Section 4.1""",rationale,medium,Cited in Annex B as an example of a technical standard that can be referenced in a Protection Profile refinement.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
ANSSI,ANSSI PQC Position Paper,intersects_with,policy_reference,"""Se référer à l’avis scientifique de l’ANSSI sur la migration vers la cryptographie post-quantique publié en décembre 2023 : https:// cyber.gouv.fr/publications/avis-de-lanssi-sur-la-migration-vers-la-cryptographie-post-quantique.""",rationale,high,"The text explicitly references the ""avis scientifique"" (scientific opinion) published in December 2023, which corresponds to the ANSSI PQC Position Paper.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
ANSSI,ANSSI-PG-083-v3-2026,intersects_with,policy_reference,"""D. Absence d’obligation réglementaire (pour les entités régulées). C’est – malheureusement – parfois le seul levier efficace, quand les autres approches ont échoué, pour faire évoluer une situation bloquée.""",rationale,medium,"The text discusses the lack of regulatory obligation as a barrier, implying the existence or anticipation of regulatory frameworks (like PG-083) that mandate PQC transition for regulated entities (OIV).",enrich-compliance-xwalk.py,2026-09-23,candidate,,
ANSSI,"Securing Tomorrow, Today: Transitioning to Post-Quantum Cryptography",intersects_with,policy_reference,"""Voir la note Securing Tomorrow, Today: Transitioning to Post-Quantum Cryptography (Securing Tomorrow, Today: Transitioning to Post-Quantum Cryptography | ANSSI).""",rationale,high,This is an additional document clearly cited in the text as a reference for European cooperation.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,NIST SP 800-208,intersects_with,technical_dependency,"""The algorithms chosen for software- and firmware-signing are those specified in NIST Special Publication 800-208. NSA recommends Leighton-Micali with SHA-256/192, but all NIST SP 800-208 algorithms are approved for this use case.""",rationale,high,CNSA 2.0 mandates the use of algorithms defined in NIST SP 800-208 for software/firmware signing.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,FIPS PUB 197,intersects_with,technical_dependency,"""Table II: CNSA 2.0 symmetric-key algorithms ... Algorithm Function Specification Parameters Symmetric block cipher Advanced Encryption Use 256-bit keys for all for information FIPS PUB 197 Standard (AES) classification levels.""",rationale,high,CNSA 2.0 includes AES (FIPS 197) as a required symmetric algorithm.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,FIPS PUB 180-4,intersects_with,technical_dependency,"""Table II: CNSA 2.0 symmetric-key algorithms ... Algorithm for computing a Use SHA-384 or SHA- Secure Hash Algorithm condensed FIPS PUB 180-4 512 for all classification (SHA) representation of levels.""",rationale,high,CNSA 2.0 includes SHA-384/512 (FIPS 180-4) as required hash algorithms.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,CRYSTALS-Kyber,intersects_with,technical_dependency,"""Table III: CNSA 2.0 quantum-resistant public-key algorithms ... Use Level V Asymmetric algorithm CRYSTALS-Kyber TBD parameters for all for key establishment classification levels.""",rationale,high,CNSA 2.0 selects CRYSTALS-Kyber for key establishment.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,CRYSTALS-Dilithium,intersects_with,technical_dependency,"""Table III: CNSA 2.0 quantum-resistant public-key algorithms ... Use Level V Asymmetric algorithm CRYSTALS-Dilithium TBD parameters for all for digital signatures classification levels.""",rationale,high,CNSA 2.0 selects CRYSTALS-Dilithium for digital signatures.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,NSM-10,intersects_with,policy_reference,"""NSA expects the transition to QR algorithms for NSS to be complete by 2035 in line with NSM-10. NSA urges vendors and NSS owners and operators to make every effort to meet this deadline.""",rationale,high,CNSA 2.0 transition timeline is aligned with the requirements of NSM-10.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,CNSSP 15,intersects_with,policy_reference,"""They are an update to those in the Commercial National Security Algorithm Suite (referred to as CNSA 1.0, the algorithms currently listed in CNSSP 15, Annex B).""",rationale,high,CNSA 2.0 is defined as an update to the algorithms listed in CNSSP 15.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,CNSSP 11,intersects_with,policy_reference,"""In accordance with CNSSP 11, software and hardware providing cryptographic services require National Information Assurance Partnership (NIAP) or NSA validation in addition to meeting the requirements of the appropriate version of CNSA.""",rationale,high,CNSA 2.0 compliance is enforced through validation requirements specified in CNSSP 11.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,RFC 9151,intersects_with,implementation_guidance,"""The following documents specify how to configure solutions to comply with CNSA requirements. These include: ... RFC 9151 \""Commercial National Security Algorithm (CNSA) Suite Profile for TLS and DTLS 1.2 and 1.3\""""",rationale,high,"The document lists RFC 9151 as guidance for configuring solutions to comply with CNSA requirements (currently CNSA 1.0, but referenced as the mechanism for CNSA compliance).",enrich-compliance-xwalk.py,2026-09-23,candidate,,
CNSA-2,RFC 8603,intersects_with,implementation_guidance,"""The following documents specify how to configure solutions to comply with CNSA requirements. These include: ... RFC 8603 \""Commercial National Security Algorithm (CNSA) Suite Certificate and Certificate Revocation List (CRL) Profile\""""",rationale,high,The document lists RFC 8603 as guidance for configuring solutions to comply with CNSA requirements.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
GSMA-NG116,gsma-pq-01,intersects_with,policy_reference,"""GSMA- PQ.01 Post Quantum Telco Network Impact Assessment Whitepaper Version 1.0 17 February 2023""",rationale,high,The document cites GSMA PQ.01 in its references list (Annex C).,enrich-compliance-xwalk.py,2026-09-23,candidate,,
GSMA-NG116,gsma-pq-02,intersects_with,policy_reference,"""GSMA- PQ.02 Guidelines for Quantum Risk Management for Telco Version 1.0 22 September 2023""",rationale,high,The document cites GSMA PQ.02 in its references list (Annex C).,enrich-compliance-xwalk.py,2026-09-23,candidate,,
GSMA-NG116,gsma-pq-03,equivalent,equivalence,"""GSM Association Non-Confidential Official Document PQ.03 – Post Quantum Cryptography – Guidelines for Telecom Use Cases""",rationale,high,The source text is the GSMA PQ.03 document itself.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
GSMA-NG116,NIST,intersects_with,policy_reference,"""NIST published FIPS 205 SLH-DSA (Stateless Hash-Based Digital Signature Algorithm) in August 2024.""",citation,high,"The document relies on NIST standards (FIPS 205, FIPS 203, SP 800-208) for algorithm definitions and migration guidance.",enrich-compliance-xwalk.py,2026-09-23,candidate,,
ETSI-TS103744,NIST SP800-56Ar3,intersects_with,technical_dependency,"[1] NIST SP800-56Ar3: ""Recommendation for Pair-Wise Key-Establishment Schemes Using Discrete Logarithm Cryptography"".",quote,high,Listed as a normative reference necessary for the application of the document.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
ETSI-TS103744,IETF RFC 2104,intersects_with,technical_dependency,"[2] IETF RFC 2104: ""HMAC: Keyed-Hashing for Message Authentication"".",quote,high,Listed as a normative reference.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
ETSI-TS103744,IETF RFC 5869,intersects_with,technical_dependency,"[3] IETF RFC 5869: ""HMAC-based Extract-and-Expand Key Derivation Function (HKDF)"".",quote,high,Listed as a normative reference.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
ETSI-TS103744,FIPS PUB 180-4,intersects_with,technical_dependency,"[4] FIPS PUB 180-4: ""Secure Hash Standard (SHS)"".",quote,high,Listed as a normative reference.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
ETSI-TS103744,FIPS PUB 202,intersects_with,technical_dependency,"[5] FIPS PUB 202: ""SHA-3 Standard: Permutation-Based Hash and Extendable-Output Functions"".",quote,high,Listed as a normative reference.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
ETSI-TS103744,FIPS PUB 186-4,intersects_with,technical_dependency,"[6] FIPS PUB 186-4: ""Digital Signature Standard (DSS)"".",quote,high,Listed as a normative reference.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
ETSI-TS103744,IETF RFC 5639,intersects_with,technical_dependency,"[7] IETF RFC 5639: ""Elliptic Curve Cryptography (ECC) Brainpool Standard Curves and Curve Generation"".",quote,high,Listed as a normative reference.,enrich-compliance-xwalk.py,2026-09-23,candidate,,
