Algorithm,SideChannelAttacks,FaultInjectionAttacks,RNGFailures,SecretHandlingFailures,APIMisuse,date_stamp,iacr_reference,mitigation_notes
ML-KEM-512 (NIST Level 1),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,"Constant-time decapsulation mandatory (timing leak in NTT/rejection sampling). Validate ciphertext length before processing. Use FIPS 140-3 DRBG for key generation. Zeroize secret key post-use. Validated libs: liboqs, AWS-LC, BouncyCastle PQC."
ML-KEM-768 (NIST Level 3),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,"Constant-time decapsulation mandatory (timing leak in NTT/rejection sampling). Validate ciphertext length before processing. Use FIPS 140-3 DRBG for key generation. Zeroize secret key post-use. Validated libs: liboqs, AWS-LC, BouncyCastle PQC."
ML-KEM-1024 (NIST Level 5),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,"Constant-time decapsulation mandatory (timing leak in NTT/rejection sampling). Validate ciphertext length before processing. Use FIPS 140-3 DRBG for key generation. Zeroize secret key post-use. Validated libs: liboqs, AWS-LC, BouncyCastle PQC."
HQC-128 (NIST Level 1),Yes,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2018/1111,HQC selected 2025 — draft standard only. Decoding side-channel risk (quasi-cyclic decoder). Constant-time polynomial multiplication required. Await FIPS publication before production use. Monitor: https://csrc.nist.gov/projects/post-quantum-cryptography
HQC-192 (NIST Level 3),Yes,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2018/1111,HQC selected 2025 — draft standard only. Decoding side-channel risk (quasi-cyclic decoder). Constant-time polynomial multiplication required. Await FIPS publication before production use. Monitor: https://csrc.nist.gov/projects/post-quantum-cryptography
HQC-256 (NIST Level 5),Yes,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2018/1111,HQC selected 2025 — draft standard only. Decoding side-channel risk (quasi-cyclic decoder). Constant-time polynomial multiplication required. Await FIPS publication before production use. Monitor: https://csrc.nist.gov/projects/post-quantum-cryptography
X25519MLKEM768 (Hybrid Level 3),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1301,"Hybrid constructions (classical + PQC) provide transition security. Both components must be independently validated. Ensure classical component meets minimum security (RSA-3072, P-256+). Per draft-ietf-tls-hybrid-design."
SecP256r1MLKEM768 (Hybrid Level 3),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1301,"Hybrid constructions (classical + PQC) provide transition security. Both components must be independently validated. Ensure classical component meets minimum security (RSA-3072, P-256+). Per draft-ietf-tls-hybrid-design."
SecP384r1MLKEM1024 (Hybrid Level 5),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1301,"Hybrid constructions (classical + PQC) provide transition security. Both components must be independently validated. Ensure classical component meets minimum security (RSA-3072, P-256+). Per draft-ietf-tls-hybrid-design."
ML-DSA-44 (NIST Level 2),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2017/633,Use hedged (randomized) signing mode for fault-injection resistance. Protect NTT polynomial operations against timing. Validate public key before verification. Signing key must never be reused across different applications.
ML-DSA-65 (NIST Level 3),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2017/633,Use hedged (randomized) signing mode for fault-injection resistance. Protect NTT polynomial operations against timing. Validate public key before verification. Signing key must never be reused across different applications.
ML-DSA-87 (NIST Level 5),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2017/633,Use hedged (randomized) signing mode for fault-injection resistance. Protect NTT polynomial operations against timing. Validate public key before verification. Signing key must never be reused across different applications.
FN-DSA-512 (NIST Level 1),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2020/1100,CRITICAL: Floating-point Gaussian sampling is vulnerable to timing side-channels (IACR 2023/230). Requires constant-time FP implementation — non-trivial in software. Hardware implementations must include dedicated FP blinding. Not recommended for constrained devices without hardware FP support.
FN-DSA-1024 (NIST Level 5),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2020/1100,CRITICAL: Floating-point Gaussian sampling is vulnerable to timing side-channels (IACR 2023/230). Requires constant-time FP implementation — non-trivial in software. Hardware implementations must include dedicated FP blinding. Not recommended for constrained devices without hardware FP support.
SLH-DSA-SHA2-128s (Level 1),Unknown,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/098,Hash-based — no known quantum side-channel attacks. CRITICAL: Secret seed exposure = total key compromise (all keys derived from seed). Seed must be generated and stored in HSM/secure enclave. Stateless design eliminates state-management vulnerabilities of LMS/XMSS.
SLH-DSA-SHA2-192s (Level 3),Unknown,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/098,Hash-based — no known quantum side-channel attacks. CRITICAL: Secret seed exposure = total key compromise (all keys derived from seed). Seed must be generated and stored in HSM/secure enclave. Stateless design eliminates state-management vulnerabilities of LMS/XMSS.
SLH-DSA (All Variants),Unknown,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/098,Hash-based — no known quantum side-channel attacks. CRITICAL: Secret seed exposure = total key compromise (all keys derived from seed). Seed must be generated and stored in HSM/secure enclave. Stateless design eliminates state-management vulnerabilities of LMS/XMSS.
LMS-SHA256 (Stateful),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://www.rfc-editor.org/rfc/rfc8554,STATEFUL: State management is critical — using same OTS key twice breaks security. Must synchronize state across distributed signers. Preferred for firmware signing where state can be tightly controlled. See NIST SP 800-208.
XMSS-SHA2_20 (Stateful),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://www.rfc-editor.org/rfc/rfc8391,STATEFUL: Same state-management requirements as LMS. XMSS^MT (multi-tree) eases state management for large signature volumes. See NIST SP 800-208.
Aigis-sig (CACR Level 1),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2020/070,Chinese CACR Round 1 candidate. Not FIPS-standardized. Lattice-based — same NTT timing exposure as ML-KEM/ML-DSA. Use only in China-specific compliance contexts (GM/T standards).
Aigis-sig (CACR Level 5),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2020/070,Chinese CACR Round 1 candidate. Not FIPS-standardized. Lattice-based — same NTT timing exposure as ML-KEM/ML-DSA. Use only in China-specific compliance contexts (GM/T standards).
Aigis-enc (CACR Level 1),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2020/070,Chinese CACR Round 1 candidate. Not FIPS-standardized. Lattice-based — same NTT timing exposure as ML-KEM/ML-DSA. Use only in China-specific compliance contexts (GM/T standards).
Aigis-enc (CACR Level 5),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2020/070,Chinese CACR Round 1 candidate. Not FIPS-standardized. Lattice-based — same NTT timing exposure as ML-KEM/ML-DSA. Use only in China-specific compliance contexts (GM/T standards).
LAC (CACR LWE-based KEM),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2018/1009,CACR LWE-based KEM. Not FIPS-standardized. Constant-time LWE sampling required. Limited public security analysis compared to NIST-selected schemes.
NGCC-BC (TBD — Chinese PQ block cipher),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/847,Chinese national PQC cipher/hash — TBD status. Not FIPS-standardized. Await GM/T standardization before production use.
NGCC-CH (TBD — Chinese PQ hash),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/847,Chinese national PQC cipher/hash — TBD status. Not FIPS-standardized. Await GM/T standardization before production use.
SMAUG-T (KpqC Level 1),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/739,Korean KpqC Round 1 candidate. Not FIPS-standardized. Lattice-based KEM — constant-time NTT required. Use only in KISA-compliance contexts.
NTRU+ (KpqC Level 3),Yes,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2021/1177,Korean KpqC Round 1 candidate. NTRU lattice variant. Not FIPS-standardized. Decapsulation must be constant-time. Use only in KISA-compliance contexts.
HAETAE (KpqC Lattice Signature),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/624,Korean KpqC lattice signature. Not FIPS-standardized. Rejection sampling vulnerable to timing — constant-time implementation required.
AIMer (KpqC Symmetric Signature),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/859,Korean KpqC symmetric-based signature. Not FIPS-standardized. Security based on AES/MQ — validate underlying primitive implementations.
FrodoKEM-976 (BSI/ANSSI/ISO Level 3),Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/659,Conservative LWE-based KEM (no ring structure). Higher security confidence than ML-KEM but 10-20x larger keys. Recommended by BSI/ANSSI as ML-KEM alternative. Matrix sampling side-channel risk — constant-time matrix operations required.
FrodoKEM-1344 (BSI/ANSSI/ISO Level 5),Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/659,Conservative LWE-based KEM (no ring structure). Higher security confidence than ML-KEM but 10-20x larger keys. Recommended by BSI/ANSSI as ML-KEM alternative. Matrix sampling side-channel risk — constant-time matrix operations required.
FrodoKEM-640 (BSI/ISO Level 1),Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/659,Conservative LWE-based KEM (no ring structure). Higher security confidence than ML-KEM but 10-20x larger keys. Recommended by BSI/ANSSI as ML-KEM alternative. Matrix sampling side-channel risk — constant-time matrix operations required.
