product_id,software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,cpe_coverage_flag,data_quality_notes,deprecated_at,deprecated_reason
net-10-pqc,.NET 10 PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'.NET 10 PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
net-system-security-cryptography,.NET System.Security.Cryptography,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'.NET System.Security.Cryptography' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
01-quantum-ironcap,01 Quantum IronCAP,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'01 Quantum IronCAP' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
1password,1Password,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'1Password' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
a10-networks-thunder-adc,A10 Networks Thunder ADC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'A10 Networks Thunder ADC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
adguard-dns,AdGuard DNS,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AdGuard DNS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
adobe-acrobat-sign,Adobe Acrobat Sign,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Adobe Acrobat Sign' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
adva-fsp-3000-s-flex,Adva FSP 3000 S-Flex,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Adva FSP 3000 S-Flex' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
adva-network-security-fsp-3000-s-flex,Adva Network Security FSP 3000 S-Flex,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Adva Network Security FSP 3000 S-Flex' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
africa-quantum-consortium-pqc,Africa Quantum Consortium PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Africa Quantum Consortium PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
akamai-connected-cloud,Akamai Connected Cloud,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Akamai Connected Cloud' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
akamai-edge,Akamai Edge,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Akamai Edge' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
akamai-pqc-edge,Akamai PQC Edge,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Akamai PQC Edge' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
algorand,Algorand,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Algorand' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
algorand-falcon-mainnet,Algorand FALCON Mainnet,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Algorand FALCON Mainnet' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
alibaba-cloud-gvsm,Alibaba Cloud GVSM,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Alibaba Cloud GVSM' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
alpine-linux,Alpine Linux,cpe:2.3:o:alpinelinux:alpine_linux:-:*:*:*:*:*:*:*,alpinelinux,alpine_linux,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=alpine%20linux,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
amazon-cloudfront,Amazon CloudFront,cpe:2.3:a:amazon:amazon_cloudfront:-:*:*:*:*:*:*:*,amazon,amazon_cloudfront,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20cloudfront,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
amazon-cognito,Amazon Cognito,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Amazon Cognito' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
amazon-eks,Amazon EKS,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Amazon EKS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
amazon-web-services-aws,Amazon Web Services (AWS),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Amazon Web Services (AWS)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
amd-sev-snp-secure-encrypted-virtualization,AMD SEV-SNP (Secure Encrypted Virtualization),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AMD SEV-SNP (Secure Encrypted Virtualization)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AMD Versal Adaptive SoC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
american-binary-ambit-client,American Binary Ambit Client,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'American Binary Ambit Client' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
anchorage-digital,Anchorage Digital,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Anchorage Digital' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
android-16,Android 16,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Android 16' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
android-17-pqc,Android 17 PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Android 17 PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
ankatech-ankasecure,ANKATech ANKASecure,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'ANKATech ANKASecure' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
anssi-pqc-migration-guidance,ANSSI PQC Migration Guidance,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'ANSSI PQC Migration Guidance' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
apache-guacamole,Apache Guacamole,cpe:2.3:a:apache:guacamole:0.8.3:*:*:*:*:*:*:*,apache,guacamole,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20guacamole,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
apache-http-server,Apache HTTP Server,cpe:2.3:a:apache:http_server:1.2:*:*:*:*:*:*:*,apache,http_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20http_server,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
apache-tomcat,Apache Tomcat,cpe:2.3:a:apache:tomcat:-:*:*:*:*:*:*:*,apache,tomcat,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20tomcat,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
apache-traffic-server,Apache Traffic Server,cpe:2.3:a:apache:traffic_server:2.0.0:*:*:*:*:*:*:*,apache,traffic_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20traffic%20server,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
apple-codesign,Apple codesign,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Apple codesign' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
apple-pq3-corecrypto,Apple PQ3 / CoreCrypto,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Apple PQ3 / CoreCrypto' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
apple-safari,Apple Safari,cpe:2.3:a:apple:safari:-:*:*:*:*:*:*:*,apple,safari,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apple%20safari,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
applivery-uem-pqc,Applivery UEM PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Applivery UEM PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
appviewx-cert,AppViewX CERT+,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AppViewX CERT+' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
appviewx-spring-2026,AppViewX Spring 2026,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AppViewX Spring 2026' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aptos,Aptos,cpe:2.3:a:aptosfoundation:aptos:1.4.3:*:*:*:*:*:*:*,aptosfoundation,aptos,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=aptos%20aptos,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
arch-linux,Arch Linux,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Arch Linux' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
arista-eos-extensible-operating-system,Arista EOS (Extensible Operating System),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Arista EOS (Extensible Operating System)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
arm-confidential-compute-architecture-cca,ARM Confidential Compute Architecture (CCA),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'ARM Confidential Compute Architecture (CCA)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
arm-trusted-firmware-tf-a,ARM Trusted Firmware (TF-A),cpe:2.3:a:arm:trusted_firmware-a:-:*:*:*:*:*:*:*,arm,trusted_firmware-a,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=arm%20trusted%20firmware%20%28tf-a%29,2026-04-01,cpe_partial_match,Partial CPE match for 'ARM Trusted Firmware (TF-A)'; version qualifier absent. Verify against NVD: https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=arm%20trusted%20firmware%20%28tf-a%29.,,
arm-trustzone,ARM TrustZone,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'ARM TrustZone' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
arqit-6wind-telco-pqc,Arqit 6WIND Telco PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Arqit 6WIND Telco PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
arqit-encryption-intelligence,Arqit Encryption Intelligence,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Arqit Encryption Intelligence' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
arqit-quantumcloud,Arqit QuantumCloud,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Arqit QuantumCloud' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
ascertia-adss-pki-server,Ascertia ADSS PKI Server,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Ascertia ADSS PKI Server' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
ascertia-adss-server-sam,Ascertia ADSS Server/SAM,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Ascertia ADSS Server/SAM' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
ascertia-adss-signing-server,Ascertia ADSS Signing Server,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Ascertia ADSS Signing Server' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
asustor-adm-5-1-pqc,ASUSTOR ADM 5.1 PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'ASUSTOR ADM 5.1 PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
asyncssh,AsyncSSH,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AsyncSSH' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
auth0-okta-customer-identity,Auth0 (Okta Customer Identity),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Auth0 (Okta Customer Identity)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
autocrypt-pki-vehicles,AUTOCRYPT PKI-Vehicles,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AUTOCRYPT PKI-Vehicles' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
avalanche,Avalanche,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Avalanche' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-api-gateway-pqc,AWS API Gateway PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS API Gateway PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-application-load-balancer-alb,AWS Application Load Balancer (ALB),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS Application Load Balancer (ALB)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-cloudhsm,AWS CloudHSM,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS CloudHSM' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-identity-and-access-management-iam,AWS Identity and Access Management (IAM),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS Identity and Access Management (IAM)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-kms,AWS KMS,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS KMS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-kms-cloud-gateway,AWS KMS (Cloud Gateway),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS KMS (Cloud Gateway)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-payments-cryptography-pqc,AWS Payments Cryptography PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS Payments Cryptography PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-private-ca-pqc,AWS Private CA PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS Private CA PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-s2n-tls,AWS s2n-tls,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS s2n-tls' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-transfer-family,AWS Transfer Family,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'AWS Transfer Family' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
aws-lc,AWS-LC,cpe:2.3:a:amazon:aws-lc-sys:-:*:*:*:*:rust:*:*,amazon,aws-lc-sys,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20aws-lc,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
azure-aks,Azure AKS,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Azure AKS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
azure-dedicated-hsm-marvell-liquidsecurity,Azure Dedicated HSM (Marvell LiquidSecurity),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Azure Dedicated HSM (Marvell LiquidSecurity)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
azure-devops,Azure DevOps,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Azure DevOps' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
azure-key-vault,Azure Key Vault,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Azure Key Vault' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
barracuda-email-protection,Barracuda Email Protection,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Barracuda Email Protection' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
berten-mlds-b235,BERTEN MLDS-B235,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'BERTEN MLDS-B235' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
berten-mlke-b135,BERTEN MLKE-B135,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'BERTEN MLKE-B135' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
bis-project-leap-pqc,BIS Project Leap PQC,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'BIS Project Leap PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
bitcoin-core,Bitcoin Core,cpe:2.3:a:bitcoincore:bitcoin_core:0.16.2:*:*:*:*:*:*:*,bitcoincore,bitcoin_core,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bitcoin%20core,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
bitgo,BitGo,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'BitGo' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
