product_id,software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,purl_coverage_flag,data_quality_notes
net-10-pqc,.NET 10 PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for '.NET 10 PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
net-system-security-cryptography,.NET System.Security.Cryptography,pkg:github/dotnet/runtime,github,dotnet,runtime,exact,matched,https://github.com/dotnet/runtime,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
01-quantum-ironcap,01 Quantum IronCAP,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for '01 Quantum IronCAP'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
1password,1Password,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for '1Password'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
a10-networks-thunder-adc,A10 Networks Thunder ADC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'A10 Networks Thunder ADC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
adguard-dns,AdGuard DNS,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AdGuard DNS'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
adobe-acrobat-sign,Adobe Acrobat Sign,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Adobe Acrobat Sign'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
adva-fsp-3000-s-flex,Adva FSP 3000 S-Flex,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Adva FSP 3000 S-Flex'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
adva-network-security-fsp-3000-s-flex,Adva Network Security FSP 3000 S-Flex,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Adva Network Security FSP 3000 S-Flex'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
africa-quantum-consortium-pqc,Africa Quantum Consortium PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Africa Quantum Consortium PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
akamai-connected-cloud,Akamai Connected Cloud,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Akamai Connected Cloud'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
akamai-edge,Akamai Edge,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Akamai Edge'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
akamai-pqc-edge,Akamai PQC Edge,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Akamai PQC Edge'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
algorand,Algorand,pkg:github/algorand/go-algorand,github,algorand,go-algorand,exact,matched,https://github.com/algorand/go-algorand,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
algorand-falcon-mainnet,Algorand FALCON Mainnet,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Algorand FALCON Mainnet'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
alibaba-cloud-gvsm,Alibaba Cloud GVSM,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Alibaba Cloud GVSM'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
alpine-linux,Alpine Linux,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Alpine Linux'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
amazon-cloudfront,Amazon CloudFront,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Amazon CloudFront'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
amazon-cognito,Amazon Cognito,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Amazon Cognito'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
amazon-eks,Amazon EKS,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Amazon EKS'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
