role_id,variant_id,order,chip_label,chip_description,phase_id,cswp39_zone,module_ids,workshop_ids,business_tool_ids,status,deprecated_at,deprecated_reason,last_reviewed,notes
executive,mandate,1,Get the mandate signed,The board decision that unlocks budget and names an owner.,p0,governance,pqc-business-case;pqc-governance,,program-charter,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
executive,risk,2,Know your exposure,A defensible risk position and the dates that already bind you.,p3,risk-management,pqc-risk-management;data-asset-sensitivity,,risk-register,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
executive,roadmap,3,Show a credible plan,"The roadmap, policy and KPIs a regulator will accept.",p4,governance,migration-program;compliance-strategy;pqc-governance,,roadmap-builder,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,pilot,1,Ship a real handshake,"Hybrid key exchange running in this tab, then in your stack.",p5,migration,tls-basics;hybrid-crypto,hybrid-encrypt,crypto-api-refactor-audit,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,inventory,2,Find the crypto in your code,Build the CBOM before you plan a single change.,p2,assets,cbom;sbom;crypto-registry,openssl-studio,crypto-cbom-builder,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,sizing,3,See what the sizes break,Bigger keys and signatures hit schemas and budgets first.,p6,mitigation,crypto-dev-apis;pqc-testing-validation,api-security-jwt;cert-capacity,,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,controlplane,1,Design for agility,A policy-driven control plane you can re-key from.,p4,governance,crypto-agility;crypto-mgmt-modernization,cacp-kmip,hybrid-transition-planner,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,inventory,2,Map the estate,"As-is versus to-be crypto architecture, evidenced by a CBOM.",p2,assets,cbom;sbom;crypto-registry,pki-workshop,crypto-architecture-diagram,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,keystores,3,Plan the key infrastructure,"Where keys live, and what changes when they get bigger.",p6,mitigation,hsm-pqc;kms-pqc,envelope-encrypt,infra-modernization-planner,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,capacity,1,Size the fleet,Whether today's HSMs clear tomorrow's signing load.,p6,mitigation,hsm-pqc;kms-pqc,hsm-capacity,refresh-cycle-alignment,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,cutover,2,Rehearse the cutover,Hybrid tunnels and certificates on a real renewal window.,p5,migration,vpn-ssh-pqc;tls-basics,vpn-sim,deployment-playbook,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,suppliers,3,Check your suppliers,Vendor roadmaps against renewals you have already booked.,p7,governance,sbom;crypto-registry;verification-closure,,vendor-scorecard,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,provenance,1,Trace every claim,Source tiers and verification dates across the whole corpus.,p1,assets,standards-bodies;pqc-candidates,,,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
