patent_number,title,inventors,assignee,priority_date,issue_date,filing_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason,citation_graph_flag,pqc_migration_score_flag,dates_verified_iso8601,date_stamp
20260156001,QUANTUM-RESISTANT PUBLIC KEY CERTIFICATION SYSTEM AND METHOD OF CERTIFICATION CONSIDERING THE USAGE ENVIRONMENT,,INSTITUTE FOR BASIC SCIENCE,2024-11-14,2026-06-04,2024-11-14,H04L9/3268;H04L9/0825;H04L9/30;H04L9/3247;H04L9/3263,A quantum-resistant public key certification system that dynamically selects terminal and certification encryption schemes based on usage environment constraints like certificate size and speed.,"The invention provides a method for operating a certification server that determines a terminal encryption scheme and a certification encryption scheme suitable for a public key certificate system based on the usage environment. The server generates a terminal public key according to the terminal scheme and a certificate according to the certification scheme, optimizing for factors like certificate size, ciphertext length, and verification speed.",negotiated,crypto_agility,core_invention,The invention is explicitly titled and described as a 'quantum-resistant' system. The independent claims and abstract describe selecting encryption schemes that are 'quantum-resistant' or 'secured from attacks using quantum computers'. The selection of these schemes is central to the invention's operation.,PKI,RSA,NTRU; McEliece; Modern McEliece; Niederreiter; MCPC-McEliece; Wild McEliece; McBits,quantum_computing,generation; distribution,mobile; server; FPGA; ASIC; GPU; CPU; MCU,,,quantum-attack,,signature; KEM,PKI,method of operating a certification server; public key certificate system,key-size; latency; throughput,,,,[],[],7,"Addresses quantum-resistant PKI and certificates, a key migration area, but lacks explicit NIST PQC algorithm references",no_citations_recorded,medium_pqc_relevance,yes,2026-06-08
12647285,Transitioning to and from crypto-agile hybrid public key infrastructures,Gollent; Rene et al.,ISARA Corporation,2023-06-16,2026-06-02,2023-06-16,H04L9/3265;H04L9/006;H04L9/007;H04L9/0891,Methods for transitioning public key infrastructures to and from crypto-agile hybrid states by propagating secondary root certificates containing multiple cryptosystem keys and signatures.,The invention provides a method for migrating a PKI system by generating a secondary crypto-agile hybrid root certificate that includes both old and new cryptosystem public keys and signatures. This certificate is propagated through the hierarchy to allow asynchronous updates and maintain backward compatibility during the transition.,hybrid,crypto_agility,background_only,"Quantum technology is mentioned in the background and description as a motivation for migration (e.g., 'quantum-safe cryptosystem'), but no quantum algorithms or hardware are claimed or described as part of the invention.",PKI; OCSP; X.509,,,none,generation; distribution; rotation,IoT,,X.509; RFC 5280; RFC 7292,cryptanalysis,,signature,PKI; IoT,method for generating digital certificates,,root-keys,,US5432852; US7152158; US7404077; US9575906; US9660978; US9794249; US9800411; US10425401; US10841295; US11683188,[],[],10,"Explicitly addresses crypto-agile hybrid PKI, a core requirement for PQC migration and HNDL mitigation.",citations_present:10,high_pqc_relevance,yes,2026-06-08
12647269,"Post-quantum secure VOPRF protocol for post-quantum security, and method and system for anonymous token authentication",,SHANDONG UNIVERSITY,2024-09-25,2026-06-02,2024-09-25,H04L9/3213;H04L9/3242;H04L9/3073;H04L9/3218,"A post-quantum secure Verifiable Oblivious Pseudo-Random Function (VOPRF) protocol based on lattice hard problems for anonymous token authentication, reducing interaction rounds to two.","The invention provides a VOPRF protocol for post-quantum security based on the decision RLWE problem and lattice-based 1D-SIS assumption. It reduces interaction rounds from three to two by optimizing the encoding, blinding, and verification phases using non-interactive zero-knowledge proofs.",pqc_only,none,core_invention,"The invention is explicitly designed for post-quantum security to resist attacks from quantum computers using Shor's algorithm. It replaces classical number-theoretic assumptions with lattice-based hard problems (RLWE, 1D-SIS) in the independent claims.",VOPRF; OPRF; ZKP; NIZK,HMAC; SHA-256,RLWE; LWE; 1D-SIS,quantum_computing,generation; storage,,possession,,quantum-attack,deterministic-PRNG,signature; hash; MAC; commitment; ZK,cloud; PKI,VOPRF protocol for post-quantum security; method for anonymous token authentication; system for anonymous token authentication,latency,session-keys,,US9749297; US10700859,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""VOPRF protocol for post-quantum security""}, {""claim"": 2, ""depends_on"": [], ""subject"": ""method for anonymous token authentication""}, {""claim"": 3, ""depends_on"": [], ""subject"": ""system for anonymous token authentication""}]",[],8,"Explicitly targets PQC migration for VOPRF and authentication, addressing protocol-level quantum resistance.",citations_present:2,high_pqc_relevance,yes,2026-06-08
12647257,Generating post-quantum pre-shared keys,,Hewlett Packard Enterprise Development LP,2022-10-13,2026-06-02,2022-10-13,H04L9/0852;H04L9/0869;H04L9/0866,A method for generating post-quantum pre-shared keys by deriving session-specific keys from a shared seed PPK and exchanged device data to enhance IKEv2 security and configuration efficiency.,"The invention provides a method where two devices exchange first and second data (e.g., identifiers, random numbers) and derive a unique post-quantum pre-shared key (PPK) for a session using a shared seed PPK. This allows efficient key management by distributing only seed PPKs while generating distinct, secure derived keys for each communication session.",negotiated,in_place_upgrade,background_only,"Quantum computing is mentioned in the background and title as the threat model motivating the use of 'post-quantum pre-shared keys'. The patent describes deriving keys to resist quantum attacks but does not claim specific post-quantum cryptographic algorithms (like Kyber or Dilithium) or quantum hardware. The term 'post-quantum' is used to describe the security property of the derived key scheme against quantum adversaries, rather than implementing a specific PQC standard.",IKEv2; IPsec,Diffie-Hellman; SHA2; PRF,,quantum_computing,generation; derivation; distribution; storage,IoT; mobile; router; access points; server; laptop; desktop computer; switch,possession,RFC 7296; RFC 8784,quantum-attack; cryptanalysis,OS,KDF; hash,telecom; cloud,method for generating a post-quantum pre-shared key; device for generating a post-quantum pre-shared key,efficiency,session-keys; root-keys,,US20080095368; US20210226782; US20210391984; US20220345300,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for generating a post-quantum pre-shared key""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""first data comprises MAC address, serial number, IP address, random numbers, or timestamps""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""second data comprises MAC address, serial number, IP address, random numbers, or timestamps""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""derivation function is PRF, SHA2, or self-defined private function""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""first request and response are IKE_SA_INIT messages""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""second request and response are IKE_AUTH messages""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""seed PPK selected from mapping table""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""PPK_ID carried in IKE_AUTH message""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""derived PPK used for key material calculation""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""first data in vendor payload""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""second data in vendor payload""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""seed PPK distributed by administrator device""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""mapping table distributed by administrator device""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""different derived PPKs for different sessions""}, {""claim"": 15, ""depends_on"": [1], ""subject"": ""resistant to quantum computing""}, {""claim"": 16, ""depends_on"": [], ""subject"": ""device for generating a post-quantum pre-shared key""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""processor and memory""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""instructions for sending/receiving requests and deriving PPK""}]",[],9,"Directly addresses PQC key generation, a critical component for migration and HNDL mitigation.",citations_present:4,high_pqc_relevance,yes,2026-06-08
20260149585,Subscription Concealed Identifier (SUCI) Supporting Post-Quantum Cryptography,,,2025-12-09,2026-05-28,2025-12-09,H04L9/0844;H04L9/304;H04L9/085;H04L9/3242;H04L9/3263,A method for generating a Subscription Concealed Identifier (SUCI) using post-quantum cryptography key encapsulation mechanisms to protect subscriber identities from quantum attacks in 5G networks.,"The invention replaces traditional ECC-based SUCI generation with post-quantum cryptography algorithms, specifically using a Key Encapsulation Mechanism (KEM) to encrypt the SUPI. This approach ensures that subscriber identities remain secure against quantum computing threats while preventing device tracking by incorporating randomness into the encryption process.",negotiated,crypto_agility,core_invention,"The primary invention is the use of post-quantum cryptography (PQC) algorithms, specifically Key Encapsulation Mechanisms (KEM), to generate Subscription Concealed Identifiers (SUCI) in 5G networks. This replaces traditional ECC to resist quantum attacks. The quantum resistance is central to the independent claims and the core functionality of the described system.",AKA; EAP-AKA; EAP-TLS; 5G,ECC; ECDH; AES,KEM; lattice; multivariate; code-based,quantum_computing,generation; storage; exchange,mobile; IoT; FPGA; smart-card; tamper-resistant-element,possession,ETSI TS 133 501; RFC 7542; GSMA PP Requirements; ETSI TS 103 465,quantum-attack; tracking; MITM,OS,KEM; symmetric-cipher,telecom; IoT,method for generating SUCI with PQC; device for transmitting SUCI; network for authenticating SUCI,,PII; session-keys,,US11838417,[],[],9,"Directly addresses PQC migration in 5G SUCI, a critical telecom protocol for HNDL mitigation.",citations_present:1,high_pqc_relevance,yes,2026-06-08
20260149567,Systems and Methods for AI Directed Tiered Post Quantum Protection of Multimodal Data,,,2025-10-22,2026-05-28,2025-10-22,H04L9/0819;H04L63/0435,"AI-driven system classifies multimodal data sensitivity to apply tiered post-quantum or classical encryption, optimizing resource allocation for military and mission data protection.",The invention uses an AI model trained on obfuscated data to classify data elements by sensitivity. It applies post-quantum key establishment and signatures to high-sensitivity data while using conventional symmetric encryption for lower-sensitivity data.,hybrid,crypto_agility,core_invention,"Post-quantum cryptography is central to the invention, specifically used for high-sensitivity data protection in the independent methods described in the summary and detailed description. The system selectively applies PQC (Kyber, Dilithium, etc.) based on AI classification.",TLS,AES; RSA; ECC,Kyber; NTRUEncrypt; CRYSTALS Dilithium; Falcon; SPHINCS+,quantum_computing,generation; derivation; exchange; storage; rotation,HSM,knowledge; possession,,quantum-attack,,symmetric-cipher; KEM; signature,government; military,method for training an AI model to categorize data by sensitivity; method for applying a trained sensitivity categorization model to simulation data; method for applying the trained model to mission and training data,throughput; latency,mission data; simulation data; training data,GDPR; HIPAA,,[],"[{""algorithm"": ""Kyber"", ""status"": ""fips_203""}, {""algorithm"": ""CRYSTALS Dilithium"", ""status"": ""fips_204""}, {""algorithm"": ""Falcon"", ""status"": ""fips_204""}, {""algorithm"": ""SPHINCS+"", ""status"": ""fips_205""}, {""algorithm"": ""NTRUEncrypt"", ""status"": ""proprietary""}]",8,"Explicitly targets post-quantum protection strategies for data, aligning with PQC migration goals.",no_citations_recorded,high_pqc_relevance,yes,2026-06-08
12640934,Non-native blockchain signatures,Germouty; Paul,nChain Licensing AG,2023-04-24,2026-05-26,2023-04-24,H04L9/3252;H04L9/50;G06Q20/38215;G06Q20/3825;G06Q20/3829;G06Q20/401;H04L9/006;H04L9/0825;H04L9/3073;H04L9/3236;H04L9/3247;H04L9/3249;H04L9/3268,A method for verifying non-native blockchain signatures in-script by combining a native signature with a private key set to one for integrity and a non-native signature for authenticity.,"The invention enables non-native blockchain signatures to be verified in-script by generating a native signature using a private key set to one to guarantee transaction integrity. A second, non-native signature is generated based on the first signature to provide authenticity, and both are included in the unlocking script for verification.",hybrid,none,none,none,UTXO; Proof-of-Work,ECDSA; Identity-Based Signature,,none,generation,FPGA; ASIC,,ANSI X9.62-1998,double-spending,,signature,blockchain,method of verifying non-native blockchain signatures in-script; method for enabling non-native blockchain signatures to be verified in-script,computationally efficient,transactions,,US10901983,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of verifying non-native blockchain signatures in-script""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""non-native signature is an identity-based signature""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""identity-based signature verification""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""non-native signature is a general signature""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""general signature verification""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""locking script structure""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""first verification script configuration""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""second verification script configuration""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""first signature verification""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""second signature verification""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""transaction submission""}, {""claim"": 12, ""depends_on"": [], ""subject"": ""method for enabling non-native blockchain signatures to be verified in-script""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""non-native signature is an identity-based signature""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""identity-based signature generation""}, {""claim"": 15, ""depends_on"": [12], ""subject"": ""non-native signature is a general signature""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""general signature generation""}, {""claim"": 17, ""depends_on"": [12], ""subject"": ""unlocking script inclusion""}, {""claim"": 18, ""depends_on"": [12], ""subject"": ""transaction submission""}, {""claim"": 19, ""depends_on"": [12], ""subject"": ""first signature generation""}]",[],1,Title and CPCs indicate classical blockchain signatures with no PQC or quantum migration relevance.,citations_present:1,low_pqc_relevance,yes,2026-06-08
12640923,Number-theoretic transform architecture for lattice-based cryptographic algorithms,,"MICROSOFT TECHNOLOGY LICENSING, LLC",2024-04-04,2026-05-26,2024-04-04,H04L9/3093,"Hardware architecture for number-theoretic transforms in lattice-based cryptography using a single memory block, commutator stages with varying delays, and radix-4 butterfly units.","The invention provides a device for performing NTT/INTT computations for lattice-based cryptographic algorithms using a single memory block. It employs read/write address permutation generators and commutator stages with varying delay depths to feed radix-4 or 2-by-1 radix-2 butterfly units, avoiding bit-reversal operations and reducing area cost.",pqc_only,none,background_only,"Quantum computing is mentioned in the background as a threat to classical cryptography, motivating the use of post-quantum lattice-based algorithms. The invention itself is a classical hardware accelerator for these algorithms and does not utilize quantum technology.",,,ML-KEM; ML-DSA; Kyber; Dilithium,quantum_computing,generation; exchange,FPGA,,FIPS 203; FIPS 204,quantum-attack,,KEM; signature,,device for performing an NTT; method for performing an NTT computation,throughput; HW-accel; latency,,,,[],"[{""algorithm"": ""ML-KEM"", ""status"": ""fips_203""}, {""algorithm"": ""Kyber"", ""status"": ""fips_203""}, {""algorithm"": ""ML-DSA"", ""status"": ""fips_204""}, {""algorithm"": ""Dilithium"", ""status"": ""fips_204""}]",9,"Directly enables efficient hardware for lattice-based PQC (Kyber/Dilithium), critical for migration performance.",no_citations_recorded,high_pqc_relevance,yes,2026-06-08
12640915,Systems and methods for quantum-safe key infrastructures,,"JPMORGAN CHASE BANK, N.A.",2024-02-26,2026-05-26,2024-02-26,H04L9/0852,Systems and methods for quantum-safe key infrastructures using symmetric key devices to generate keys via QKD or pre-shared keys for encrypting data between locations.,"A system comprising symmetric key devices at two locations that generate symmetric keys over a distribution channel, storing them in key management systems, and using encryptors to secure data transmission over a quantum-safe communication channel. The method involves generating keys, encrypting data at a first location, transmitting encrypted data, and decrypting at a second location using the shared symmetric key.",hybrid,none,core_invention,"Quantum Key Distribution (QKD) is claimed as an embodiment for generating symmetric keys in dependent claims 5 and 15. The independent claims (1 and 11) define a 'quantum-safe' infrastructure that can use QKD or pre-shared keys, making quantum technology a central but optional component of the primary invention.",QKD; MACsec; IPsec; OTNsec; REST API,AES; RSA; Diffie-Hellman,,qkd; photonic; satellite_qkd,generation; distribution; storage; derivation,HSM; FPGA; layer 2 switch; computer server; symmetric key device; encryptor,,,quantum-attack,quantum-entanglement,symmetric-cipher; KDF,banking; cloud; telecom,system for quantum-safe key infrastructure; method for using quantum-safe key infrastructure,,transactions,,US8929554; US9509506; US9680640; US9887976; US11973861; US12052350; US12225110; US12301702; US12323512; US12335378; US12341879,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for quantum-safe key infrastructure""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""system with key management systems""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""system generating plurality of symmetric keys""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""system using pre-shared key""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""system using quantum key distribution""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""system with direct optical fiber connection""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""system with servers at locations""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""system with data centers""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""system with plurality of first encryptors""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""system with plurality of second encryptors""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""method for using quantum-safe key infrastructure""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""method with key management systems""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""method generating plurality of symmetric keys""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""method using pre-shared key""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""method using quantum key distribution""}, {""claim"": 16, ""depends_on"": [11], ""subject"": ""method with direct optical fiber connection""}, {""claim"": 17, ""depends_on"": [11], ""subject"": ""method with servers at locations""}]",[],9,"Title explicitly targets quantum-safe key infrastructures, aligning with PKI migration and key management modernization.",citations_present:11,high_pqc_relevance,yes,2026-06-08
12640919,Facilitating establishment of a security association when a post-quantum preshared key cannot be obtained,,Hewlett Packard Enterprise Development LP,2024-05-03,2026-05-26,2024-05-03,H04L9/0858;H04L9/0825,A network device establishes a non-quantum-secure security association by generating pseudo-post-quantum preshared key authentication data when the actual key is unavailable and quantum security is not mandatory.,The invention provides a method for facilitating security association establishment when a post-quantum preshared key cannot be obtained. It involves generating a pseudo-PPK and corresponding authentication information alongside non-quantum-secure authentication data to allow fallback to a non-quantum-secure SA without restarting the protocol.,negotiated,none,background_only,"The patent addresses the failure to obtain a 'post-quantum preshared key' (PPK) as defined in RFC 8784. The invention is a fallback mechanism to establish a non-quantum-secure SA when quantum-secure establishment is not mandatory. Quantum technology is not implemented; rather, the absence of a quantum key triggers the claimed method. The term 'post-quantum' appears in the title and description regarding the PPK, but no quantum algorithms or hardware are claimed.",IKEv2,RSA; HMAC; Diffie-Hellman,,none,generation; distribution,,possession,RFC 8784,,,MAC; hash; symmetric-cipher,telecom,method for facilitating establishment of a security association; non-transitory computer-readable medium; network device,,session-keys,,US20120203879; US20240129115; US20250175795,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for facilitating establishment of a security association""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""method where pseudo-PPK includes dummy bits""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""method where pseudo-PPK is hashed""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""method where non-quantum-secure key is symmetric""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""method where authentication message is IKE_AUTH""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""method where flag indicates non-mandatory quantum SA""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""method where PPK retrieval fails due to communication issue""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""method where PPK retrieval fails due to corruption""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""method where responder authenticates based on non-quantum-secure info""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""method where responder determines quantum SA not mandatory""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""non-transitory computer-readable medium""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""medium where pseudo-PPK includes dummy bits""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""medium where pseudo-PPK is hashed""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""medium where non-quantum-secure key is symmetric""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""medium where authentication message is IKE_AUTH""}, {""claim"": 16, ""depends_on"": [11], ""subject"": ""medium where flag indicates non-mandatory quantum SA""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""network device""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""device where pseudo-PPK includes dummy bits""}, {""claim"": 19, ""depends_on"": [17], ""subject"": ""device where pseudo-PPK is hashed""}, {""claim"": 20, ""depends_on"": [17], ""subject"": ""device where non-quantum-secure key is symmetric""}]",[],9,"Directly addresses PQC key management and security association establishment, critical for migration.",citations_present:3,high_pqc_relevance,yes,2026-06-08
