Name,Country,Role,Organization,Type,Category,Contribution,ImageUrl,WebsiteUrl,LinkedinUrl,KeyResourceRefs,KeyResourceUrls,trusted_source_id,peer_reviewed,vetting_body,data_quality_notes,status,deprecated_at,deprecated_reason,KeyResourceUrl
Dr. Jérôme Notin,France,CEO,GIP ACYMA (cybermalveillance.gouv.fr),Public,Government,CEO of GIP ACYMA which operates cybermalveillance.gouv.fr; leads France's national cyber victim assistance platform; promotes quantum-safe awareness for SMEs and individuals.,https://ui-avatars.com/api/?name=Jerome+Notin&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.cybermalveillance.gouv.fr/,https://www.linkedin.com/in/jeromenotin/,ANSSI PQC Position Paper;ANSSI-PQC-FAQ-2025,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition; https://cyber.gouv.fr/publications/avis-de-lanssi-sur-la-migration-vers-la-cryptographie-post-quantique-0,gip-acyma,no,GIP ACYMA (cybermalveillance.gouv.fr),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Andrei Gurtov,Sweden,Full Professor,Linköping University,Academic,Standards,Full Professor at Linköping University and adjunct professor at Aalto University and University of Helsinki; research in network security and PQC protocol design; contributes to quantum-safe communications standards.,https://ui-avatars.com/api/?name=Andrei+Gurtov&background=0b0d17&color=60a5fa&size=128&bold=true,https://liu.se/,https://www.linkedin.com/in/andrei-gurtov-9386a21/,IETF RFC 9370;IETF RFC 8784,https://www.rfc-editor.org/rfc/rfc9370; https://www.rfc-editor.org/rfc/rfc8784,,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Martin Albrecht,United Kingdom,Professor,King's College London;SandboxAQ,Academic,Industry Vendor,Professor of Cybersecurity and Chair of Cryptography at King's College London; Research Scientist at SandboxAQ; leading PQC cryptanalysis expert who broke several NIST PQC candidates during the standardization process.,https://ui-avatars.com/api/?name=Martin+Albrecht&background=0b0d17&color=a78bfa&size=128&bold=true,https://resquant.com/,https://www.linkedin.com/in/martin-albrecht-42a74b95/,FIPS 203;FIPS 204;NIST IR 8413,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final; https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-csrc,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Scott Aaronson,United States,Professor,University of Texas Austin,Academic,Standards,Leading quantum computing theorist; contributes to understanding quantum threats to cryptography; authored 'Quantum Computing Since Democritus'.,https://ui-avatars.com/api/?name=Scott+Aaronson&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.scottaaronson.com/,https://www.linkedin.com/in/scott-aaronson-ab83933a0/,NIST IR 8105;GRI-Quantum-Threat-Timeline-2025,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8105.pdf; https://globalriskinstitute.org/publication/2025-quantum-threat-timeline-report/,nist-news,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Nadia Heninger,United States,Professor,UC San Diego,Academic,Algorithm Inventor,Cryptanalysis expert at University of San Diego Crypto Group; discovered vulnerabilities in RSA and random number generation; PQC security analysis.,https://ui-avatars.com/api/?name=Nadia+Heninger&background=0b0d17&color=f59e0b&size=128&bold=true,https://cseweb.ucsd.edu/~nadiah/,https://www.linkedin.com/in/nadia-heninger-87578a5/,NIST IR 8105;NIST IR 8413,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8105.pdf; https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-news,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Emmanuelle Encrenaz,France,Associate Professor,Sorbonne Université (LIP6/CNRS),Academic,Standards,Associate Professor at Sorbonne Université affiliated with LIP6/CNRS; PQCrypto steering committee member; contributes to international PQC standardization and research on algebraic and post-quantum cryptography.,https://ui-avatars.com/api/?name=Emmanuelle+Encrenaz&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.lip6.fr/,https://www.linkedin.com/in/emmanuelle-encrenaz-34012b58/,ANSSI PQC Position Paper;NIST IR 8413,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition; https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Prof. Edoardo Persichetti,United States,Associate Professor,Florida Atlantic University,Academic,Standards,Associate Professor at Florida Atlantic University; Director of the Center for Cryptology and Information Security; PQCrypto steering committee member; expert in code-based PQC algorithm development and lattice cryptography.,https://ui-avatars.com/api/?name=Edoardo+Persichetti&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.fau.edu/,https://www.linkedin.com/in/edoardo-persichetti-56a92a8b/,NIST IR 8545;NIST IR 8413,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-news,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Dustin Moody,United States,PQC Standardization Lead,NIST,Public,Government,Led NIST's eight-year standardization effort; oversaw evaluation of 82 algorithms; directed finalization of FIPS 203/204/205 (Aug 2024); selected HQC (Mar 2025).,https://ui-avatars.com/api/?name=Dustin+Moody&background=0b0d17&color=22d3ee&size=128&bold=true,https://csrc.nist.gov/projects/post-quantum-cryptography,https://www.linkedin.com/in/dustin-moody-88410550/,NIST IR 8413;FIPS 203,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf; https://csrc.nist.gov/pubs/fips/203/final,nist-news,no,NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Lily Chen,United States,NIST Fellow; Former Manager Cryptographic Technology Group,NIST,Public,Government,Co-architect of NIST's PQC standardization; co-authored foundational NISTIR 8105; 30+ years cryptography experience; leads NIST-ITU liaison.,https://ui-avatars.com/api/?name=Lily+Chen&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.nist.gov/people/lily-chen,https://www.linkedin.com/in/lily-lidong-chen-2666761/,FIPS 203;FIPS 204;FIPS 205,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final; https://csrc.nist.gov/pubs/fips/205/final,nist-csrc,no,NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Ollie Whitehouse,United Kingdom,Chief Technology Officer,NCSC (UK),Public,Government,"First-ever NCSC CTO (Oct 2023); published three-phase PQC migration roadmap (Mar 2025) with 2035 deadline: identify by 2028, upgrade by 2031, complete by 2035; launched assured PQC consultancy scheme; endorsed NIST algorithms.",https://ui-avatars.com/api/?name=Ollie+Whitehouse&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.ncsc.gov.uk/,https://www.linkedin.com/in/olliewhitehouse/,UK NCSC PQC Guidance;UK-NCSC-Migration-Timelines-2025;UK-NCSC-PQC-Whitepaper-2024,https://www.ncsc.gov.uk/whitepaper/next-steps-preparing-for-post-quantum-cryptography; https://www.ncsc.gov.uk/guidance/pqc-migration-timelines; https://www.ncsc.gov.uk/whitepaper/next-steps-preparing-for-post-quantum-cryptography,ncsc-uk,no,NCSC (UK),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
