sector_key,display_name,cswp39_anchor,aliases,cross_sector,legacy_of,expands_to,notes,status,deprecated_at,deprecated_reason
11,Food & Agriculture,Food & Agriculture,Food & Agriculture;Agriculture;Farming,No,,,"Added 2026-07-31 (WP-0.2). One of the four CSWP-39 anchors the coverage audit found had no /compliance filter at all, because the vocabulary contained no NAICS code covering it.",active,,
22,Energy & Utilities,Energy & Utilities,Energy & Utilities;Energy;Utilities;Oil & Gas;Water & Wastewater Systems;Critical Infrastructure / Energy;Water / Wastewater;Energy / Critical Infrastructure,No,,,"Water & Wastewater Systems is a CISA critical-infrastructure sector with no 2-digit NAICS of its own; NAICS 22 (Utilities) is its home. 2026-08-13: added Industry Landscape label alias(es) so the Algorithms Industry Landscape tab can resolve a landscape industry to this sector (/library?sector=, /compliance?ind=). resolveToNaicsSet is exact-match on the lowercased alias, so the landscape's own label had to be listed verbatim. 2026-08-27 (vendor-risk remediation WS-1): added alias ""Energy / Critical Infrastructure"" — the only threats-CSV industry label (10 rows) that did not resolve through this vocabulary; its registered twin was the reversed word order ""Critical Infrastructure / Energy"".",active,,
32,Chemical,Chemical,Chemical;Chemicals,No,,,Added 2026-07-31 (WP-0.2). NAICS 325 is chemical manufacturing; 32 is its 2-digit parent. Second of the four unfiltered anchors.,active,,
33,Critical Manufacturing,Critical Manufacturing,Critical Manufacturing;Manufacturing;Aerospace;Automotive;Aerospace / Aviation;Automotive / Connected Vehicles,No,,,"Added 2026-07-31 (WP-0.2). Covers the Critical Manufacturing anchor plus Aerospace and Automotive, neither of which had any code. 2026-08-13: added Industry Landscape label alias(es) so the Algorithms Industry Landscape tab can resolve a landscape industry to this sector (/library?sector=, /compliance?ind=). resolveToNaicsSet is exact-match on the lowercased alias, so the landscape's own label had to be listed verbatim.",active,,
44,Retail Trade,Retail & E-Commerce,Retail Trade;Retail;Retail & E-Commerce;E-Commerce;Retail / E-Commerce,No,,,"2026-08-13: added Industry Landscape label alias(es) so the Algorithms Industry Landscape tab can resolve a landscape industry to this sector (/library?sector=, /compliance?ind=). resolveToNaicsSet is exact-match on the lowercased alias, so the landscape's own label had to be listed verbatim.",active,,
45,Retail Trade,Retail & E-Commerce,Retail Trade;Retail,No,,,NAICS splits retail across 44-45; both resolve to the same display name.,active,,
48,Transportation,Transportation Systems,Transportation;Transportation Systems;Logistics;Rail / Transit;Supply Chain / Logistics,No,,,"Transportation Systems is the CSWP-39 anchor name; NAICS 48 is the code. 2026-08-13: added Industry Landscape label alias(es) so the Algorithms Industry Landscape tab can resolve a landscape industry to this sector (/library?sector=, /compliance?ind=). resolveToNaicsSet is exact-match on the lowercased alias, so the landscape's own label had to be listed verbatim.",active,,
49,Transportation,Transportation Systems,Transportation;Logistics;Warehousing;Rail / Transit;Supply Chain / Logistics,No,,,"NAICS splits transportation across 48-49; both resolve to the same display name. 2026-08-13: added Industry Landscape label alias(es) so the Algorithms Industry Landscape tab can resolve a landscape industry to this sector (/library?sector=, /compliance?ind=). resolveToNaicsSet is exact-match on the lowercased alias, so the landscape's own label had to be listed verbatim.",active,,
51,Information Technology,Communications,Information Technology;Technology;Software;IT;Telecommunications;Telecom;Communications;Cloud Computing / Data Centers;Hardware Security Modules;IT Industry / Software;Internet of Things (IoT);Media / Entertainment / DRM,No,,,"'Technology' is deliberately an alias of BOTH 51 and 54 (user decision 2026-07-31). The rows tagged 'Technology' are cryptography standards and certification schemes that apply to software/IT firms and technical-services firms alike, so they carry both codes rather than being forced into one. 2026-08-13: added Industry Landscape label alias(es) so the Algorithms Industry Landscape tab can resolve a landscape industry to this sector (/library?sector=, /compliance?ind=). resolveToNaicsSet is exact-match on the lowercased alias, so the landscape's own label had to be listed verbatim.",active,,
52,Finance & Insurance,Finance & Banking,Finance & Insurance;Finance & Banking;Banking;Financial Services;Finance;financial;Cryptocurrency / Blockchain;Financial Services / Banking;Insurance;Payment Card Industry,No,,,"2026-08-13: added Industry Landscape label alias(es) so the Algorithms Industry Landscape tab can resolve a landscape industry to this sector (/library?sector=, /compliance?ind=). resolveToNaicsSet is exact-match on the lowercased alias, so the landscape's own label had to be listed verbatim.",active,,
