question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
entropy-randomness-learn-001,entropy-randomness,Entropy & Randomness,Which NIST Special Publication defines the framework for Deterministic Random Bit Generator (DRBG) mechanisms?,NIST SP 800-90A defines DRBG mechanisms. Revision 1 (June 2015) is the current final version and specifies Hash_DRBG and HMAC_DRBG (Section 10.1) and CTR_DRBG (Section 10.2). A Revision 2 has only been announced through a pre-draft call for comments; it has no draft text.,learn,recall,developer;architect,intermediate;advanced,Global,General,NIST-SP-800-90A-R1,,,,,,NIST,/library?ref=NIST-SP-800-90A-R1;/learn/entropy-randomness,library_ref:NIST-SP-800-90A-R1 EXISTS,"SP 800-90A Rev. 1 §10.1.1, §10.1.2, §10.2.1; csrc.nist.gov/pubs/sp/800/90/a/r2/iprd (checked 2026-09-24)"
entropy-randomness-learn-002,entropy-randomness,Entropy & Randomness,"What random inputs do ML-KEM and ML-DSA key generation draw, and does their 32-byte length set the required RBG strength?","ML-KEM.KeyGen draws two 32-byte values, d and z, and ML-DSA.KeyGen draws one 32-byte seed, ξ. The length does not set the RBG strength. FIPS 203 §3.3 requires an approved RBG with at least 128, 192 or 256 bits of security strength for ML-KEM-512, -768 or -1024. FIPS 204 §3.6.1 requires at least 192 bits for ML-DSA-65 and 256 bits for ML-DSA-87; for ML-DSA-44 the RBG shall have at least 128 bits and should have at least 192.",learn,recall,developer;architect,advanced,Global,General,FIPS 203;FIPS 204,,,,KEM,,,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/learn/entropy-randomness,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS,"FIPS 203 §3.3, §7.1 Alg. 19; FIPS 204 §3.6.1, §5.1 Alg. 1 (utils/pqcRandomInputs.ts)"
entropy-randomness-learn-003,entropy-randomness,Entropy & Randomness,Which NIST standard covers the validation of entropy sources specifically?,"NIST SP 800-90B is the standard that covers entropy source validation. It details the requirements for raw entropy sources, including health tests and min-entropy estimation methods.",learn,recall,architect;ops,intermediate;advanced,Global,General,NIST SP 800-90B,,,,,,NIST,/library?ref=NIST%20SP%20800-90B;/learn/entropy-randomness,library_ref:NIST SP 800-90B EXISTS|compliance_ref:NIST EXISTS,Key Concepts: NIST SP 800-90 family
entropy-randomness-learn-004,entropy-randomness,Entropy & Randomness,What historical vulnerability is cited as an example of entropy failure due to PID-only seeding?,"The 2008 Debian OpenSSL bug is cited as a historical failure where PID-only seeding resulted in only approximately 32,768 possible keys. This demonstrated that a perfectly designed algorithm is worthless if the underlying random number generator is predictable.",learn,recall,developer;security_engineer,intermediate;advanced,Global,General,Debian-Security-Advisory-DSA-1571-1-openssl-predictable-rand,,,,,OpenSSL,,/migrate?q=OpenSSL;/learn/entropy-randomness,migrate_ref:OpenSSL EXISTS,Key Concepts: Entropy fundamentals
entropy-randomness-learn-005,entropy-randomness,Entropy & Randomness,Does SP 800-90A currently specify a SHAKE- or XOF-based DRBG?,"No. SP 800-90A Rev. 1 is the current final version and specifies Hash_DRBG, HMAC_DRBG and CTR_DRBG. On 2025-09-04 NIST published a pre-draft call for comments on SP 800-90A (comments closed 2025-11-04) announcing that a revision will introduce a DRBG construction based on the SHAKE extendable-output functions. No draft text has been published, so no such mechanism is specified or approved.",learn,recall,developer;architect,advanced,Global,General,NIST-SP-800-90A-R1,,,,,,NIST,/library?ref=NIST-SP-800-90A-R1;/learn/entropy-randomness,library_ref:NIST-SP-800-90A-R1 EXISTS,csrc.nist.gov/pubs/sp/800/90/a/r2/iprd (checked 2026-09-24); SP 800-90A Rev. 1 §10
entropy-randomness-learn-006,entropy-randomness,Entropy & Randomness,Since when has CMVP required FIPS 140-2 and FIPS 140-3 module submissions to justify SP 800-90B conformance?,"Since November 7, 2020. CMVP requires all FIPS 140-2 and FIPS 140-3 module validation submissions to include documentation justifying conformance to SP 800-90B, where applicable. Separately, accredited labs can submit an entropy source to CMVP for an Entropy Validation Certificate.",learn,recall,architect;ops,intermediate;advanced,USA;Global,General,NIST-SP-800-90B;FIPS-140-3-STANDARD,,,,,,NIST,/library?ref=NIST-SP-800-90B;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS|library_ref:FIPS-140-3-STANDARD EXISTS,"csrc.nist.gov/projects/cryptographic-module-validation-program/entropy-validations (updated 2026-08-21, checked 2026-09-24)"
entropy-randomness-learn-007,entropy-randomness,Entropy & Randomness,How does the quality of entropy directly impact cryptographic security?,"The quality of entropy determines the strength of cryptographic keys, nonces, and initialization vectors. If the underlying random number generator is predictable, even a perfectly designed algorithm becomes worthless.",learn,comprehension,architect;executive,intermediate;advanced,Global,General,NIST-SP-800-90B,,,,,,,/learn/entropy-randomness,,Module Description; Key Concepts: Entropy fundamentals
entropy-randomness-learn-008,entropy-randomness,Entropy & Randomness,What is the primary difference between a TRNG and a QRNG in terms of their entropy source?,"Both are noise sources. A TRNG uses a classical process such as thermal noise or timing jitter; a QRNG uses a quantum process such as photon detection or tunnelling. For FIPS 140-3 purposes both are judged by the same SP 800-90B requirements — a noise-source model, an entropy estimate from raw data, and health tests. CMVP has issued Entropy Validation Certificates for both kinds, for example E280 (a CPU-jitter source) and E145 (QuintessenceLabs qStream 100).",learn,comprehension,developer;researcher,intermediate;advanced,Global,General,NIST-SP-800-90B,,,,,,,/library?ref=NIST-SP-800-90B;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS,"SP 800-90B §2.2.1; CMVP entropy certificates E145, E280 (checked 2026-09-24)"
entropy-randomness-learn-009,entropy-randomness,Entropy & Randomness,"Why should a design document not cite an ""XOF_DRBG"" as an approved DRBG for PQC?","Because no such mechanism is specified. NIST's SP 800-90A Rev. 2 page is a pre-draft call for comments (2025-09-04) that only announces a planned SHAKE-based DRBG; no draft exists. The approved DRBG mechanisms are those of SP 800-90A Rev. 1, and FIPS 203 and FIPS 204 place their requirement on the RBG's approval and security strength, not on whether the DRBG uses SHAKE.",learn,comprehension,developer;architect,advanced,Global,General,NIST-SP-800-90A-R1;FIPS 203;FIPS 204,,,,,,NIST,/library?ref=NIST-SP-800-90A-R1;/library?ref=FIPS%20203;/library?ref=FIPS%20204;/learn/entropy-randomness,library_ref:NIST-SP-800-90A-R1 EXISTS|library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS,csrc.nist.gov/pubs/sp/800/90/a/r2/iprd (checked 2026-09-24); FIPS 203 §3.3; FIPS 204 §3.6.1
entropy-randomness-learn-010,entropy-randomness,Entropy & Randomness,"What does XOR-combining two entropy sources guarantee, and under what condition?","If the two inputs are independent, their XOR is at least as unpredictable as the stronger input, so one failed source does not erase the other's contribution. The guarantee is lost if the sources are correlated or an attacker can influence one input. Whether the resulting RBG is acceptable still depends on its SP 800-90C construction and on the validated entropy of the source that remains.",learn,comprehension,architect;developer,advanced,Global,General,NIST-SP-800-90C,,,,,,NIST,/library?ref=NIST-SP-800-90C;/learn/entropy-randomness,library_ref:NIST-SP-800-90C EXISTS,Engineering reasoning; SP 800-90C Abstract (RBG constructions)
