xwalk_id,from_concept,to_concept,relationship_type,rationale_type,evidence,verified_date,verified_by,confidence
xw-001,NIST CSWP 39,FIPS 203,intersects_with,technical_dependency,CSWP 39 §3 cites ML-KEM (FIPS 203) as one of the three mandatory-to-implement post-quantum algorithms for systems transitioning away from classical public-key cryptography.,2026-05-07,ericamador,high
xw-002,NIST CSWP 39,FIPS 204,intersects_with,technical_dependency,CSWP 39 §3 cites ML-DSA (FIPS 204) as one of the three mandatory-to-implement post-quantum algorithms alongside ML-KEM and SLH-DSA.,2026-05-07,ericamador,high
xw-003,NIST CSWP 39,FIPS 205,intersects_with,technical_dependency,CSWP 39 §3 cites SLH-DSA (FIPS 205) as the stateless hash-based signature algorithm required for cryptographic agility and backup-algorithm resilience.,2026-05-07,ericamador,high
xw-004,NIST CSWP 39,NIST-SP-800-131A-Rev3,subset_of,implementation_guidance,CSWP 39 §4 applies the SP 800-131A Rev 3 transition framework as the normative deprecation schedule for classical algorithm migration; CSWP 39 guidance is a policy application of that broader transition framework.,2026-05-07,ericamador,high
xw-005,NIST CSWP 39,NIST IR 8413,intersects_with,policy_reference,CSWP 39 §2 references IR 8413 (Third Round Status Report) as the baseline selection rationale for the three standardized PQC algorithms; IR 8413 documents the selection decisions CSWP 39 builds upon.,2026-05-07,ericamador,high
xw-006,NIST CSWP 39,RFC 8446,intersects_with,technical_dependency,CSWP 39 §5 references TLS 1.3 (RFC 8446) as the primary network protocol context for PQC migration; hybrid key exchange via ML-KEM is the main deployment path for CSWP 39 recommendations in transport security.,2026-05-07,ericamador,high
xw-007,NIST CSWP 39,RFC 9629,intersects_with,technical_dependency,CSWP 39 §5 references KEM integration in CMS (RFC 9629) as the messaging and certificate infrastructure path for PQC migration; organizations implementing CSWP 39 must address CMS-based key transport as well as TLS.,2026-05-07,ericamador,high
xw-013,NSA CNSA 2.0,FIPS 203,subset_of,implementation_guidance,CNSA 2.0 §2.1 mandates ML-KEM (FIPS 203) as the required KEM algorithm for NSS; CNSA 2.0 is an implementation mandate that is a subset of the broader FIPS 203 standard.,2026-05-07,ericamador,high
xw-014,NSA CNSA 2.0,FIPS 204,subset_of,implementation_guidance,CNSA 2.0 §2.2 mandates ML-DSA (FIPS 204) as the required digital signature algorithm for NSS; CNSA 2.0 is an implementation mandate that is a subset of the broader FIPS 204 standard.,2026-05-07,ericamador,high
xw-015,NSA CNSA 2.0,FIPS 205,subset_of,implementation_guidance,CNSA 2.0 §2.2 mandates SLH-DSA (FIPS 205) as an approved stateless hash-based alternative signature algorithm for NSS; CNSA 2.0 guidance is a subset of the broader FIPS 205 standard.,2026-05-07,ericamador,high
xw-016,NIST-SP-800-131A-Rev3,NIST CSWP 39,superset_of,implementation_guidance,SP 800-131A Rev 3 provides the normative algorithm deprecation and key-length schedule that CSWP 39 applies as a migration policy; SP 800-131A is the broader transition framework of which CSWP 39 guidance is a policy application.,2026-05-07,ericamador,high
xw-017,AU-ASD-ISM-Crypto-2024,NIST CSWP 39,intersects_with,policy_reference,ASD ISM (December 2024) §6 references the NIST PQC standardization programme and CSWP 39 cryptographic agility guidance as the foundation for ASD algorithm migration recommendations; Five Eyes alignment is explicit.,2026-05-07,ericamador,high
xw-018,AU-ASD-ISM-Crypto-2024,FIPS 203,intersects_with,technical_dependency,ASD ISM (December 2024) §6.2 lists ML-KEM (FIPS 203) as an approved post-quantum key encapsulation algorithm for Australian government systems.,2026-05-07,ericamador,high
xw-019,UK NCSC PQC Guidance,NIST CSWP 39,intersects_with,policy_reference,NCSC Preparing for Quantum-Safe Cryptography references NIST PQC standards and cryptographic agility principles consistent with CSWP 39; Five Eyes coordination is referenced throughout.,2026-05-07,ericamador,high
xw-020,UK NCSC PQC Guidance,FIPS 203,intersects_with,technical_dependency,NCSC Preparing for Quantum-Safe Cryptography endorses ML-KEM (FIPS 203) as the primary post-quantum KEM algorithm recommended for UK organisations transitioning away from RSA/ECC.,2026-05-07,ericamador,high
xw-021,CA-TBS-SPIN-PQC-2025,NIST CSWP 39,intersects_with,policy_reference,Canada TBS SPIN 2025-01 §3 references NIST cryptographic agility guidance (CSWP 39) as a key input to the GC PQC migration roadmap; Canadian policy mirrors NIST migration framework.,2026-05-07,ericamador,high
xw-022,CA-TBS-SPIN-PQC-2025,FIPS 203,intersects_with,technical_dependency,Canada TBS SPIN 2025-01 §4 endorses ML-KEM (FIPS 203) as an approved algorithm for Government of Canada systems transitioning to post-quantum cryptography.,2026-05-07,ericamador,high
xw-008,FIPS 203,"FIPS 203, 204, 205 Published",intersects_with,timeline_anchor,NIST published ML-KEM (FIPS 203) in August 2024 as one of three inaugural post-quantum cryptography standards; this event marks the formal standardization milestone for the algorithm.,2026-05-07,ericamador,high
xw-009,FIPS 204,"FIPS 203, 204, 205 Published",intersects_with,timeline_anchor,NIST published ML-DSA (FIPS 204) in August 2024 as one of three inaugural post-quantum cryptography standards; this event marks the formal standardization milestone for the algorithm.,2026-05-07,ericamador,high
xw-010,FIPS 205,"FIPS 203, 204, 205 Published",intersects_with,timeline_anchor,NIST published SLH-DSA (FIPS 205) in August 2024 as one of three inaugural post-quantum cryptography standards; this event marks the formal standardization milestone for the algorithm.,2026-05-07,ericamador,high
xw-011,NSA CNSA 2.0,NSS Acquisitions CNSA 2.0 Required,intersects_with,timeline_anchor,NSA CNSA 2.0 mandates that new NSS acquisitions must include PQC algorithm support; the NSS Acquisitions deadline is a direct enforcement timeline for CNSA 2.0 compliance.,2026-05-07,ericamador,high
xw-012,NIST CSWP 39,"FIPS 203, 204, 205 Published",intersects_with,timeline_anchor,CSWP 39 was published concurrently with FIPS 203/204/205 as the migration guidance document; the standards finalization event is the prerequisite that enabled CSWP 39 to reference specific algorithm identifiers.,2026-05-07,ericamador,high
