xwalk_id,from_concept,to_concept,relationship_type,rationale_type,evidence,verified_date,verified_by,confidence
xw-001,NIST CSWP 39,FIPS 203,intersects_with,technical_dependency,CSWP 39 §3 cites ML-KEM (FIPS 203) as one of the three mandatory-to-implement post-quantum algorithms for systems transitioning away from classical public-key cryptography.,2026-05-07,ericamador,high
xw-002,NIST CSWP 39,FIPS 204,intersects_with,technical_dependency,CSWP 39 §3 cites ML-DSA (FIPS 204) as one of the three mandatory-to-implement post-quantum algorithms alongside ML-KEM and SLH-DSA.,2026-05-07,ericamador,high
xw-003,NIST CSWP 39,FIPS 205,intersects_with,technical_dependency,CSWP 39 §3 cites SLH-DSA (FIPS 205) as the stateless hash-based signature algorithm required for cryptographic agility and backup-algorithm resilience.,2026-05-07,ericamador,high
xw-004,NIST CSWP 39,NIST-SP-800-131A-Rev3,subset_of,implementation_guidance,CSWP 39 §4 applies the SP 800-131A Rev 3 transition framework as the normative deprecation schedule for classical algorithm migration; CSWP 39 guidance is a policy application of that broader transition framework.,2026-05-07,ericamador,high
xw-005,NIST CSWP 39,NIST IR 8413,intersects_with,policy_reference,CSWP 39 §2 references IR 8413 (Third Round Status Report) as the baseline selection rationale for the three standardized PQC algorithms; IR 8413 documents the selection decisions CSWP 39 builds upon.,2026-05-07,ericamador,high
xw-006,NIST CSWP 39,RFC 8446,intersects_with,technical_dependency,CSWP 39 §5 references TLS 1.3 (RFC 8446) as the primary network protocol context for PQC migration; hybrid key exchange via ML-KEM is the main deployment path for CSWP 39 recommendations in transport security.,2026-05-07,ericamador,high
xw-007,NIST CSWP 39,RFC 9629,intersects_with,technical_dependency,CSWP 39 §5 references KEM integration in CMS (RFC 9629) as the messaging and certificate infrastructure path for PQC migration; organizations implementing CSWP 39 must address CMS-based key transport as well as TLS.,2026-05-07,ericamador,high
xw-013,NSA CNSA 2.0,FIPS 203,subset_of,implementation_guidance,CNSA 2.0 §2.1 mandates ML-KEM (FIPS 203) as the required KEM algorithm for NSS; CNSA 2.0 is an implementation mandate that is a subset of the broader FIPS 203 standard.,2026-05-07,ericamador,high
xw-014,NSA CNSA 2.0,FIPS 204,subset_of,implementation_guidance,CNSA 2.0 §2.2 mandates ML-DSA (FIPS 204) as the required digital signature algorithm for NSS; CNSA 2.0 is an implementation mandate that is a subset of the broader FIPS 204 standard.,2026-05-07,ericamador,high
xw-015,NSA CNSA 2.0,FIPS 205,subset_of,implementation_guidance,CNSA 2.0 §2.2 mandates SLH-DSA (FIPS 205) as an approved stateless hash-based alternative signature algorithm for NSS; CNSA 2.0 guidance is a subset of the broader FIPS 205 standard.,2026-05-07,ericamador,high
xw-016,NIST-SP-800-131A-Rev3,NIST CSWP 39,superset_of,implementation_guidance,SP 800-131A Rev 3 provides the normative algorithm deprecation and key-length schedule that CSWP 39 applies as a migration policy; SP 800-131A is the broader transition framework of which CSWP 39 guidance is a policy application.,2026-05-07,ericamador,high
xw-017,AU-ASD-ISM-Crypto-2024,NIST CSWP 39,intersects_with,policy_reference,ASD ISM (December 2024) §6 references the NIST PQC standardization programme and CSWP 39 cryptographic agility guidance as the foundation for ASD algorithm migration recommendations; Five Eyes alignment is explicit.,2026-05-07,ericamador,high
xw-018,AU-ASD-ISM-Crypto-2024,FIPS 203,intersects_with,technical_dependency,ASD ISM (December 2024) §6.2 lists ML-KEM (FIPS 203) as an approved post-quantum key encapsulation algorithm for Australian government systems.,2026-05-07,ericamador,high
xw-019,UK NCSC PQC Guidance,NIST CSWP 39,intersects_with,policy_reference,NCSC Preparing for Quantum-Safe Cryptography references NIST PQC standards and cryptographic agility principles consistent with CSWP 39; Five Eyes coordination is referenced throughout.,2026-05-07,ericamador,high
xw-020,UK NCSC PQC Guidance,FIPS 203,intersects_with,technical_dependency,NCSC Preparing for Quantum-Safe Cryptography endorses ML-KEM (FIPS 203) as the primary post-quantum KEM algorithm recommended for UK organisations transitioning away from RSA/ECC.,2026-05-07,ericamador,high
xw-021,CA-TBS-SPIN-PQC-2025,NIST CSWP 39,intersects_with,policy_reference,Canada TBS SPIN 2025-01 §3 references NIST cryptographic agility guidance (CSWP 39) as a key input to the GC PQC migration roadmap; Canadian policy mirrors NIST migration framework.,2026-05-07,ericamador,high
xw-022,CA-TBS-SPIN-PQC-2025,FIPS 203,intersects_with,technical_dependency,Canada TBS SPIN 2025-01 §4 endorses ML-KEM (FIPS 203) as an approved algorithm for Government of Canada systems transitioning to post-quantum cryptography.,2026-05-07,ericamador,high
xw-008,FIPS 203,"FIPS 203, 204, 205 Published",intersects_with,timeline_anchor,NIST published ML-KEM (FIPS 203) in August 2024 as one of three inaugural post-quantum cryptography standards; this event marks the formal standardization milestone for the algorithm.,2026-05-07,ericamador,high
xw-009,FIPS 204,"FIPS 203, 204, 205 Published",intersects_with,timeline_anchor,NIST published ML-DSA (FIPS 204) in August 2024 as one of three inaugural post-quantum cryptography standards; this event marks the formal standardization milestone for the algorithm.,2026-05-07,ericamador,high
xw-010,FIPS 205,"FIPS 203, 204, 205 Published",intersects_with,timeline_anchor,NIST published SLH-DSA (FIPS 205) in August 2024 as one of three inaugural post-quantum cryptography standards; this event marks the formal standardization milestone for the algorithm.,2026-05-07,ericamador,high
xw-011,NSA CNSA 2.0,NSS Acquisitions CNSA 2.0 Required,intersects_with,timeline_anchor,NSA CNSA 2.0 mandates that new NSS acquisitions must include PQC algorithm support; the NSS Acquisitions deadline is a direct enforcement timeline for CNSA 2.0 compliance.,2026-05-07,ericamador,high
xw-012,NIST CSWP 39,"FIPS 203, 204, 205 Published",intersects_with,timeline_anchor,CSWP 39 was published concurrently with FIPS 203/204/205 as the migration guidance document; the standards finalization event is the prerequisite that enabled CSWP 39 to reference specific algorithm identifiers.,2026-05-07,ericamador,high
xw-023,PKCS11-V32-OASIS,NIST IR 8477,intersects_with,implementation_guidance,"""PKCS#11 v3.2 adds post-quantum cryptography mechanisms: ML-KEM ... ML-DSA ... and SLH-DSA""",2026-05-08,ericamador,medium
xw-024,NIST IR 8477,NIST CSWP 39,intersects_with,implementation_guidance,"IR 8477 (Feb 2024) defines the closed concept-mapping vocabulary (subset_of, superset_of, equivalent, intersects_with) that NIST CSWP 39 (Aug 2024) adopts when describing PQC migration relationships across FIPS 203/204/205 and the broader NIST agility framework.",2026-05-08,ericamador,high
xw-025,NIST IR 8477,NIST SP 800-218,intersects_with,implementation_guidance,"IR 8477 §3 (Feb 2024) uses SSDF (NIST SP 800-218) implementation examples as one of its primary worked examples for documenting concept relationships, demonstrating how an implementation-recommendation framework maps onto IR 8477's methodology.",2026-05-08,ericamador,high
xw-026,draft-ietf-lamps-dilithium-certificates-13,FIPS 204,intersects_with,technical_dependency,"""This document specifies the conventions for using FIPS 204, the Module-Lattice-Based Digital Signature Algorithm (ML-DSA) in Internet X.509 certificates and certificate revocation lists.""",2026-05-09,qwen3.6:27b,high
xw-027,draft-ietf-lamps-dilithium-certificates-13,RFC 5280,intersects_with,technical_dependency,"""Signatures are used in a number of different ASN.1 structures. As shown in the ASN.1 representation from [RFC5280] below, in an X.509 certificate, a signature is encoded with an algorithm identifier...""",2026-05-09,qwen3.6:27b,high
xw-028,draft-ietf-lamps-dilithium-certificates-13,RFC 5912,intersects_with,technical_dependency,"""The AlgorithmIdentifier type is defined in [RFC5912] as follows... NOTE: The above syntax is from [RFC5912] and is compatible with the 2021 ASN.1 syntax [X680].""",2026-05-09,qwen3.6:27b,high
xw-029,draft-ietf-lamps-dilithium-certificates-13,RFC 5958,intersects_with,technical_dependency,"""[RFC5958] specifies the Asymmetric Key Package's OneAsymmetricKey type for encoding asymmetric keypairs. When an ML-DSA private key or keypair is encoded as a OneAsymmetricKey, it follows the description in Section 6.""",2026-05-09,qwen3.6:27b,high
xw-030,draft-ietf-lamps-dilithium-certificates-13,RFC 2119,intersects_with,technical_dependency,"""The key words ""MUST"", ""MUST NOT"", ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""SHOULD"", ""SHOULD NOT"", ""RECOMMENDED"", ""NOT RECOMMENDED"", ""MAY"", and ""OPTIONAL"" in this document are to be interpreted as described in BCP 14 [RFC2119] [RFC8174]...""",2026-05-09,qwen3.6:27b,high
xw-031,draft-ietf-lamps-dilithium-certificates-13,RFC 8174,intersects_with,technical_dependency,"""The key words... are to be interpreted as described in BCP 14 [RFC2119] [RFC8174] when, and only when, they appear in all capitals...""",2026-05-09,qwen3.6:27b,high
xw-032,draft-ietf-ipsecme-ikev2-pqc-auth,FIPS 204,intersects_with,technical_dependency,"""This document specifies a generic mechanism for integrating post-quantum cryptographic (PQC) digital signature algorithms into the IKEv2 protocol... outlines how Module-Lattice-Based Digital Signatures (ML-DSA) [FIPS204]... can be employed""",2026-05-09,qwen3.6:27b,high
xw-033,draft-ietf-ipsecme-ikev2-pqc-auth,FIPS 205,intersects_with,technical_dependency,"""This document specifies a generic mechanism for integrating post-quantum cryptographic (PQC) digital signature algorithms into the IKEv2 protocol... outlines how... Stateless Hash-Based Digital Signatures (SLH-DSA) [FIPS205]... can be employed""",2026-05-09,qwen3.6:27b,high
xw-034,draft-ietf-ipsecme-ikev2-pqc-auth,IETF RFC 7296,intersects_with,technical_dependency,"""The Internet Key Exchange, or IKEv2 [RFC7296], is a key agreement and security negotiation protocol... This document defines a general approach to incorporating PQC digital signature algorithms into IKEv2""",2026-05-09,qwen3.6:27b,high
xw-035,draft-ietf-ipsecme-ikev2-pqc-auth,draft-ietf-pquip-pqc-engineers-14,intersects_with,policy_reference,"""The traditional cryptographic primitives that need to be replaced by PQC algorithms are discussed in [I-D.ietf-pquip-pqc-engineers].""",2026-05-09,qwen3.6:27b,medium
xw-036,draft-celi-wiggers-tls-authkem,FIPS 203,intersects_with,technical_dependency,"""This proposal uses ML-KEM [FIPS203] [I-D.cfrg-schwabe-kyber], the first selected algorithm for key exchange in the NIST post-quantum standardization project [NISTPQC].""",2026-05-09,qwen3.6:27b,high
xw-037,draft-celi-wiggers-tls-authkem,FIPS 204,intersects_with,technical_dependency,"""For signatures, we use Dilithium (standardized as ML-DSA) [FIPS204]... as well as Falcon [FALCON]... In all examples, the size of the certificate chain still dominates the TLS handshake...""",2026-05-09,qwen3.6:27b,high
xw-038,draft-celi-wiggers-tls-authkem,RFC 8446,intersects_with,technical_dependency,"""This document gives a construction for KEM-based authentication in TLS 1.3 [RFC8446]. ... 3.3. Overview of key differences with RFC8446 TLS 1.3""",2026-05-09,qwen3.6:27b,high
xw-039,draft-celi-wiggers-tls-authkem,RFC 9180,intersects_with,technical_dependency,"""In this proposal, we build on [RFC9180]. This standard currently only covers Diffie-Hellman based KEMs...""",2026-05-09,qwen3.6:27b,high
xw-040,draft-celi-wiggers-tls-authkem,RFC 8879,intersects_with,implementation_guidance,"""[RFC8879] proposes a certificate compression mechanism based on compression algorithms, but this is not very helpful to reduce the size of high-entropy public keys and signatures.""",2026-05-09,qwen3.6:27b,medium
xw-041,draft-celi-wiggers-tls-authkem,RFC 6962,intersects_with,implementation_guidance,"""...especially if Certificate Transparency SCT statements are included, which is relevant in the context of the WebPKI. ... [RFC6962]""",2026-05-09,qwen3.6:27b,medium
