industry,threat_id,threat_description,criticality,crypto_at_risk,pqc_replacement,main_source,source_url,accuracy_pct,related_modules,trusted_source_id,local_file,peer_reviewed,vetting_body,source_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,applicable_industries_normalized,status,deprecated_at,deprecated_reason,related_standards
Aerospace / Aviation,AERO-001,Aircraft avionics cryptographic exposure: RTCA DO-326A defines airworthiness security processes for aircraft systems with 30-40 year service lives. ARINC 664 (AFDX) network security and flight management systems rely on RSA/ECDSA. Aircraft entering service today will operate well beyond CRQC arrival with no practical mid-life cryptographic retrofit path.,Critical,"Avionics PKI, ARINC 664 network security, flight management system authentication","Crypto-agile avionics design, ML-DSA for flight software signing, hybrid certificate chains",RTCA DO-326A / DO-356A Airworthiness Security,https://www.faa.gov/aircraft/air_cert/design_approvals/dah/cybersecurity,80,code-signing|kms-pqc|hsm-pqc|iot-ot-pqc|aerospace-pqc,rtca,public/threats/AERO-001.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: URL regression reverted (rtca.org/wp-content/.../DO-326A-...html 404s. FAA cybersecurity page references DO-326A as AMC. (Regression from 05182026 lineage.)). Deprecated 2026-05-21: local_file public/threats/AERO-001.html not present on disk. Re-source with a deep-link primary document to reactivate.,60,,deprecated,2026-05-21,local_file public/threats/AERO-001.html not present on disk,
Aerospace / Aviation,AERO-002,"Satellite communication HNDL vulnerability: Military and commercial satellites have 15-25 year operational lifespans. NSA CNSA 2.0 mandates PQC for all national security systems including satellite uplink/downlink — NSS equipment must phase out quantum-vulnerable algorithms by 2033 (CNSA 2.0 FAQ Dec 2024 sets December 31, 2030 for phasing out non-CNSA 2.0 equipment, mandatory CNSA 2.0 use by December 31, 2031, full NSS quantum resistance by 2033). Currently intercepted satellite communications are harvestable for future quantum decryption.",Critical,"Satellite uplink/downlink RSA/ECDSA, ground station TLS, inter-satellite link encryption","ML-KEM-1024, ML-DSA-87 per CNSA 2.0, AES-256",NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,70,kms-pqc|hsm-pqc|vpn-ssh-pqc|hybrid-crypto|aerospace-pqc,iso-iec-sc27,public/threats/AERO-002.pdf,yes,ISO,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Reactivated 2026-05-21: headless-browser snapshot via Playwright (586858 bytes). Editorial 2026-05-21: applied audit substitution ""2035"" → ""2033"" inline (CNSA 2.0 sets 2030 (preferred) and 2033 (required) for NSS satellite/HAIPE systems — never 2035.).",75,,active,,,CNSA-2.0
Aerospace / Aviation,AERO-003,"Air traffic management authentication gap: ICAO Assembly Resolution A41-19 (41st Assembly, October 2022) addresses aviation cybersecurity but ADS-B transmissions remain unencrypted and unauthenticated — present-day ADS-B spoofing is a classical (non-quantum) threat. Quantum computing becomes relevant when authenticated ADS-B is deployed using public-key cryptography, which would itself require PQC to remain secure. Correction (audit 2026-05-18, verdict=misleading): Clarify that quantum threat to ADS-B is conditional on future PKI deployment. Distinguish from present-day classical spoofing risk.",High,"ADS-B (unencrypted), Mode S, ATC data links, ACARS messaging","Authenticated ADS-B with ML-DSA, quantum-safe ATC protocols",ICAO Assembly Resolution A41-19,https://www.icao.int/events/a41/resolutions,70,quantum-threats|pqc-101|aerospace-pqc,icao,public/threats/AERO-003.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended.,50,,active,,,
Automotive / Connected Vehicles,AUTO-001,V2X PKI quantum transition: ISO/SAE 21434 (published August 2021) establishes cybersecurity engineering requirements for road vehicles. V2X communications use ECDSA P-256 certificates per IEEE 1609.2. Vehicles have 12+ year lifecycles meaning 2026 production vehicles remain on roads through 2038+ when CRQCs may be operational.,Critical,"ECDSA P-256 V2X certificates, IEEE 1609.2 PKI, digital key infrastructure","ML-DSA V2X certificates, hybrid V2X authentication, FN-DSA for constrained ECUs",ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,80,iot-ot-pqc|pki-workshop|hybrid-crypto|automotive-pqc,iso-iec-sc27,public/threats/AUTO-001.html,yes,ISO,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,85,,active,,,
Automotive / Connected Vehicles,AUTO-002,"Connected vehicle remote access quantum risk: SAE J3061 (2016, largely replaced in practice by ISO/SAE 21434) provided cybersecurity guidance for cyber-physical vehicle systems. Modern connected vehicles use TLS for OTA update channels, RSA for key management, and ECDSA for firmware signing. Vehicles must retain cryptographic agility for 15-20 year operational periods.",Critical,"RSA/ECDSA code signing, secure boot chains, ECU firmware verification","ML-DSA firmware signing, SLH-DSA for safety-critical ECUs, dual-signature verification",SAE J3061 / ISO/SAE 21434 Vehicle Cybersecurity,https://www.sae.org/standards/content/j3061_202112/,70,code-signing|iot-ot-pqc|stateful-signatures|automotive-pqc|secure-boot-pqc,iso-iec-sc27,public/threats/AUTO-002.html,yes,ISO,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended; local_file wired to existing public/threats/AUTO-002.html. Editorial 2026-05-21: applied audit substitution ""superseded by"" → ""largely replaced in practice by"" inline (SAE has not formally withdrawn J3061; ISO/SAE 21434 supplants it de facto but not de jure.).",75,,active,,,
Automotive / Connected Vehicles,AUTO-003,UNECE WP.29 R155/R156 cybersecurity regulation gap: Mandatory for new vehicle type approvals in EU since July 2022 and extended to all new vehicles July 2024. Requires cybersecurity management systems and secure OTA updates but does not yet address post-quantum cryptography creating a future compliance gap.,High,"TLS for telematics, RSA/ECDSA for OTA signing, connected car cloud API authentication","Hybrid TLS 1.3 with ML-KEM, ML-DSA OTA signing, crypto-agile telematics",UNECE WP.29 Regulations R155/R156,https://unece.org/transport/vehicle-regulations,75,tls-basics|iot-ot-pqc|hybrid-crypto|automotive-pqc,unece,,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate.,60,,deprecated,2026-05-21,no downloadable proof — source URL bot-blocked or unreachable,
Automotive / Connected Vehicles,AUTO-004,"In-vehicle network security quantum exposure: ISO/SAE 21434 covers the full vehicle cybersecurity lifecycle including CAN bus, LIN, FlexRay, and automotive Ethernet backbone networks. Embedded ECUs have limited computational resources and constrained crypto-agility, making mid-lifecycle PQC migration impractical for vehicles already in production.",High,"CAN bus authentication, secure boot in ECUs, in-vehicle Ethernet encryption, HSM key storage","Hardware security modules with PQC support, crypto-agile ECU design, ML-DSA for secure boot",ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,75,iot-ot-pqc|kms-pqc|hsm-pqc|crypto-agility|automotive-pqc|secure-boot-pqc,iso-iec-sc27,public/threats/AUTO-004.html,yes,ISO,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,85,,active,,,
Cloud Computing / Data Centers,CLOUD-001,Cloud backup and disaster recovery HNDL risk: Air-gapped backups and long-term archival storage encrypted with RSA/ECDSA key wrapping are vulnerable to harvest-now-decrypt-later. Cloud backup data often retained for 7+ years for compliance.,High,"Backup encryption key wrapping, archival storage TLS, disaster recovery replication","PQC-enabled backup encryption, ML-KEM key wrapping, AES-256 for archival",Cloud Security Alliance Quantum-Safe Guidelines,https://cloudsecurityalliance.org/research/topics/quantum-safe-security/,75,kms-pqc|hsm-pqc|hybrid-crypto|data-asset-sensitivity|secrets-management-pqc,csa-cloud,public/threats/CLOUD-001.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Salvage 2026-05-21: deep-link substituted (CSA quantum-safe security key-management artifact — deep-link to actual whitepaper.). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: CSA Quantum-Safe Security topic hub (84 KB). The /artifacts/key-management… 404d.,60,,active,,,
Cloud Computing / Data Centers,CLOUD-002,Cloud Security Alliance quantum readiness guidance: CSA published quantum-safe security guidance identifying crypto-agility as critical requirement for cloud deployments. Multi-cloud environments using 5+ key management systems face fragmented PQC migration paths.,High,"Cloud KMS key wrapping, multi-cloud encryption, BYOK/HYOK solutions, secrets management","Unified PQC key management, ML-KEM cloud HSM integration, crypto-agile KMS",Cloud Security Alliance Quantum-Safe Security,https://cloudsecurityalliance.org/research/topics/quantum-safe-security/,75,kms-pqc|hsm-pqc|crypto-agility|secrets-management-pqc,csa-cloud,public/threats/CLOUD-002.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Salvage 2026-05-21: deep-link substituted (Same CSA quantum-safe key-management artifact.). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: Same CSA Quantum-Safe Security topic hub.,60,,active,,,
Cloud Computing / Data Centers,CLOUD-003,"FedRAMP authorized cloud quantum gap: FedRAMP High/Moderate authorized cloud services must comply with NIST SP 800-53 controls. FedRAMP authorization packages do not currently include PQC requirements. OMB M-23-02 directs federal agency CISOs (not cloud providers directly) to inventory cryptographic systems and develop PQC migration plans; PQC compliance flows from agency contracts to cloud providers contractually, not from FedRAMP baseline requirements. Cloud providers with FedRAMP and StateRAMP certifications processing government data face long compliance runways. Correction (audit 2026-05-18, verdict=misleading): FedRAMP has no published PQC deadline. OMB M-23-02 mandates federal agency CISOs to develop PQC inventory and migration plans; this flows to cloud providers contractually, not via FedRAMP baseline requirements.",Critical,"Federal cloud TLS, FedRAMP-authorized encryption, cloud HSM FIPS modules","FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), FIPS 205 (SLH-DSA) cloud implementations",NIST IR 8547 / NIST SP 800-210,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,70,compliance-strategy|migration-program|pqc-101|pqc-governance,nist-csrc,public/threats/CLOUD-003.pdf,yes,NIST,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended. Salvage 2026-05-21: deep-link substituted (Same IR 8547 IPD canonical PDF.).,75,,active,,,FIPS-203;SP-800-210;IR-8547
Cloud Computing / Data Centers,CLOUD-004,Cloud HSM and key management PQC gap: NIST SP 800-210 defines access control for cloud systems but cloud-hosted HSMs and KMS services currently lack full PQC support. FIPS 140-3 validation for PQC modules is ongoing with multi-year certification timelines. Organizations using cloud HSMs face vendor dependency for PQC migration.,Critical,"Cloud HSM root keys, KMS key wrapping, tenant isolation keys, FIPS 140-3 modules","FIPS 140-3 validated PQC HSM modules, bring-your-own-key PQC, ML-KEM key wrapping",NIST SP 800-210 Cloud Access Control,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-210.pdf,75,kms-pqc|hsm-pqc|pki-workshop|compliance-strategy,nist-csrc,public/threats/CLOUD-004.pdf,yes,NIST,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Salvage 2026-05-21: deep-link substituted (SP 800-210 — canonical PDF.).,85,,active,,,FIPS-140;SP-800-210
Cross-Industry,CROSS-001,"Harvest-now-decrypt-later threat maturity: Nation-state actors are actively harvesting encrypted data today for future quantum decryption. The IBM Institute for Business Value 2023 PQC report (surveying ~3,000 executives globally) found roughly 25% of respondents believed their organizations were already targeted by harvest-now-decrypt-later collection — this is self-reported perception, not confirmed incidents. The harvest window is open now; any data with >10 year sensitivity has quantum risk today regardless of CRQC arrival date. Correction (audit 2026-05-18, verdict=inaccurate): IBM IBV 2023 PQC report (~3,000 respondents): ~25% believed their organizations were targeted by HNDL collection. This is self-reported perception, not confirmed incident data. Remove '700+ C-suite' figure.",Critical,"All asymmetric cryptography, PKI infrastructure, key management systems","Comprehensive CBOM, automated discovery tools, ML-KEM/ML-DSA migration",IBM Institute for Business Value — Secure the Post-Quantum Future 2025,https://www.ibm.com/think/insights/post-quantum-cryptography,70,crypto-agility|pqc-risk-management|migration-program|quantum-threats|crypto-dev-apis|pqc-governance,ibm-research,public/threats/CROSS-001.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Salvage 2026-05-21: deep-link substituted (IBM IBV 2025 quantum-safe readiness report PDF — direct download.). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: IBM Think Insights — PQC overview (663 KB live payload). Replaces gated IBM IBV download.,50,,active,,,
Cross-Industry,CROSS-002,"Global cryptographic inventory gap: Organizations lack complete visibility into their cryptographic asset inventory. NIST IR 8547 (Transition to Post-Quantum Cryptography Standards, IPD November 2024) proposes deprecating RSA, ECDSA, ECDH, and EdDSA by 2035 and emphasizes cryptographic agility as a migration prerequisite. The 2030 transition window creates an urgent discovery mandate. Correction (audit 2026-05-18, verdict=misleading): Cite NIST IR 8547 (IPD, November 2024) for cryptographic agility guidance and RSA/ECDH/EdDSA deprecation timelines. SP 800-227 is the KEM recommendations document, not the migration guidance.",Critical,"RSA-2048/3072/4096, ECDSA P-256/P-384, ECDH, EdDSA","ML-KEM-768/1024 (FIPS 203), ML-DSA-44/65/87 (FIPS 204), SLH-DSA (FIPS 205)","NIST IR 8547 (IPD, Nov 2024)",https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,80,compliance-strategy|pqc-101|migration-program|quantum-threats|pqc-governance,nist-csrc,public/threats/CROSS-002.pdf,yes,NIST,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended. Salvage 2026-05-21: deep-link substituted (IR 8547 IPD landing → canonical PDF (transition guidance for RSA/ECDH/EdDSA deprecation).).,75,,active,,,IR-8547
Cross-Industry,CROSS-003,"C-suite quantum risk awareness gap: IBM Institute for Business Value 2023 PQC report found ~62% of organizations lacked a complete cryptographic inventory — the prerequisite for any meaningful quantum migration plan. Organizations treating quantum as a 10+ year problem are underestimating harvest-now-decrypt-later risk to current data. Correction (audit 2026-05-18, verdict=inaccurate): Reframe: 'IBM IBV 2023 found ~62% of organizations lacked a complete cryptographic inventory — the prerequisite for any quantum migration plan.'",High,"Third-party API keys, vendor-managed HSMs, cloud KMS","Vendor PQC roadmap requirements, contractual crypto-agility clauses",IBM Institute for Business Value — Secure the Post-Quantum Future 2025,https://www.ibm.com/think/insights/post-quantum-cryptography,65,vendor-risk|pqc-governance,ibm-research,public/threats/CROSS-003.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Salvage 2026-05-21: deep-link substituted (Same IBM IBV 2025 PDF.). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: Same IBM Think source covers the IBV PQC research themes.,50,,active,,,
Cross-Industry,CROSS-004,"Regulatory compliance deadline pressure: Global regulators are establishing PQC migration deadlines. NIST FIPS 203/204/205/206 finalized August 2024. OMB M-23-02 requires federal agencies to begin PQC inventory. EU NIS2 Directive (2022/2555) requires ""state-of-the-art"" cryptographic controls as part of proportionate risk management for essential entities — a principles-based requirement that may be interpreted to include PQC, not an explicit PQC mandate. The Global Risk Institute Quantum Threat Timeline Report (2024) estimates 5-15% probability of CRQC within 5 years. Correction (audit 2026-05-18, verdict=misleading): NIS2 requires 'state-of-the-art' cryptographic controls (principles-based, not PQC-specific). Cite GRI Quantum Threat Timeline Report 2024 explicitly for the 5-15% CRQC probability estimate.",Critical,"RSA-2048/4096, ECC P-256/384, ECDSA, ECDH, EdDSA","Immediate hybrid PQC deployment, ML-KEM-1024, ML-DSA-87",GRI Quantum Threat Timeline Report 2024,https://globalriskinstitute.org/publication/quantum-threat-timeline-report-2024/,65,quantum-threats|pqc-risk-management|pqc-business-case|data-asset-sensitivity,itu,public/threats/CROSS-004.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended. Salvage 2026-05-21: deep-link substituted (GRI 2024 report publication page — substantive content vs the GRI homepage.).,50,,active,,,
Cross-Industry,CROSS-005,"NIST PQC standard finalization creating migration urgency: NIST published all four PQC standards simultaneously on August 13, 2024: FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), FIPS 205 (SLH-DSA), and FIPS 206 (FN-DSA/Falcon). Organizations face 5-7 year migration windows for complex PKI infrastructure. Correction (audit 2026-05-18, verdict=inaccurate): NIST published all four PQC standards simultaneously on August 13, 2024: FIPS 203, 204, 205, and 206. Update to reflect that FIPS 206 is already final.",High,"RSA/ECDSA certificates requiring compact signatures, root CA keys, constrained device authentication","FN-DSA (FIPS 206) for compact signatures, ML-DSA for general-purpose signing",NIST FIPS 206 FN-DSA Status,https://csrc.nist.gov/pubs/ir/8547/ipd,75,pqc-101|hybrid-crypto|stateful-signatures,nist-csrc,public/threats/CROSS-005.html,yes,NIST,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended; source_url replaced (NIST PQC project landing page does not show FIPS 206 status. IR 8547 IPD is the canonical transition doc.).,75,,active,,,FIPS-206
Cross-Industry,CROSS-006,"HQC selected as 5th PQC algorithm: NIST announced March 11 2025 the selection of HQC (Hamming Quasi-Cyclic) as a backup KEM to ML-KEM. HQC is based on error-correcting codes rather than lattices, providing algorithmic diversity in case a lattice-based vulnerability is discovered. Draft standard expected for public comment in early 2026 with final standard in 2027.",High,All systems relying solely on ML-KEM without backup KEM,"HQC as backup KEM alongside ML-KEM-768/1024, algorithm diversity strategy",NIST Post-Quantum Cryptography Standardization,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,90,pqc-101|hybrid-crypto,nist-csrc,public/threats/CROSS-006.pdf,yes,NIST,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Salvage 2026-05-21: deep-link substituted (NIST PQC project page → IR 8547 IPD which catalogues the standardized algorithms.).,85,,active,,,
Cross-Industry,CROSS-007,"EU NIS2 and eIDAS 2.0 quantum compliance: NIS2 Directive (EU 2022/2555) mandates risk management measures for essential entities including state-of-the-art cryptographic controls — principles-based, not explicitly PQC-prescriptive. eIDAS 2.0 (EU 2024/1183, in force May 2024) introduces European Digital Identity Wallets; PQC requirements for qualified signatures are being developed in ETSI implementing standards and Commission implementing regulations, not in the eIDAS 2.0 regulation text itself. Correction (audit 2026-05-18, verdict=misleading): eIDAS 2.0 mandates 'state-of-the-art' security; PQC requirements are being developed in ETSI implementing standards and Commission implementing regulations, not in the eIDAS 2.0 regulation text directly.",Critical,All quantum-vulnerable cryptography in EU member state systems and critical infrastructure,"ML-KEM, ML-DSA, SLH-DSA, hybrid implementations per EU coordinated timeline",European Commission Digital Strategy — PQC Roadmap,https://digital-strategy.ec.europa.eu/en/news/eu-reinforces-its-cybersecurity-post-quantum-cryptography,75,compliance-strategy|migration-program|pqc-governance,ec,public/threats/CROSS-007.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended.,50,,active,,,
Cross-Industry,CROSS-008,"NIST SP 800-227 KEM recommendations: Published as final standard on September 18, 2025 — initially released as Initial Public Draft in January 2025. Provides definitions, security properties, and implementation recommendations for key-encapsulation mechanisms as companion guidance to FIPS 203 (ML-KEM). Establishes best practices for KEM usage in protocols, hybrid constructions, and key management — essential reference for correct PQC deployment.",High,"Incorrect or insecure KEM implementations, legacy key exchange protocols","FIPS 203 ML-KEM per SP 800-227 guidance, proper KEM-TLS integration",NIST SP 800-227 Recommendations for KEMs,https://csrc.nist.gov/pubs/sp/800/227/final,90,hybrid-crypto|kms-pqc|hsm-pqc,nist-csrc,public/threats/CROSS-008.html,yes,NIST,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: propagated post-pass-5 description from 05182026 lineage.,85,,active,,,FIPS-203;SP-800-227
