code,name,flag_code,region,show_in_picker,eu_member,authority,hybrid,end_state,sim_archetype,note,status,deprecated_at,deprecated_reason
US,United States,us,americas,yes,no,NSA/CNSA 2.0,interim,pure,US,"Hybrid is an accepted interim step; the end state is pure PQC.",active,,
CA,Canada,ca,americas,yes,no,CCCS,interim,pure,CA,"CCCS roadmap ITSM.40.001 allows hybrid as a transitional stage; high-priority systems by 2031, full migration to pure PQC by 2035.",active,,
MX,Mexico,mx,americas,no,no,,,,US,,active,,
BR,Brazil,br,americas,no,no,,,,US,,active,,
AR,Argentina,ar,americas,no,no,,,,US,,active,,
CL,Chile,cl,americas,no,no,,,,US,,active,,
CO,Colombia,co,americas,no,no,,,,US,,active,,
PE,Peru,pe,americas,no,no,,,,US,,active,,
UY,Uruguay,uy,americas,no,no,,,,US,,active,,
EU,European Union,eu,eu,yes,yes,ENISA / EU Commission,required,pure,EU,"ENISA recommends PQ/T hybrid schemes through the transition; NIS Cooperation Group roadmap targets high-risk systems by 2030 and full PQC by 2035.",active,,
UK,United Kingdom,gb,eu,yes,no,NCSC,interim,pure,UK,"Hybrid is acceptable as an interim; NCSC prefers a pure-PQC end state.",active,,
FR,France,fr,eu,yes,yes,ANSSI,required,hybrid,FR,"Hybrid is required through the transition; ANSSI accepts hybrid as a long-term posture, not only an interim step.",active,,
DE,Germany,de,eu,yes,yes,BSI,required,hybrid,DE,"Hybrid (classical + PQC) is required through the transition; BSI accepts hybrid as a long-term posture, not only an interim step.",active,,
CZ,Czech Republic,cz,eu,no,yes,NUKIB,,,DE,,active,,
IT,Italy,it,eu,no,yes,ACN,,,DE,,active,,
ES,Spain,es,eu,no,yes,CCN,,,DE,,active,,
NL,Netherlands,nl,eu,no,yes,,,,DE,,active,,
BE,Belgium,be,eu,no,yes,,,,DE,,active,,
PL,Poland,pl,eu,no,yes,,,,DE,,active,,
SE,Sweden,se,eu,no,yes,,,,DE,,active,,
AT,Austria,at,eu,no,yes,,,,DE,,active,,
DK,Denmark,dk,eu,no,yes,,,,DE,,active,,
FI,Finland,fi,eu,no,yes,,,,DE,,active,,
IE,Ireland,ie,eu,no,yes,,,,DE,,active,,
EE,Estonia,ee,eu,no,yes,,,,DE,,active,,
CH,Switzerland,ch,europe-noneu,no,no,,,,DE,,active,,
NO,Norway,no,europe-noneu,no,no,,,,DE,,active,,
TR,Turkey,tr,europe-noneu,no,no,,,,US,,active,,
RU,Russia,ru,europe-noneu,no,no,,,,US,,active,,
JP,Japan,jp,apac,yes,no,CRYPTREC,discouraged,pure,JP,"CRYPTREC adding ML-KEM/ML-DSA to Ciphers List; national roadmap expected ~2027, full transition ~2035.",active,,
KR,South Korea,kr,apac,yes,no,KISA / NIS,interim,pure,KR,"National PQC master plan targets full transition by 2035; hybrid is an interim step.",active,,
AU,Australia,au,apac,yes,no,ASD,discouraged,pure,AU,"ASD does not mandate hybrid and permits adopting final PQC standards directly; recommends a pure end state.",active,,
SG,Singapore,sg,apac,yes,no,CSA,interim,pure,SG,"CSA Quantum-Safe Handbook treats hybrid as an optional transitional choice toward a pure end state.",active,,
NZ,New Zealand,nz,apac,no,no,GCSB / NCSC-NZ,,,AU,,active,,
CN,China,cn,apac,no,no,OSCCA / TC260,,,US,,active,,
IN,India,in,apac,no,no,DST/NQM + CERT-In,,,IN,"DST/NQM National Quantum Mission roadmap (2023) and CERT-In guidelines mandate PQC adoption for Critical Information Infrastructure by 2027 and full nationwide adoption by 2033. Published guidance aligns with NIST standards toward pure PQC; no explicit hybrid requirement published.",active,,
TW,Taiwan,tw,apac,no,no,NICS / FSC,,,US,,active,,
HK,Hong Kong,hk,apac,no,no,HKMA / HKCERT,,,US,,active,,
MY,Malaysia,my,apac,no,no,CyberSecurity Malaysia,,,US,,active,,
ID,Indonesia,id,apac,no,no,,,,US,,active,,
PH,Philippines,ph,apac,no,no,,,,US,,active,,
TH,Thailand,th,apac,no,no,,,,US,,active,,
VN,Vietnam,vn,apac,no,no,,,,US,,active,,
IL,Israel,il,mena,no,no,INCD,,,US,,active,,
AE,United Arab Emirates,ae,mena,no,no,UAE CTRA,,,US,,active,,
SA,Saudi Arabia,sa,mena,no,no,NCA,,,US,,active,,
BH,Bahrain,bh,mena,no,no,NCSC-BH,,,US,,active,,
JO,Jordan,jo,mena,no,no,NITC,,,US,,active,,
EG,Egypt,eg,mena,no,no,,,,US,,active,,
ZA,South Africa,za,africa,no,no,,,,US,,active,,
NG,Nigeria,ng,africa,no,no,,,,US,,active,,
KE,Kenya,ke,africa,no,no,,,,US,,active,,
