industry,market_size_usd,market_size_year,metric_type,region_scope,figure_as_stated,main_source,source_url,trusted_source_id,local_file,last_verified,status,deprecated_at,deprecated_reason
Aerospace / Aviation,184966000000,2025,value_added,US,"Air transportation, 2025: 184,966 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-07-29,active,,
Automotive / Connected Vehicles,183970000000,2025,value_added,US,"Motor vehicles, bodies and trailers, and parts, 2025: 183,970 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-07-29,active,,
Cloud Computing / Data Centers,191872000000,2022,value_added,US,"Digital Economy Satellite Account Table 2 — Cloud Services, 2022: 191,872 (millions of current dollars); latest official year (account discontinued after Dec 2023 update)",US BEA — Digital Economy Satellite Account 2017-2022,https://www.bea.gov/sites/default/files/2023-12/DigitalEconomy_2017-2022.xlsx,bea,,2026-07-29,active,,
Cryptocurrency / Blockchain,4200000000000,2025,market_cap,global,Crypto assets' market capitalization rose to USD 4.2 trillion over the third quarter of 2025,"IMF — Crypto Assets Monitor, October 2025 edition",https://www.imfconnect.org/content/dam/imf/News%20and%20Generic%20Content/GMM/Special%20Features/GMM%20Special%20Feature%20-%20Crypto%20Monitor%20October%202025.pdf,imf,,2026-07-29,active,,
Education / Research,5800000000000,2022,expenditure,global,"Total education spending increased from US$5.7 trillion in 2021 to US$5.8 trillion in 2022 (2022 constant US dollars; governments, households, donors)",World Bank / UNESCO — Education Finance Watch 2024,https://documents1.worldbank.org/curated/en/099102824144527868/pdf/P50097819250a00ce1812018168df2deaa3.pdf,world-bank,,2026-07-29,active,,
Critical Infrastructure / Energy,3300000000000,2025,investment,global,Global energy investment is set to increase in 2025 to a record $3.3 trillion,IEA — World Energy Investment 2025,https://www.iea.org/news/global-energy-investment-set-to-rise-to-33-trillion-in-2025-amid-economic-uncertainty-and-energy-security-concerns,iea,,2026-07-29,active,,
Financial Services / Banking,2441825000000,2025,value_added,US,"Finance and insurance, 2025: 2,441,825 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-07-29,active,,
Government / Defense,2651803473255,2024,expenditure,global,"World military expenditure (current USD), 2024: 2,651,803,473,255 (WDI indicator MS.MIL.XPND.CD)",World Bank — World Development Indicators (military expenditure),https://api.worldbank.org/v2/country/WLD/indicator/MS.MIL.XPND.CD?format=json&per_page=10&date=2018:2024,world-bank,,2026-07-29,active,,
Healthcare / Pharmaceutical,9800000000000,2022,expenditure,global,"Aggregate global health spending in 2022 was US$ 9.8 trillion, or 9.9% of global GDP",WHO — Global Health Expenditure Report 2024,https://iris.who.int/server/api/core/bitstreams/6a22149b-17d5-4afb-a89b-14a3e8c12442/content,who,,2026-07-29,active,,
IT Industry / Software,2569500000000,2022,value_added,US,"Digital Economy value added, 2022: 2,569,500 (millions of current dollars) = 10.0% of US GDP",US BEA — Digital Economy Satellite Account 2017-2022,https://www.bea.gov/sites/default/files/2023-12/DigitalEconomy_2017-2022.xlsx,bea,,2026-07-29,active,,
Legal / Notary / eSignature,421874000000,2025,value_added,US,"Legal services, 2025: 421,874 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-07-29,active,,
Media / Entertainment / DRM,1170000000000,2023,value_added,US,"Arts and cultural economic activity accounted for 4.2 percent of GDP, or $1.17 trillion, in 2023",US BEA — Arts and Cultural Production Satellite Account (2025-04-02 release),https://bea.gov/news/2025/arts-and-cultural-production-satellite-account-us-and-states-2023,bea,,2026-07-29,active,,
Payment Card Industry,11500000000000,2024,payment_value,US,"Total card payments 2024: $11.50 trillion (debit $4.99T, credit $6.51T) — Federal Reserve Payments Study top-line","US Federal Reserve — Payments Study, National Payment Volumes CY2015-24",https://www.federalreserve.gov/paymentsystems/frps_cy2015_24_topline.htm,federal-reserve,,2026-07-29,active,,
Rail / Transit,50944000000,2025,value_added,US,"Rail transportation, 2025: 50,944 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-07-29,active,,
Retail / E-Commerce,1233700000000,2025,revenue,US,"Total e-commerce sales for 2025 were estimated at $1,233.7 billion, 16.4 percent of total retail sales",US Census Bureau — Quarterly Retail E-Commerce Sales Q4 2025 (CB26-42),https://www2.census.gov/retail/releases/historical/ecomm/25q4.pdf,us-census,,2026-07-29,active,,
Supply Chain / Logistics,1023864000000,2025,value_added,US,"Transportation and warehousing, 2025: 1,023,864 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-07-29,active,,
Telecommunications,1900000000000,2015,revenue,global,"Global telecommunication revenues declined by 4% between 2014 and 2015, falling back to USD 1.9 trillion — most recent ITU publication stating a global total",ITU — ICT Facts and Figures 2017,https://www.itu.int/en/itu-d/statistics/documents/facts/ictfactsfigures2017.pdf,itu,,2026-07-29,active,,
Water / Wastewater,150381695000,2022,revenue,US,"Water supply utility revenue $80,548,263K + sewerage charges $69,833,432K (state & local government, US total; amounts in thousands)","US Census Bureau — 2022 Census of Governments: Finance, Table 1",https://www2.census.gov/programs-surveys/gov-finances/tables/2022/22slsstab1.xlsx,us-census,,2026-07-29,active,,
Insurance,842755000000,2025,value_added,US,"Insurance carriers and related activities, 2025: 842,755 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-07-29,active,,
