ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date,status,deprecated_at,deprecated_reason
GSMA-PQ01,GSMA PQ.01: Post-Quantum Telco Network Impact Assessment,Technical Standards,Compliance Frameworks,inventory,2,all,"Plan to establish a cryptographic inventory including currently used algorithms, key lengths, and systems dependent on cryptography.",Plan to establish a cryptographic inventory: e.g. currently used cryptographic algorithms and key-lengths; identify systems or vendor products dependent on cryptography.,"Section 2, Page 6",https://www.gsma.com/newsroom/wp-content/uploads/PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
GSMA-PQ01,GSMA PQ.01: Post-Quantum Telco Network Impact Assessment,Technical Standards,Compliance Frameworks,governance,2,all,Develop a PQC plan and perform risk assessments of cryptography used in network systems to guide priority actions.,Develop a PQC plan (see section 3.4)... Plan to perform a risk assessment of cryptography used in network systems.,"Section 2, Page 6",https://www.gsma.com/newsroom/wp-content/uploads/PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
GSMA-PQ01,GSMA PQ.01: Post-Quantum Telco Network Impact Assessment,Technical Standards,Compliance Frameworks,lifecycle,2,keys,Adapt or account for impacts to key management systems during the transition to quantum-safe technology.,Adapt or account for impacts to key management systems.,"Section 2, Page 6",https://www.gsma.com/newsroom/wp-content/uploads/PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
GSMA-PQ01,GSMA PQ.01: Post-Quantum Telco Network Impact Assessment,Technical Standards,Compliance Frameworks,lifecycle,2,certificates,"Overhaul existing PKI architectures as existing algorithms become obsolete to address 'Store Now, Decrypt Later' threats.","To address “Store Now, Decrypt Later” and other quantum attacks, overhauling existing PKI architectures is required as existing algorithms become obsolete.","Section 2, Page 6",https://www.gsma.com/newsroom/wp-content/uploads/PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
GSMA-PQ01,GSMA PQ.01: Post-Quantum Telco Network Impact Assessment,Technical Standards,Compliance Frameworks,lifecycle,2,all,"Understand how to treat systems, services, or products that may not be updated to handle legacy cryptographic debt.",Prepare how to handle the legacy. Understand how to treat systems/services/products that may not be updated.,"Section 2, Page 6",https://www.gsma.com/newsroom/wp-content/uploads/PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
GSMA-PQ01,GSMA PQ.01: Post-Quantum Telco Network Impact Assessment,Technical Standards,Compliance Frameworks,governance,2,all,"Engage with industry groups, government, and vendors on roadmaps to implement PQC and manage the transition.","Engage with industry groups, government and vendors on the roadmaps to implement PQC.","Section 2, Page 6",https://www.gsma.com/newsroom/wp-content/uploads/PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
GSMA-PQ01,GSMA PQ.01: Post-Quantum Telco Network Impact Assessment,Technical Standards,Compliance Frameworks,inventory,2,all,"Complete risk assessments across the broad set of cryptographic applications in operations, including libraries, protocols, and hardware.","This means completing risk assessments across the broad set of cryptographic applications in operations including the areas below... Cryptographic technology, including cryptographic libraries, cryptographic protocols, cryptographic hardware.","Section 3.1, Page 6",https://www.gsma.com/newsroom/wp-content/uploads/PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
Europol-FS-ISAC-PQC-Financial-2026,Prioritising Post-Quantum Cryptography Migration Activities in Financial Services,Technical Standards,Industry & Research,inventory,2,all,Create and maintain an inventory of all business use cases relying on public key cryptography to enable prioritized transition roadmaps.,A critical first step is to create and maintain an inventory of all business use cases that rely on public key cryptography. This inventory enables the creation of a prioritised transition roadmap...,QUANTUM-SAFETY PRIORITISATION / Page 7,https://www.europol.europa.eu/cms/sites/default/files/documents/Post-quantum-cryptography-report.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
Europol-FS-ISAC-PQC-Financial-2026,Prioritising Post-Quantum Cryptography Migration Activities in Financial Services,Technical Standards,Industry & Research,governance,2,all,Incorporate quantum safety into existing risk management frameworks by assessing Migration Priority based on Quantum Risk and Migration Time.,This document provides actionable guidelines to incorporate quantum safety into existing risk management frameworks by assessing the ‘Migration Priority’ based on the ‘Quantum Risk’ and ‘Migration Time’...,EXECUTIVE SUMMARY / Page 4,https://www.europol.europa.eu/cms/sites/default/files/documents/Post-quantum-cryptography-report.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
Europol-FS-ISAC-PQC-Financial-2026,Prioritising Post-Quantum Cryptography Migration Activities in Financial Services,Technical Standards,Industry & Research,lifecycle,2,all,"Classify use cases into High, Medium, or Low priority using a risk-time matrix to align resources with urgent and impactful transitions.","By combining Quantum Risk Score and Migration Time Score, organisations can classify use cases into High, Medium, or Low priority according to a risk–time matrix...",Determining Migration Priority / Page 10,https://www.europol.europa.eu/cms/sites/default/files/documents/Post-quantum-cryptography-report.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
Europol-FS-ISAC-PQC-Financial-2026,Prioritising Post-Quantum Cryptography Migration Activities in Financial Services,Technical Standards,Industry & Research,lifecycle,2,all,"Initiate no-regret technical activities as pre-work for high-risk use cases requiring preparation, including budget allocation and platform upgrades.","High-risk use cases requiring preparation: Should be included in the roadmap with near-term planning (budget allocation, platform upgrades, prerequisites). No-regret technical activities should be initiated...",Determining Migration Priority / Page 10,https://www.europol.europa.eu/cms/sites/default/files/documents/Post-quantum-cryptography-report.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
Europol-FS-ISAC-PQC-Financial-2026,Prioritising Post-Quantum Cryptography Migration Activities in Financial Services,Technical Standards,Industry & Research,lifecycle,2,all,Integrate post-quantum requirements into long-term roadmaps for hardware-intensive use cases aligned with financial asset lifecycles.,Integration of post-quantum requirements into the long-term roadmap for hardware-intensive use cases aligned with financial asset lifecycles.,EXECUTIVE SUMMARY / Page 4,https://www.europol.europa.eu/cms/sites/default/files/documents/Post-quantum-cryptography-report.pdf,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
EUDI-Wallet-ARF,EUDI Wallet ARF v3.0.0,Compliance Frameworks,International Frameworks,assurance,3,software,Ensure Wallet Solutions undergo certification by Conformity Assessment Bodies to verify compliance with security and interoperability requirements.,Chapter 7 discusses Wallet Solution certification and risk management... Conformity Assessment Bodies (CABs)... are part of the audience.,"Section 1.1, Section 1.3",https://raw.githubusercontent.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/v2.9.0/docs/architecture-and-reference-framework-main.md,high,qwen3.6:27b-q8_0,2026-08-07,active,,
EUDI-Wallet-ARF,EUDI Wallet ARF v3.0.0,Compliance Frameworks,International Frameworks,governance,2,all,"Align implementation with the European Digital Identity Regulation and its implementing acts, which serve as the mandatory legal basis for the ecosystem.","This ARF... does not replace the legally binding European Digital Identity Regulation or its adopted implementing and delegated acts, which are the only mandatory requirements.",Section 1.3,https://raw.githubusercontent.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/v2.9.0/docs/architecture-and-reference-framework-main.md,high,qwen3.6:27b-q8_0,2026-08-07,active,,
EUDI-Wallet-ARF,EUDI Wallet ARF v3.0.0,Compliance Frameworks,International Frameworks,assurance,3,software,Maintain alignment with certification requirements and relevant standards as part of the continuous refinement of the Architecture and Reference Framework.,The ARF will be further refined... to: Maintain alignment with certification requirements. Maintain alignment with relevant standards and technical specifications.,Section 1.7,https://raw.githubusercontent.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/v2.9.0/docs/architecture-and-reference-framework-main.md,medium,qwen3.6:27b-q8_0,2026-08-07,active,,
