category_id,category_name,pqc_priority,total_software_products,pqc_ready_products,readiness_percentage,related_threats,timeline_pressure,urgency_score,recommended_action_timeline,industries_affected,recommended_action_timeline_original,timeline_status,date_stamp,last_reviewed_date,last_reviewed_by
CSC-025,Cryptographic Agility Frameworks,Critical,11,9,81.8,15,12,60.1,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-002,Hardware Security Module (HSM) Software,Critical,29,20,69.0,17,23,66.4,2026-Q3,"Finance, Government, Healthcare, Defense",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-004,Public Key Infrastructure (PKI) Software,Critical,22,16,72.7,14,16,65.0,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-003,Key Management Systems (KMS),Critical,17,10,58.8,31,23,76.0,2026-Q3,All industries,2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-029,Payment Cryptography Systems,Critical,8,3,37.5,29,36,98.8,IMMEDIATE,"Finance, Retail",2025-Q4,PAST_DUE,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-016,Post-Quantum Cryptography Libraries,Critical,64,58,90.6,7,20,60.1,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-001,Cryptographic Libraries,Critical,95,61,64.2,10,12,59.0,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-015,API Security and JWT Libraries,High,12,3,25.0,16,20,77.0,2026-Q3,All industries,2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-026,Secure Boot and Firmware Security,High,10,3,30.0,23,25,83.8,2026-Q3,All industries,2026-Q1,PAST_DUE,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-005,TLS/SSL Implementation Software,Critical,9,6,66.7,4,15,58.0,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
