sector_key,display_name,cswp39_anchor,aliases,cross_sector,legacy_of,expands_to,notes,status,deprecated_at,deprecated_reason
11,Food & Agriculture,Food & Agriculture,Food & Agriculture;Agriculture;Farming,No,,,"Added 2026-07-31 (WP-0.2). One of the four CSWP-39 anchors the coverage audit found had no /compliance filter at all, because the vocabulary contained no NAICS code covering it.",active,,
22,Energy & Utilities,Energy & Utilities,Energy & Utilities;Energy;Utilities;Oil & Gas;Water & Wastewater Systems,No,,,Water & Wastewater Systems is a CISA critical-infrastructure sector with no 2-digit NAICS of its own; NAICS 22 (Utilities) is its home.,active,,
32,Chemical,Chemical,Chemical;Chemicals,No,,,Added 2026-07-31 (WP-0.2). NAICS 325 is chemical manufacturing; 32 is its 2-digit parent. Second of the four unfiltered anchors.,active,,
33,Critical Manufacturing,Critical Manufacturing,Critical Manufacturing;Manufacturing;Aerospace;Automotive,No,,,"Added 2026-07-31 (WP-0.2). Covers the Critical Manufacturing anchor plus Aerospace and Automotive, neither of which had any code.",active,,
44,Retail Trade,Retail & E-Commerce,Retail Trade;Retail;Retail & E-Commerce;E-Commerce,No,,,,active,,
45,Retail Trade,Retail & E-Commerce,Retail Trade;Retail,No,,,NAICS splits retail across 44-45; both resolve to the same display name.,active,,
48,Transportation,Transportation Systems,Transportation;Transportation Systems;Logistics,No,,,Transportation Systems is the CSWP-39 anchor name; NAICS 48 is the code.,active,,
49,Transportation,Transportation Systems,Transportation;Logistics;Warehousing,No,,,NAICS splits transportation across 48-49; both resolve to the same display name.,active,,
51,Information Technology,Communications,Information Technology;Technology;Software;IT;Telecommunications;Telecom;Communications,No,,,"'Technology' is deliberately an alias of BOTH 51 and 54 (user decision 2026-07-31). The rows tagged 'Technology' are cryptography standards and certification schemes that apply to software/IT firms and technical-services firms alike, so they carry both codes rather than being forced into one.",active,,
52,Finance & Insurance,Finance & Banking,Finance & Insurance;Finance & Banking;Banking;Financial Services;Finance;financial,No,,,,active,,
54,Professional & Technical Services,Technology,Professional & Technical Services;Professional Services;Technology;Consulting;Legal,No,,,See the note on 51 — 'Technology' maps to both codes by design.,active,,
56,Administrative & Support Services,,Administrative & Support Services;Administrative Services,No,,,Carried over from NAICS_LABELS. No compliance row uses it today; kept so the vocabulary is a complete NAICS reference rather than only what happens to be tagged.,active,,
61,Educational Services,Education,Educational Services;Education;Academia,No,,,,active,,
62,Healthcare & Life Sciences,Healthcare,Healthcare & Life Sciences;Healthcare;Health;Life Sciences;Medical,No,,,,active,,
91,Government & Defense,Government & Defense,Government & Defense;Defense;Military;National Security,No,92,,"Carried over from NAICS_LABELS. 91 is NOT a standard US NAICS sector (92 is Public Administration) and no compliance row used it before 2026-07-31. legacy_of=92 marks it as a non-canonical duplicate: the WP-1.1 migration skips it when 92 is also resolved, so government tagging lands on 92 alone and the dropdown gains no near-duplicate option. Its aliases are RETAINED because the Library page's matchesSectorFilter still substring-matches freeform industry prose through them, and DEFAULT_SECTOR_OPTIONS offers 'Government & Defense (91)' there; stripping them made that option match zero documents.",active,,
92,Public Administration,Government & Defense,Public Administration;Government;Federal Government;Federal;Government & Defense,No,,,,active,,
CROSS-CRITICAL-INFRA,Critical Infrastructure,,Critical Infrastructure;Critical National Infrastructure;CNI,Yes,,22;48;51;52;92,"CROSS-SECTOR (user decision 2026-07-31): the row keeps 'Critical Infrastructure' as its display label in `industries`, while `naics_codes` carries expands_to so filtering works. Not itself a filter option.",active,,
CROSS-DIB,Defense Industrial Base,,Defense Industrial Base;DIB,Yes,,33;92,CROSS-SECTOR (user decision 2026-07-31): display label retained; naics_codes carries expands_to.,active,,
