industry,market_size_usd,market_size_year,metric_type,region_scope,figure_as_stated,main_source,source_url,trusted_source_id,local_file,last_verified,status,deprecated_at,deprecated_reason
Aerospace / Aviation,184966000000,2025,value_added,US,"Air transportation, 2025: 184,966 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-08-17,active,,
Automotive / Connected Vehicles,183970000000,2025,value_added,US,"Motor vehicles, bodies and trailers, and parts, 2025: 183,970 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-08-17,active,,
Cloud Computing / Data Centers,590506000000,2025,value_added,US,"Data processing, internet publishing, and other information services, 2025: 590,506 (millions of dollars) — replaces the discontinued BEA Digital Economy Satellite Account (final vintage 2022, confirmed no successor exists); narrower NAICS scope than the prior 'digital economy' concept","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Cryptocurrency / Blockchain,2300000000000,2026,market_cap,global,"Total crypto market capitalization declined by about 4.2 percent quarter-on-quarter to USD 2.3 trillion by end-June 2026, extending the correction from its October 2025 peak of USD 4.4 trillion","IMF — Crypto Assets Monitor, Q2 2026 edition",https://www.imfconnect.org/content/dam/imf/News%20and%20Generic%20Content/GMM/Special%20Features/GMM%20Crypto%20Monitor%20Q2%202026.pdf,imf,,2026-08-17,active,,
Education / Research,983700000000,2024,expenditure,US,"Total expenditures by public elementary-secondary school systems totaled $983.7 billion in FY 2024, up 7.1% from the prior year (revenue from all sources: $994.9 billion) — replaces the deprecated global World Bank/UNESCO figure (Education Finance Watch 2024, stuck at 2022 data with no newer edition); no official ≥2024 GLOBAL education-expenditure total exists anywhere after re-checking World Bank API, UNESCO UIS raw database, OECD Education at a Glance 2025, and Eurostat directly — all independently cap out at 2022-2023. Scope narrows from global to US K-12 public education only (excludes higher ed; NCES's combined K-12+postsecondary series lags further behind, FY2023/FY2021-22)","US Census Bureau — Annual Survey of School System Finances, FY2024",https://www.census.gov/newsroom/press-releases/2026/school-system-finances.html,us-census,,2026-08-17,active,,
Critical Infrastructure / Energy,3400000000000,2026,investment,global,"Capital flows to the energy sector are expected to grow to USD 3.4 trillion in 2026, a 5% rise from 2025","IEA — World Energy Investment 2026",https://iea.blob.core.windows.net/assets/64594543-cf6e-4fd9-8238-d3cae35daf48/WorldEnergyInvestment2026.pdf,iea,,2026-08-17,active,,
Finance & Banking,2441825000000,2025,value_added,US,"Finance and insurance, 2025: 2,441,825 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-08-17,active,,
Government & Defense,2651803473255,2024,expenditure,global,"World military expenditure (current USD), 2024: 2,651,803,473,255 (WDI indicator MS.MIL.XPND.CD)",World Bank — World Development Indicators (military expenditure),https://api.worldbank.org/v2/country/WLD/indicator/MS.MIL.XPND.CD?format=json&per_page=10&date=2018:2024,world-bank,,2026-08-17,active,,
Healthcare / Pharmaceutical,5300000000000,2024,expenditure,US,"NHE grew 7.2% to $5.3 trillion in 2024, or $15,474 per person, and accounted for 18.0% of Gross Domestic Product (GDP) — replaces the deprecated global WHO figure (Global Health Expenditure Report 2024, stuck at 2022 data with no newer edition); no official ≥2024 GLOBAL healthcare-expenditure total exists anywhere after re-checking CMS, OECD, Eurostat, World Bank, IMF, and WHO's raw GHED database directly — Eurostat/World Bank/WHO GHED all independently cap out at 2023. Scope narrows from global to US-only","US CMS — National Health Expenditure (NHE) Fact Sheet, Historical NHE 2024 (published Jan 2026)",https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,cms,,2026-08-17,active,,
IT Industry / Software,553797000000,2025,value_added,US,"Computer systems design and related services, 2025: 553,797 (millions of dollars) — replaces the discontinued BEA Digital Economy Satellite Account (final vintage 2022, confirmed no successor exists); narrower NAICS scope, excludes hardware and software publishers","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Legal / Notary / eSignature,421874000000,2025,value_added,US,"Legal services, 2025: 421,874 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Media / Entertainment / DRM,119016000000,2025,value_added,US,"Motion picture and sound recording industries, 2025: 119,016 (millions of dollars) — replaces BEA's Arts and Cultural Production Satellite Account (final vintage 2023; BEA posted a notice in Feb 2026 that it will no longer regularly produce these statistics); narrower NAICS scope, excludes performing arts and museums","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Payment Card Industry,11500000000000,2024,payment_value,US,"Total card payments 2024: $11.50 trillion (debit $4.99T, credit $6.51T) — Federal Reserve Payments Study top-line","US Federal Reserve — Payments Study, National Payment Volumes CY2015-24",https://www.federalreserve.gov/paymentsystems/frps_cy2015_24_topline.htm,federal-reserve,,2026-08-17,active,,
Rail / Transit,50944000000,2025,value_added,US,"Rail transportation, 2025: 50,944 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Retail & E-Commerce,1233700000000,2025,revenue,US,"Total e-commerce sales for 2025 were estimated at $1,233.7 billion, 16.4 percent of total retail sales",US Census Bureau — Quarterly Retail E-Commerce Sales Q4 2025 (CB26-42),https://www2.census.gov/retail/releases/historical/ecomm/25q4.pdf,us-census,,2026-08-17,active,,
Supply Chain / Logistics,1023864000000,2025,value_added,US,"Transportation and warehousing, 2025: 1,023,864 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Telecommunications,506426000000,2025,value_added,US,"Broadcasting and telecommunications, 2025: 506,426 (millions of dollars) — replaces the 2015 ITU global-revenue figure; no official ITU/OECD/World Bank global telecom-revenue total has existed since (ITU's World Telecommunication/ICT Indicators Database was discontinued in 2024 with no aggregate successor). Scope changes on three axes: US-only (not global), combined broadcasting+telecom NAICS 515+517 (not telecom alone), value-added (not revenue)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Water / Wastewater,167415058000,2024,revenue,US,"Water Utilities Revenue (item A91) $89,149,819K + Sewerage Charges (item A80) $78,265,239K, state & local government, US total (amounts in thousands) — read verbatim from Census's raw 'Individual Unit Files' public-use data (24statetypepu.txt), not the missing quinquennial summary spreadsheet; the annual (non-census-year) Annual Survey of State and Local Government Finances does not publish an aggregated summary table, but this underlying public-use file does exist for FY2024. Combined total is addition of the two verbatim line items, same convention as the prior 2022 figure","US Census Bureau — 2024 State & Local Government Finance, Individual Unit Files",https://www2.census.gov/programs-surveys/gov-finances/tables/2024/2024_Individual_Unit_Files.zip,us-census,,2026-08-17,active,,
Insurance,842755000000,2025,value_added,US,"Insurance carriers and related activities, 2025: 842,755 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
