Algorithm,SideChannelAttacks,FaultInjectionAttacks,RNGFailures,SecretHandlingFailures,APIMisuse,date_stamp,iacr_reference,mitigation_notes
3DES,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Upgrade to AES-256-GCM. Triple-DES is deprecated per NIST SP 800-131A Rev 2.
AES,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Use constant-time AES implementations (AES-NI). Apply masking countermeasures for hardware targets. See NIST FIPS 197.
Any (Attribute-Based Encryption),Unknown,Unknown,Unknown,Unknown,Unknown,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
Any (Firmware Signing),Unknown,Unknown,Unknown,Unknown,Unknown,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
Any (Stateless),Unknown,Unknown,Unknown,Unknown,Unknown,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
DES,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
DH (Diffie-Hellman),Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,"Migrate to ML-KEM. Legacy deployments: use strong DH groups (RFC 7919), validate public keys."
ECDH,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM per NIST IR 8547. For legacy: validate curve points and use constant-time scalar multiplication.
ECDH + ML-KEM,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2023/1301,Hybrid construction provides classical + PQC security. Ensure ML-KEM implementation uses constant-time operations. Validate ciphertext before decapsulation.
ECDSA,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-DSA per NIST IR 8547. For legacy: enforce RFC 6979 deterministic nonce generation.
