classical_algorithm,key_size,pqc_replacement,Function,Deprecation_Date_Label,Standardization_Date_Label,Region,Status,status_url,Deprecation_Date_ISO,Standardization_Date_ISO,data_quality_notes
RSA,2048-bit,ML-KEM-512 (NIST Level 1),Encryption/KEM,2030 (Deprecated) / 2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2030-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA,3072-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA,4096-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDH (P-256),256-bit,ML-KEM-512 (NIST Level 1),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDH (P-384),384-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDH (P-521),521-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
X25519,256-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
X448,448-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
DH (Diffie-Hellman),2048-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA,2048-bit,HQC-128 (NIST Level 1),Encryption/KEM,2030 (Deprecated) / 2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,2030-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA,3072-bit,HQC-192 (NIST Level 3),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA,4096-bit,HQC-256 (NIST Level 5),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDH (P-256),256-bit,HQC-128 (NIST Level 1),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
