product_id,software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link,pqc_cert_flag,cert_link_quality,data_quality_notes,date_stamp
net-system-security-cryptography,.NET System.Security.Cryptography,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766,no_pqc_cert_classical_only,url_authoritative,CMVP #4766: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
net-system-security-cryptography,.NET System.Security.Cryptography,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825,no_pqc_cert_classical_only,url_authoritative,CMVP #4825: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
amd-sev-snp-secure-encrypted-virtualization,AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4555,Advanced Micro Devices (AMD),"AMD Ryzen PRO 5000 Series PSP Cryptographic CoProcessor (models 5475U, 5675U, 5875U)",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-07-31,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4555,no_pqc_cert_classical_only,url_authoritative,CMVP #4555: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
amd-sev-snp-secure-encrypted-virtualization,AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4626,Advanced Micro Devices (AMD),AMD Ryzen PRO 6000 Series PSP Cryptographic CoProcessor,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-10-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4626,no_pqc_cert_classical_only,url_authoritative,CMVP #4626: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
amd-sev-snp-secure-encrypted-virtualization,AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4819,"Advanced Micro Devices, Inc. (AMD)",AMD Pensando PenTrust Security Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-01,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4819,no_pqc_cert_classical_only,url_authoritative,CMVP #4819: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,4880,"Advanced Micro Devices (AMD), Microsoft Corporation",Pluton Security Processor ROM,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-11-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4880,no_pqc_cert_classical_only,url_authoritative,CMVP #4880: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,4915,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Raphael"")",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-12-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4915,no_pqc_cert_classical_only,url_authoritative,CMVP #4915: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,4914,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Storm Peak"")",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-12-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4914,no_pqc_cert_classical_only,url_authoritative,CMVP #4914: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,4941,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Genoa"")",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-15,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4941,no_pqc_cert_classical_only,url_authoritative,CMVP #4941: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,5085,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Turin"")",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-10-22,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5085,no_pqc_cert_classical_only,url_authoritative,CMVP #5085: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
