industry,threat_id,threat_description,criticality,crypto_at_risk,pqc_replacement,main_source,source_url,accuracy_pct,related_modules,trusted_source_id,local_file,peer_reviewed,vetting_body,source_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,applicable_industries_normalized,status,deprecated_at,deprecated_reason
48,AERO-001,Aircraft avionics cryptographic exposure: RTCA DO-326A defines airworthiness security processes for aircraft systems with 30-40 year service lives. ARINC 664 (AFDX) network security and flight management systems rely on RSA/ECDSA. Aircraft entering service today will operate well beyond CRQC arrival with no practical mid-life cryptographic retrofit path.,Critical,"Avionics PKI, ARINC 664 network security, flight management system authentication","Crypto-agile avionics design, ML-DSA for flight software signing, hybrid certificate chains",RTCA DO-326A / DO-356A Airworthiness Security,https://www.faa.gov/aircraft/air_cert/design_approvals/dah/cybersecurity,80,code-signing|kms-pqc|hsm-pqc|iot-ot-pqc|aerospace-pqc,rtca,public/threats/AERO-001.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18: URL corrected — RTCA.org DO-326A page returned 404; FAA aircraft cybersecurity page references DO-326A as acceptable means of compliance.,60,,active,,
48,AERO-002,"Satellite communication HNDL vulnerability: Military and commercial satellites have 15-25 year operational lifespans. NSA CNSA 2.0 mandates PQC for all national security systems including satellite uplink/downlink — NSS equipment must phase out quantum-vulnerable algorithms by 2033 (CNSA 2.0 FAQ Dec 2024 sets December 31, 2030 for phasing out non-CNSA 2.0 equipment, mandatory CNSA 2.0 use by December 31, 2031, full NSS quantum resistance by 2035). Currently intercepted satellite communications are harvestable for future quantum decryption.",Critical,"Satellite uplink/downlink RSA/ECDSA, ground station TLS, inter-satellite link encryption","ML-KEM-1024, ML-DSA-87 per CNSA 2.0, AES-256",NSA CNSA 2.0 Cybersecurity Advisory,https://www.quantum.gov/nsa-releases-future-quantum-resistant-algorithm-requirements-for-national-security-systems/,80,kms-pqc|hsm-pqc|vpn-ssh-pqc|hybrid-crypto|aerospace-pqc,iso-iec-sc27,,yes,ISO,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18: URL corrected — media.defense.gov PDF returns 403; replaced with quantum.gov NSA CNSA 2.0 announcement page. 2026-05-18 Pass-3 fix: clarified satellite falls under ""niche equipment"" CNSA 2.0 category (new equipment PQ-only by 2033, full transition by 2035) — not a satellite-specific 2033 deadline. 2026-05-18 accuracy fix: Corrected CNSA 2.0 satellite deadline from 2035 → 2033 with updated FAQ timeline.",85,,active,,
48,AERO-003,"Air traffic management authentication gap: ICAO Assembly Resolution A41-19 (41st Assembly, October 2022) addresses aviation cybersecurity but ADS-B transmissions remain unencrypted and unauthenticated — present-day ADS-B spoofing is a classical (non-quantum) threat. Quantum computing becomes relevant when authenticated ADS-B is deployed using public-key cryptography, which would itself require PQC to remain secure.",High,"ADS-B (unencrypted), Mode S, ATC data links, ACARS messaging","Authenticated ADS-B with ML-DSA, quantum-safe ATC protocols",ICAO Assembly Resolution A41-19,https://www.icao.int/events/a41/resolutions,80,quantum-threats|pqc-101|aerospace-pqc,icao,public/threats/AERO-003.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Clarified A41-19 as 41st ICAO Assembly (Oct 2022); distinguished classical ADS-B spoofing (present) from quantum threat to future authenticated ADS-B.,60,,active,,
48,AUTO-001,V2X PKI quantum transition: ISO/SAE 21434 (published August 2021) establishes cybersecurity engineering requirements for road vehicles. V2X communications use ECDSA P-256 certificates per IEEE 1609.2. Vehicles have 12+ year lifecycles meaning 2026 production vehicles remain on roads through 2038+ when CRQCs may be operational.,Critical,"ECDSA P-256 V2X certificates, IEEE 1609.2 PKI, digital key infrastructure","ML-DSA V2X certificates, hybrid V2X authentication, FN-DSA for constrained ECUs",ISO/SAE 21434 Road Vehicle Cybersecurity,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-155-cyber-security-and-cyber-security,80,iot-ot-pqc|pki-workshop|hybrid-crypto|automotive-pqc,iso-iec-sc27,public/threats/AUTO-004.html,yes,ISO,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18: URL corrected — ISO/SAE 21434 is paywalled; UNECE UN R155 is the legally binding open-access regulation that mandates ISO/SAE 21434 compliance.,85,,active,,
48,AUTO-002,"Connected vehicle remote access quantum risk: SAE J3061 (2016, largely replaced in practice by ISO/SAE 21434) provided cybersecurity guidance for cyber-physical vehicle systems. Modern connected vehicles use TLS for OTA update channels, RSA for key management, and ECDSA for firmware signing. Vehicles must retain cryptographic agility for 15-20 year operational periods.",Critical,"RSA/ECDSA code signing, secure boot chains, ECU firmware verification","ML-DSA firmware signing, SLH-DSA for safety-critical ECUs, dual-signature verification",SAE J3061 / ISO/SAE 21434 Vehicle Cybersecurity,https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/812333_cybersecurityformodernvehicles.pdf,80,code-signing|iot-ot-pqc|stateful-signatures|automotive-pqc|secure-boot-pqc,iso-iec-sc27,public/threats/AUTO-002.html,yes,ISO,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18: URL corrected — SAE J3061 is paywalled; NHTSA Cybersecurity Best Practices PDF explicitly references SAE J3061. 2026-05-18 accuracy fix: Changed ""superseded by"" → ""largely replaced in practice by"" (SAE has not formally withdrawn J3061).",85,,active,,
48,AUTO-003,UNECE WP.29 R155/R156 cybersecurity regulation gap: Mandatory for new vehicle type approvals in EU since July 2022 and extended to all new vehicles July 2024. Requires cybersecurity management systems and secure OTA updates but does not yet address post-quantum cryptography creating a future compliance gap.,High,"TLS for telematics, RSA/ECDSA for OTA signing, connected car cloud API authentication","Hybrid TLS 1.3 with ML-KEM, ML-DSA OTA signing, crypto-agile telematics",UNECE WP.29 Regulations R155/R156,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-155-cyber-security-and-cyber-security,75,tls-basics|iot-ot-pqc|hybrid-crypto|automotive-pqc,unece,,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18: URL corrected — UNECE vehicle regulations page returned 403; specific UN R155 document page is accessible.,60,,active,,
48,AUTO-004,"In-vehicle network security quantum exposure: ISO/SAE 21434 covers the full vehicle cybersecurity lifecycle including CAN bus, LIN, FlexRay, and automotive Ethernet backbone networks. Embedded ECUs have limited computational resources and constrained crypto-agility, making mid-lifecycle PQC migration impractical for vehicles already in production.",High,"CAN bus authentication, secure boot in ECUs, in-vehicle Ethernet encryption, HSM key storage","Hardware security modules with PQC support, crypto-agile ECU design, ML-DSA for secure boot",ISO/SAE 21434 Road Vehicle Cybersecurity,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-155-cyber-security-and-cyber-security,75,iot-ot-pqc|kms-pqc|hsm-pqc|crypto-agility|automotive-pqc|secure-boot-pqc,iso-iec-sc27,public/threats/AUTO-004.html,yes,ISO,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18: URL corrected — ISO/SAE 21434 is paywalled; UNECE UN R155 open-access alternative.,85,,active,,
51,CLOUD-001,Cloud backup and disaster recovery HNDL risk: Air-gapped backups and long-term archival storage encrypted with RSA/ECDSA key wrapping are vulnerable to harvest-now-decrypt-later. Cloud backup data often retained for 7+ years for compliance.,High,"Backup encryption key wrapping, archival storage TLS, disaster recovery replication","PQC-enabled backup encryption, ML-KEM key wrapping, AES-256 for archival",Cloud Security Alliance Quantum-Safe Guidelines,https://cloudsecurityalliance.org/research/working-groups/quantum-safe-security,75,kms-pqc|hsm-pqc|hybrid-crypto|data-asset-sensitivity|secrets-management-pqc,csa-cloud,public/threats/CLOUD-002.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,
51,CLOUD-002,Cloud Security Alliance quantum readiness guidance: CSA published quantum-safe security guidance identifying crypto-agility as critical requirement for cloud deployments. Multi-cloud environments using 5+ key management systems face fragmented PQC migration paths.,High,"Cloud KMS key wrapping, multi-cloud encryption, BYOK/HYOK solutions, secrets management","Unified PQC key management, ML-KEM cloud HSM integration, crypto-agile KMS",Cloud Security Alliance Quantum-Safe Security,https://cloudsecurityalliance.org/research/working-groups/quantum-safe-security,75,kms-pqc|hsm-pqc|crypto-agility|secrets-management-pqc,csa-cloud,public/threats/CLOUD-002.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,
51,CLOUD-003,"FedRAMP authorized cloud quantum gap: FedRAMP High/Moderate authorized cloud services must comply with NIST SP 800-53 controls. FedRAMP authorization packages do not currently include PQC requirements. OMB M-23-02 directs federal agency CISOs (not cloud providers directly) to inventory cryptographic systems and develop PQC migration plans; PQC compliance flows from agency contracts to cloud providers contractually, not from FedRAMP baseline requirements. Cloud providers with FedRAMP and StateRAMP certifications processing government data face long compliance runways.",Critical,"Federal cloud TLS, FedRAMP-authorized encryption, cloud HSM FIPS modules","FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), FIPS 205 (SLH-DSA) cloud implementations",NIST IR 8547 / NIST SP 800-210,https://csrc.nist.gov/pubs/ir/8547/ipd,80,compliance-strategy|migration-program|pqc-101|pqc-governance,nist-csrc,public/threats/CROSS-002.html,yes,NIST,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Corrected: FedRAMP itself has no published PQC deadline. OMB M-23-02 targets agencies, not cloud providers directly.",85,,active,,
