category,id,label,description,industries,hndl_relevance,migration_priority,retention_years,compliance_deadline,compliance_notes,countries,data_quality_notes
TLS,TLS/HTTPS,Securing web and API traffic with TLS,Telecommunications;Technology;Finance & Banking;Retail & E-Commerce;Education;Healthcare,6,10,10,,2025-12-31,NSA CNSA 2.0 requires ML-KEM for key exchange and ML-DSA for TLS authentication by 2025. IETF RFC 9370 defines hybrid PQC key exchange.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
DATA-REST,Data-at-rest encryption,Encrypting stored data and files,Healthcare;Finance & Banking;Government & Defense;Education;Energy & Utilities,9,7,7,,2030-12-31,NIST recommends AES-256 for symmetric encryption (quantum-resistant). Migration focus is key wrapping and key management algorithms.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
SIGNING,Digital signatures / code signing,Signing software and documents cryptographically,Government & Defense;Technology;Aerospace;Finance & Banking,3,8,9,,2026-12-31,NSA CNSA 2.0 requires ML-DSA for code signing by 2026. NIST FIPS 204 and FIPS 205 (SLH-DSA) applicable.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
KEY-EXCHANGE,Key exchange / agreement,Establishing shared secret keys between parties,Government & Defense;Finance & Banking;Telecommunications,8,9,10,,2025-12-31,"NSA CNSA 2.0, NIST SP 800-56C Rev 3. Transition to ML-KEM-768 or ML-KEM-1024 for all key agreement protocols.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
AUTH,Authentication / identity,User and machine identity verification,Government & Defense;Technology;Finance & Banking;Education;Healthcare;Retail & E-Commerce,4,7,8,,2027-12-31,NIST FIPS 204 (ML-DSA) for digital signatures. Federal PIV/CAC: NIST SP 800-73-5 requires PQC-capable certificates.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
BLOCKCHAIN,Blockchain / cryptocurrency,Distributed ledger and digital asset cryptography,Finance & Banking;Technology,5,6,6,,2032-12-31,NIST guidance on PQC for distributed ledgers. ~25M BTC addresses with exposed public keys at risk from HNDL + CRQC.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
EMAIL-ENC,"Email encryption (S/MIME, PGP)",Encrypting and signing email communications,Government & Defense;Finance & Banking;Healthcare,7,5,6,,2030-12-31,IETF draft-ietf-lamps-pq-composite-sigs for S/MIME PQC. OpenPGP PQC draft (draft-ietf-openpgp-pqc) in progress.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
VPN,VPN / IPSec,Encrypted network tunnels and site-to-site VPNs,Government & Defense;Technology;Energy & Utilities;Telecommunications,7,8,9,,2026-12-31,"NSA CNSA 2.0, IETF RFC 9370 hybrid PQC IKEv2. StrongSwan and OpenVPN support via liboqs.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
IOT,IoT device communication,Cryptographic communication for connected devices,Automotive;Energy & Utilities;Telecommunications,5,6,6,,2030-12-31,NIST IR 8259A (IoT baseline security). ML-KEM-512 or BIKE for resource-constrained IoT devices.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
DB-ENC,Database encryption,Encrypting database contents and backups,Healthcare;Finance & Banking;Retail & E-Commerce;Education,8,7,7,,2030-12-31,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance."
