ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date,status,deprecated_at,deprecated_reason
draft-ietf-pquip-pqc-engineers-14,Post-Quantum Cryptography for Engineers,Standardization Bodies,Guidance,lifecycle,2,all,Evaluate the actual migration timeline honestly to understand exposure risks.,Organizations should also consider carefully and honestly what their migration timeline 'y' actually is.,Section 7,https://datatracker.ietf.org/doc/draft-ietf-pquip-pqc-engineers/,medium,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
CC-2022-PART3,Common Criteria 2022 Part 3 — Security Assurance Components (R1),Certification Schemes,Standard,lifecycle,3,software,Utilize a Configuration Management system to control changes to the TOE implementation representation.,ALC_CMC.2 Use of the CM system: The developer shall use a CM system to manage the TOE development and maintenance.,Section 12.2.6,https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART3R1.pdf,high,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
CC-2022-PART3,Common Criteria 2022 Part 3 — Security Assurance Components (R1),Certification Schemes,Standard,lifecycle,3,software,Establish authorization controls within the Configuration Management system to restrict changes.,ALC_CMC.3 Authorization controls: The developer shall establish and enforce authorization controls for the CM system.,Section 12.2.7,https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART3R1.pdf,high,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
CC-2022-CEM,Common Evaluation Methodology (CEM) 2022 R1,Certification Schemes,Standard,governance,2,all,"Define and document the responsibilities of evaluation roles including sponsors, evaluators, and certifiers to ensure clear ownership.",Responsibilities of the roles... Relationship of roles...,Section 9.1.2 / 9.1.3,https://www.commoncriteriaportal.org/files/ccfiles/CEM2022R1.pdf,high,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Technical Standards,NIST Standards,assurance,3,software,Implement continuous monitoring and logging of self-test failures to detect cryptographic module anomalies immediately.,"ERROR LOGGING ... The module must log the results of all self-tests. If a self-test fails, the module must log the failure and prevent further operation.",Section 10.3.D,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Technical Standards,NIST Standards,lifecycle,2,software,Establish a process for managing Common Vulnerabilities and Exposures (CVEs) affecting validated cryptographic modules.,CVE MANAGEMENT ... Vendors must have a process to manage CVEs that affect their validated modules and communicate updates to the CMVP.,Section 11.A,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Technical Standards,NIST Standards,observability,3,software,Configure modules to perform periodic self-tests and report results to ensure ongoing compliance with security requirements.,PERIODIC SELF-TESTING ... The module must perform periodic self-tests to verify the integrity of its cryptographic functions and report any failures.,Section 10.3.E,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
RFC 9420,The Messaging Layer Security (MLS) Protocol,Technical Standards,Protocols,lifecycle,3,keys,Enforce strict validation of credential expiry and revocation status before accepting client credentials to maintain group integrity.,Credential Validation ... Credential Expiry and Revocation,"Section 5.3.1, 5.3.2",https://www.rfc-editor.org/rfc/rfc9420.html,medium,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
NIST-CSWP-36A,Protecting Subscriber Identifiers with Subscription Concealed Identifier (SUCI): Applying 5G Cybersecurity and Privacy Capabilities,Technical Standards,NIST Standards,inventory,2,keys,Verify that SUCI is configured to use a non-null encryption cipher scheme.,"To use SUCI, organizations should verify the following: SUCI is using a non-null encryption cipher scheme.","Page 3, How can I use SUCI?",https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.36A.ipd.pdf,high,qwen3.5:27b,2026-04-24,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
Malaysia-NACSA-PQC-2025,Malaysia National Cryptography Policy and PQC Migration Plan 2025-2030,Compliance Frameworks,Compliance/Policy,governance,2,all,Establish a national cryptographic policy framework to manage and control technology usage consistently.,"MyKriptografi digubal bagi memastikan Malaysia dapat mengurus, mengawal dan menerapkan penggunaan teknologi kriptografi dengan teratur, selamat dan berpaksikan piawaian antarabangsa.",Page 4,https://www.nacsa.gov.my/,high,qwen3.5:27b,2026-04-25,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24); shadow row supersedes the original via the merge-all loader's basename-descending dedup — original file untouched"
