algorithm_family,algorithm,cryptographic_family,nist_security_level,aes_equivalent,public_key_bytes,private_key_bytes,signature_ciphertext_bytes,shared_secret_bytes,keygen_cycles_relative,sign_encaps_cycles_relative,verifydecaps_cycles_relative,stack_ram_bytes,optimization_target,fips_standard,use_case_notes,trusted_source_id,peer_reviewed,vetting_body,region,status,status_url,status_url_quality,confidence_score
KEM,ML-KEM-512,Lattice,1.0,AES-128,800.0,1632.0,768.0,32.0,1x,1x,1x,~4000,Balanced,FIPS 203,Good for most applications; ~80x faster keygen than RSA-2048,nist-csrc,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,url_authoritative,85
KEM,ML-KEM-768,Lattice,3.0,AES-192,1184.0,2400.0,1088.0,32.0,1.5x,1.5x,1.5x,~6000,Balanced,FIPS 203,Recommended general use; balances security and performance,nist-csrc,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,url_authoritative,85
KEM,ML-KEM-1024,Lattice,5.0,AES-256,1568.0,3168.0,1568.0,32.0,2x,2x,2x,~8000,Balanced,FIPS 203,Highest security; CNSA 2.0 requirement for government/defense,nist-csrc,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,url_authoritative,85
KEM,FrodoKEM-640,Lattice,1.0,AES-128,9616.0,19888.0,9752.0,16.0,10x,20x,20x,~60000,Conservative,NIST Round 3 alternate (not advanced); BSI/ANSSI & ISO 18033-2 recommended,"Conservative LWE-based; larger key & ciphertext, slower than ML-KEM; not selected for NIST standardization",ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html,url_authoritative,85
KEM,FrodoKEM-976,Lattice,3.0,AES-192,15632.0,31296.0,15792.0,24.0,15x,30x,30x,~120000,Conservative,NIST Round 3 alternate (not advanced); BSI/ANSSI & ISO 18033-2 recommended,Higher security conservative option; significant size/performance cost; not selected for NIST standardization,ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html,url_authoritative,85
KEM,FrodoKEM-1344,Lattice,5.0,AES-256,21520.0,43088.0,21696.0,32.0,20x,40x,40x,~180000,Conservative,NIST Round 3 alternate (not advanced); BSI/ANSSI & ISO 18033-2 recommended,Ultra-conservative LWE (Level 5); very large keys and slowest performance; not selected for NIST standardization,ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html,url_authoritative,85
KEM,HQC-128,Code-based,1.0,AES-128,2249.0,2305.0,4433.0,64.0,2x,3x,3x,~10000,Balanced,Draft (Selected 2025),Code-based KEM; NIST-selected 2025 as backup to ML-KEM. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,nist-csrc,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,url_authoritative,85
KEM,HQC-192,Code-based,3.0,AES-192,4522.0,4586.0,8978.0,64.0,3x,6x,6x,~20000,Balanced,Draft (Selected 2025),Higher security code-based; NIST-selected 2025. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,nist-csrc,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,url_authoritative,85
KEM,HQC-256,Code-based,5.0,AES-256,7245.0,7317.0,14421.0,64.0,4x,9x,9x,~30000,Balanced,Draft (Selected 2025),Highest security code-based; NIST-selected 2025; cryptographic diversity from lattice-based ML-KEM. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,nist-csrc,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,url_authoritative,85
KEM,Classic-McEliece-348864,Code-based,1.0,AES-128,261120.0,6492.0,96.0,32.0,80x,4x,4x,~8000,Balanced,NIST PQC Round 4 (Alternate),Level 1 code-based (McEliece); ~256KB public key; fast decapsulation; not selected for NIST FIPS (impractical key sizes),nist-csrc,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2; BSI TR-02102-1,https://www.iso.org/standard/86890.html,url_authoritative,85
KEM,Classic-McEliece-460896,Code-based,3.0,AES-192,524160.0,13608.0,156.0,32.0,100x,5x,5x,~10000,Balanced,NIST PQC Round 4 (Alternate),Classic code-based (McEliece); ~0.5MB public key; fast decapsulation; not selected for NIST FIPS (impractical key sizes),nist-csrc,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2; BSI TR-02102-1,https://www.iso.org/standard/86890.html,url_authoritative,85
KEM,Classic-McEliece-8192128,Code-based,5.0,AES-256,1357824.0,14120.0,208.0,32.0,150x,10x,10x,~15000,Balanced,NIST PQC Round 4 (Alternate),Highest security McEliece; ~1.3MB public key; extremely secure long-term; not selected for NIST FIPS (impractical key sizes),nist-csrc,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2; BSI TR-02102-1,https://www.iso.org/standard/86890.html,url_authoritative,85
KEM,BIKE-1,Code-based,1.0,AES-128,1541.0,3749.0,1573.0,32.0,5x,8x,10x,~12000,Balanced,NIST PQC Round 4 (concluded 2025; not selected),NIST Round 4 code-based KEM (QC-MDPC); compact keys; known timing side-channels in decoding require constant-time implementation,nist-csrc,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,url_authoritative,85
KEM,BIKE-3,Code-based,3.0,AES-192,3083.0,7499.0,3115.0,32.0,8x,15x,18x,~24000,Balanced,NIST PQC Round 4 (concluded 2025; not selected),NIST Round 4 code-based KEM (QC-MDPC); Level 3 variant; compact keys relative to Classic McEliece; active standardization,nist-csrc,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,url_authoritative,85
