software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
.NET 10 PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,net-10-pqc,cpe_not_found_pending_nvd,'.NET 10 PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
.NET System.Security.Cryptography,,,,,not_found,,2026-04-01,2026-07-11,not in regen,net-system-security-cryptography,cpe_not_found_pending_nvd,'.NET System.Security.Cryptography' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
01 Quantum IronCAP,,,,,not_found,,2026-07-14,2026-07-14,not in regen,,,
1Password,,,,,not_found,,2026-04-01,2026-07-11,not in regen,1password,cpe_not_found_pending_nvd,'1Password' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
A10 Networks Thunder ADC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,a10-networks-thunder-adc,cpe_not_found_pending_nvd,'A10 Networks Thunder ADC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AdGuard DNS,,,,,not_found,,2026-04-01,2026-07-11,not in regen,adguard-dns,cpe_not_found_pending_nvd,'AdGuard DNS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Adobe Acrobat Sign,,,,,not_found,,2026-04-01,2026-07-11,not in regen,adobe-acrobat-sign,cpe_not_found_pending_nvd,'Adobe Acrobat Sign' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Adva FSP 3000 S-Flex,,,,,not_found,,2026-04-01,2026-07-11,not in regen,adva-fsp-3000-s-flex,cpe_not_found_pending_nvd,'Adva FSP 3000 S-Flex' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Adva Network Security FSP 3000 S-Flex,,,,,not_found,,2026-04-01,2026-07-11,not in regen,adva-network-security-fsp-3000-s-flex,cpe_not_found_pending_nvd,'Adva Network Security FSP 3000 S-Flex' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Africa Quantum Consortium PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,africa-quantum-consortium-pqc,cpe_not_found_pending_nvd,'Africa Quantum Consortium PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Akamai Connected Cloud,,,,,not_found,,2026-04-01,2026-07-11,not in regen,akamai-connected-cloud,cpe_not_found_pending_nvd,'Akamai Connected Cloud' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Akamai Edge,,,,,not_found,,2026-04-01,2026-07-11,not in regen,akamai-edge,cpe_not_found_pending_nvd,'Akamai Edge' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Akamai PQC Edge,,,,,not_found,,2026-04-01,2026-07-11,not in regen,akamai-pqc-edge,cpe_not_found_pending_nvd,'Akamai PQC Edge' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Algorand,,,,,not_found,,2026-04-01,2026-07-11,not in regen,algorand,cpe_not_found_pending_nvd,'Algorand' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Algorand FALCON Mainnet,,,,,not_found,,2026-04-01,2026-07-11,not in regen,algorand-falcon-mainnet,cpe_not_found_pending_nvd,'Algorand FALCON Mainnet' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Alibaba Cloud GVSM,,,,,not_found,,2026-04-01,2026-07-11,not in regen,alibaba-cloud-gvsm,cpe_not_found_pending_nvd,'Alibaba Cloud GVSM' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Alpine Linux,cpe:2.3:o:alpinelinux:alpine_linux:-:*:*:*:*:*:*:*,alpinelinux,alpine_linux,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=alpine%20linux,2026-04-01,2026-07-11,not in regen,alpine-linux,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Amazon CloudFront,cpe:2.3:a:amazon:amazon_cloudfront:-:*:*:*:*:*:*:*,amazon,amazon_cloudfront,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20cloudfront,2026-04-01,2026-07-11,not in regen,amazon-cloudfront,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Amazon Cognito,,,,,not_found,,2026-04-01,2026-07-11,not in regen,amazon-cognito,cpe_not_found_pending_nvd,'Amazon Cognito' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Amazon EKS,,,,,not_found,,2026-04-01,2026-07-11,not in regen,amazon-eks,cpe_not_found_pending_nvd,'Amazon EKS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
