industry,use_case_id,use_case_label,use_case_icon,protocols,classical_mechanisms,pqc_mechanisms,migration_status,summary,related_standards,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason,learn_module_id,playground_tools,mechanism_refs
Aerospace / Aviation,aero-avionics-pki,Avionics & flight-system authentication,Cpu,x509,RSA;ECDSA,ML-DSA,none,"Aircraft avionics rely on RSA/ECDSA PKI (ARINC 664 networks, flight management systems) with 30–40-year service lives and no practical mid-life crypto retrofit path (RTCA DO-326A/DO-356A airworthiness security processes).",,ICAO Assembly Resolution A41-19,https://www.icao.int/sites/default/files/sp-files/aviationcybersecurity/Documents/A41-19.pdf,icao,threats/AERO-003.pdf,no,ICAO,0.85,2026-07-29,active,,,aerospace-pqc,pki-workshop;hybrid-certs;cert-capacity,RFC 5280;RFC 9881
Aerospace / Aviation,aero-satcom,Satellite communications & ground links,Satellite,ike-ipsec;tls-1-3,RSA;ECDSA;ECDH,ML-KEM;ML-DSA,pilot,Military and commercial satellite uplinks/downlinks use RSA/ECDSA with 15–25-year operational lifespans; NSA CNSA 2.0 mandates quantum-resistant algorithms for national-security space systems by 2033.,CNSA-2.0,NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,threats/AERO-002.pdf,yes,ISO,0.85,2026-07-29,active,,,aerospace-pqc,vpn-sim;tls-simulator;openssl-studio,IETF RFC 7296;draft-ietf-ipsecme-ikev2-pqc-auth-08;RFC 8784;draft-ietf-tls-ecdhe-mlkem-05
Aerospace / Aviation,aero-atc-datalink,Air-traffic control data links (ADS-B/ACARS),Radio,,ECDSA;ECDH,ML-KEM,none,ADS-B broadcasts are unauthenticated and ACARS messaging uses legacy RSA-based protection; ICAO Assembly Resolution A41-19 frames the aviation cybersecurity obligations these links fall under.,,ICAO Assembly Resolution A41-19,https://www.icao.int/sites/default/files/sp-files/aviationcybersecurity/Documents/A41-19.pdf,icao,threats/AERO-003.pdf,no,ICAO,0.85,2026-08-13,active,,,aerospace-pqc,cert-capacity,IACR-2024-046-Aviation-Quantum-Secure
Automotive / Connected Vehicles,auto-v2x,V2X message signing (IEEE 1609.2),Antenna,x509,ECDSA,ML-DSA,draft,Vehicle-to-everything messages are signed with ECDSA P-256 under IEEE 1609.2 certificate hierarchies; a PQC amendment for V2X is in progress while ISO/SAE 21434 governs the vehicle cybersecurity lifecycle.,,ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,iso-iec-sc27,threats/AUTO-001.html,yes,ISO,0.85,2026-07-29,active,,,automotive-pqc,pki-workshop;cert-capacity;hybrid-certs,RFC 9881
Automotive / Connected Vehicles,auto-secure-boot,ECU secure boot & OTA update signing,ShieldCheck,uefi,RSA;ECDSA,ML-DSA;LMS,draft,ECU firmware verification and over-the-air update signing chains use RSA/ECDSA today; hash-based (LMS) and ML-DSA signing are the candidate replacements for long-lived vehicle platforms whose cybersecurity lifecycle ISO/SAE 21434 governs.,,ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,iso-iec-sc27,threats/AUTO-001.html,yes,ISO,0.85,2026-08-13,active,,,automotive-pqc,firmware-signing;lms-hss;sbx-firmware-hss,UEFI-SPEC-2.10-SecureBoot;NIST SP 800-208;FIPS 204
Automotive / Connected Vehicles,auto-telematics,Telematics & connected-car cloud APIs,Smartphone,tls-1-3;tls-1-2,RSA;ECDSA;ECDH;X25519,ML-KEM,production,Connected-car telematics and OTA delivery ride on TLS where hybrid ML-KEM key establishment is already deployable; UNECE R155/R156 make cybersecurity and software-update management type-approval requirements.,,UNECE WP.29 Regulations R155/R156,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A42021X0387,unece,threats/AUTO-003.html,no,,0.85,2026-07-29,active,,,automotive-pqc,tls-simulator;openssl-studio;sbx-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Automotive / Connected Vehicles,auto-invehicle,In-vehicle networks & HSM key storage,Cpu,macsec,ECDH;ECDSA,,none,"In-vehicle Ethernet security, CAN authentication, and automotive HSM key storage rely on classical ECC with no deployed PQC path yet.",,ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,iso-iec-sc27,threats/AUTO-004.html,yes,ISO,0.85,2026-08-13,active,,,automotive-pqc,kdf-derivation;hsm-capacity,AUTOSAR-CP-SWS-CryptoDriver-R23-11
Cloud Computing / Data Centers,cloud-kms,Cloud KMS / BYOK key wrapping,KeyRound,kmip;pkcs11,RSA;ECDH,ML-KEM,draft,"Cloud key-management services, BYOK/HYOK import, and secrets management wrap keys under RSA/ECDH; KEM-based wrapping is arriving through PKCS#11 v3.2 and KMIP profile work.",KMIP-2.1,Cloud Security Alliance — A Practitioner's Guide to Post-Quantum Cryptography,https://cloudsecurityalliance.org/artifacts/a-practitioners-guide-to-post-quantum-cryptography,csa-cloud,threats/CLOUD-002.html,no,Cloud Security Alliance,0.85,2026-08-13,active,,,kms-pqc,envelope-encrypt;cacp-kmip;sbx-cloud-kms,KMIP-V2-1-OASIS;FIPS 203
Cloud Computing / Data Centers,cloud-tenant-tls,Tenant-facing TLS & API endpoints,Globe,tls-1-3,RSA;ECDSA;ECDH;X25519,ML-KEM,production,"Hyperscaler front doors terminate TLS for tenant workloads; hybrid X25519+ML-KEM key establishment is in production across major clouds, and NIST IR 8547 frames the federal transition expectations.",NIST-IR-8547,NIST IR 8547 / NIST SP 800-210,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,nist-csrc,threats/CLOUD-003.pdf,yes,NIST,0.85,2026-07-29,active,,,kms-pqc,tls-simulator;sbx-tls;sbx-browser-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Cloud Computing / Data Centers,cloud-hsm-roots,Cloud HSM root keys & FIPS modules,Server,pkcs11,RSA;ECDSA,ML-KEM;ML-DSA,pilot,"Cloud HSM root keys, tenant isolation keys, and FIPS 140-3 module boundaries anchor on RSA/ECDSA; PQC key types are entering validated modules (NIST SP 800-210 covers cloud access-control expectations).",,NIST SP 800-210 Cloud Access Control,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-210.pdf,nist-csrc,threats/CLOUD-004.pdf,yes,NIST,0.85,2026-07-29,active,,,kms-pqc,hsm-capacity;token-migration;sbx-hsm-perf-bench,PKCS11-V32-OS-OASIS
Cloud Computing / Data Centers,cloud-backup,Backup & disaster-recovery encryption,Database,tls-1-2,RSA;ECDH,ML-KEM,none,"Backup key wrapping, archival storage TLS, and cross-region replication carry harvest-now-decrypt-later exposure because archived ciphertext outlives the classical keys protecting it.",,Cloud Security Alliance — A Practitioner's Guide to Post-Quantum Cryptography,https://cloudsecurityalliance.org/artifacts/a-practitioners-guide-to-post-quantum-cryptography,csa-cloud,threats/CLOUD-001.html,no,Cloud Security Alliance,0.85,2026-08-13,active,,,kms-pqc,envelope-encrypt;sbx-sops,RFC 9151;FIPS 203
Critical Infrastructure / Energy,energy-scada,SCADA & substation automation (IEC 61850/62351),Factory,tls-1-2,RSA;ECDSA;ECDH,,none,"Power-system communications secured per IEC 62351 (RSA-based SCADA authentication, ECDSA in IEC 61850 GOOSE/MMS, DNP3 Secure Authentication) have no standardized PQC profile yet.",,IEC 62351-3/-5/-9 (Power Systems Security),https://webstore.iec.ch/publication/6912,iec,threats/ENERGY-001.html,no,,0.85,2026-08-13,active,,,energy-utilities-pqc,tls-simulator;openssl-studio,RFC 9151
