industry,standard_id,standard_label,standards_body,library_ref,mechanisms_referenced,evidence_type,pqc_readiness,use_case_ids,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason
Cross-Industry,RFC-8446,TLS 1.3,IETF,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1,ECDH;X25519;RSA;ECDSA,standard,in-progress,cross-web-tls,The Transport Layer Security (TLS) Protocol Version 1.3,https://www.rfc-editor.org/rfc/rfc8446.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Cross-Industry,RFC-5280,X.509 PKI certificate & CRL profile,IETF,RFC 5280,RSA,standard,in-progress,cross-pki,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,https://www.rfc-editor.org/rfc/rfc5280.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Cross-Industry,RFC-8551,S/MIME 4.0 message specification,IETF,RFC 8551,RSA;ECDSA;ECDH,standard,in-progress,cross-email,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Message Specification,https://www.rfc-editor.org/rfc/rfc8551.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Cross-Industry,FIPS-203,ML-KEM (FIPS 203),NIST,FIPS 203,ML-KEM,standard,published,cross-web-tls;cross-vpn,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,FIPS-204,ML-DSA (FIPS 204),NIST,FIPS 204,ML-DSA,standard,published,cross-pki;cross-code-signing,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,FIPS-205,SLH-DSA (FIPS 205),NIST,FIPS 205,SLH-DSA,standard,published,cross-code-signing,Stateless Hash-Based Digital Signature Standard (SLH-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,FIPS-206,"FN-DSA (FIPS 206, draft)",NIST,FIPS 206,FN-DSA,standard,in-progress,,FFT over NTRU-Lattice-Based Digital Signature Algorithm (FN-DSA),https://csrc.nist.gov/projects/post-quantum-cryptography,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,NIST-SP-800-227,Recommendations for KEMs,NIST,NIST SP 800-227,ML-KEM,standard,published,cross-vpn,Recommendations for Key-Encapsulation Mechanisms,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,NIST-IR-8547,Transition to PQC standards (IPD),NIST,NIST IR 8547,RSA;ECDSA;ECDH;ML-KEM;ML-DSA;SLH-DSA,standard,in-progress,cross-web-tls;cross-pki,Transition to Post-Quantum Cryptography Standards,https://csrc.nist.gov/pubs/ir/8547/ipd,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,RFC-9364,DNSSEC (BCP 237),IETF,RFC 9364,RSA;ECDSA,standard,in-progress,,DNS Security Extensions (DNSSEC) — BCP 237,https://datatracker.ietf.org/doc/html/rfc9364,ietf,,yes,IETF,0.9,2026-07-29,active,,
