patent_number,title,inventors,assignee,priority_date,issue_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason,citation_graph_flag,pqc_migration_score_flag,dates_verified_iso8601,date_stamp,filing_date,status,deprecated_at,deprecated_reason
12676741,"Key exchange system, hub apparatus, QKD apparatus, method, and program",Kiyomura; Yutaro et al.,"NTT, Inc.",2022-05-11,2026-07-07,H04L9/0855;H04L9/085;H04L9/0858;H04L9/0869,"A key exchange system using QKD apparatuses and hub apparatuses where hubs generate encryption keys from random numbers and QKD correction keys, concealing key information from potentially unreliable QKD devices.","The invention provides a key exchange system where hub apparatuses generate encryption keys based on random number information and correction keys received from QKD apparatuses. The QKD apparatuses execute a QKD protocol on encrypted random number information, thereby concealing the actual key material from the QKD devices to ensure security even if the QKD apparatuses are unreliable.",hybrid,none,core_invention,"Quantum Key Distribution (QKD) is central to the invention, appearing in independent claims 1, 4, and 6. The system relies on QKD apparatuses executing a QKD protocol (specifically BB84) to generate correction keys. The primary invention is a method to secure key exchange using QKD while protecting key information from the QKD devices themselves.",BB84,,NTRU,qkd,generation; exchange; distribution,quantum-source,,,insider,TRNG,symmetric-cipher; KEM,telecom,key exchange system; hub apparatus; QKD apparatus,,session-keys,,US20060212936; US20070140495; US20080147820; US20120314867; US20150036824; US20170264433; US20170338952; US20200322141; US20220209943,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""key exchange system""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""key exchange system""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""key exchange system""}, {""claim"": 4, ""depends_on"": [], ""subject"": ""hub apparatus""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""non-transitory computer-readable recording medium""}, {""claim"": 6, ""depends_on"": [], ""subject"": ""QKD apparatus""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""non-transitory computer-readable recording medium""}]",[],2,"Focuses on QKD hardware, lacking NIST PQC algorithms or migration strategies for classical crypto.",citations_present:9,low_pqc_relevance,yes,2026-07-07,,active,,
12676758,Securely providing data from a source entity for training a model of a model entity,Barcewicz; Krzysztof et al.,Marvell Asia Pte Ltd,2024-07-31,2026-07-07,H04L9/3247,"A system for securely providing training data to a model entity by transforming data, signing it with quantum-resistant algorithms using specialized hardware, and verifying signatures before training.",The invention provides a method and system for securing AI training data against poisoning by transforming unprepared data into prepared units and generating signature objects using a signing module with specialized circuitry for accelerating quantum-resistant operations. The model entity verifies these signatures using a verification module with similar specialized circuitry before providing the data to a trainer module via a secure communication channel.,pqc_only,none,core_invention,"Quantum-resistant operations are central to the invention, appearing in independent claims (e.g., claim 11, 27) which require the signing module to comprise specialized circuitry configured for accelerating at least one quantum-resistant computational operation. The primary invention relies on this hardware acceleration for PQC algorithms to secure training data.",,SHA-3,Dilithium; Falcon; SPHINCS+; LMS; XMSS; HSS,none,generation; storage,HSM; FPGA; ASIC; SoC; GPU; CPU; TPU; DPU; NPU,,,MITM; insider; data-poisoning,,signature; hash,cloud; AI,method for securely providing data; system for securely providing data; system for securely receiving data,HW-accel; latency; throughput,training-data,,US11323258; US12562179,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for securely providing data""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""transmitting over communication channels""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""routed through intermediate entities""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""storing at storage medium""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""verifying before storing""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""signing module with specialized circuitry""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""verification module with specialized circuitry""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""data configuration instructions comprise hardware config""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""data configuration instructions comprise development environment""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""secure channel is wired/wireless""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""system for securely providing data""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""signing module with specialized circuitry""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""verification module with specialized circuitry""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""data configuration instructions comprise hardware config""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""data configuration instructions comprise development environment""}, {""claim"": 16, ""depends_on"": [11], ""subject"": ""secure channel is wired/wireless""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""system for securely receiving data""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""verification module with specialized circuitry""}, {""claim"": 19, ""depends_on"": [17], ""subject"": ""data configuration instructions comprise hardware config""}, {""claim"": 20, ""depends_on"": [17], ""subject"": ""data configuration instructions comprise development environment""}, {""claim"": 21, ""depends_on"": [17], ""subject"": ""secure channel is wired/wireless""}, {""claim"": 22, ""depends_on"": [], ""subject"": ""system comprising storage medium, source entity, model entity""}, {""claim"": 23, ""depends_on"": [22], ""subject"": ""signing module with specialized circuitry""}, {""claim"": 24, ""depends_on"": [22], ""subject"": ""verification module with specialized circuitry""}, {""claim"": 25, ""depends_on"": [22], ""subject"": ""secure channel is wired/wireless""}, {""claim"": 26, ""depends_on"": [22], ""subject"": ""source entity prepares multiple packages""}, {""claim"": 27, ""depends_on"": [], ""subject"": ""system for securely providing data with specialized circuitry""}, {""claim"": 28, ""depends_on"": [27], ""subject"": ""quantum resistant operation is PQC algorithm""}, {""claim"": 29, ""depends_on"": [27], ""subject"": ""circuitry accelerates modular exponentiation, elliptical curve, polynomial mult, Keccak""}, {""claim"": 30, ""depends_on"": [27], ""subject"": ""signature object generated using hash function""}, {""claim"": 31, ""depends_on"": [27], ""subject"": ""data configuration instructions comprise hardware config""}, {""claim"": 32, ""depends_on"": [27], ""subject"": ""data configuration instructions comprise development environment""}, {""claim"": 33, ""depends_on"": [27], ""subject"": ""secure channel is wired/wireless""}, {""claim"": 34, ""depends_on"": [27], ""subject"": ""signing and verification modules share architecture""}, {""claim"": 35, ""depends_on"": [27], ""subject"": ""secure channel is wired connection""}, {""claim"": 36, ""depends_on"": [35], ""subject"": ""wired connection is PCIe""}, {""claim"": 37, ""depends_on"": [27], ""subject"": ""secure channel is wireless private network""}, {""claim"": 38, ""depends_on"": [27], ""subject"": ""trainer module hardware config includes GPUs""}, {""claim"": 39, ""depends_on"": [27], ""subject"": ""trainer module hardware config includes CPUs""}, {""claim"": 40, ""depends_on"": [27], ""subject"": ""data config based on model configuration""}, {""claim"": 41, ""depends_on"": [27], ""subject"": ""data config based on ML framework""}, {""claim"": 42, ""depends_on"": [27], ""subject"": ""data config based on development environment""}]","[{""algorithm"": ""Dilithium"", ""status"": ""fips_204""}, {""algorithm"": ""Falcon"", ""status"": ""fips_204""}, {""algorithm"": ""SPHINCS+"", ""status"": ""fips_205""}, {""algorithm"": ""LMS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""XMSS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""HSS"", ""status"": ""stateful_hash_standard""}]",1,"CPC H04L9/3247 indicates classical encryption; no PQC, hybrid, or migration signals present.",citations_present:2,low_pqc_relevance,yes,2026-07-07,,active,,
20260189410,"SILICON-LEVEL HARDWARE ENFORCEMENT SYSTEM FOR LOW-LATENCY STEM CELL AI WITH HARDWARE-ANCHORED SAFETY CONSTRAINTS, MULTIMODAL FUSION, AND SUB-SECOND REVOCATION","Bickerstaff, III; George William","Bickerstaff, III; George William",2026-02-21,2026-07-02,H04L9/3278;H04L9/008;H04L9/0637;H04L9/0891;H04L9/3231;H04L9/50,"A silicon-anchored hardware enforcement system cryptographically gates AI execution for stem cell therapy using PUF-derived keys, FPGA-based safety predicates, and sub-second distributed revocation protocols.","The invention provides a silicon-anchored execution system where AI model weights are encrypted and decryptable only via PUF-derived session keys bound to specific hardware, preventing unauthorized execution. It integrates FPGA-implemented predicate logic to evaluate biological safety conditions at sub-millisecond latency and an ASIC-based nullification circuit to irreversibly suppress outputs violating safety thresholds.",classical_only,none,none,none,TLS; gossip,AES-256-GCM; SHA-3-256,,none,generation; derivation; storage; destruction,HSM; FPGA; ASIC; TEE; PUF,possession,NIST,side-channel; replay; insider; model-extraction,TRNG,symmetric-cipher; hash; MAC,healthcare; blockchain,silicon-anchored execution system; hardware-executed biological validation system; distributed revocation system,latency; HW-accel,PHI; genomic; model-weights,HIPAA; GDPR; FDA 21 CFR Part 11; EU AI Act,,[],[],1,"Focuses on AI safety and hardware enforcement, lacking any PQC algorithms or migration relevance.",no_citations_recorded,low_pqc_relevance,yes,2026-07-07,,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
20260189535,Hybrid Cryptography Virtual Private Networks,Pabijanskas; Karolis et al.,UAB 360 IT,2026-02-23,2026-07-02,H04L63/0272;H04L63/029;H04L9/0618;H04L9/3073;H04L9/32,"A method for securing VPN pre-shared key exchange using hybrid cryptography, sequentially encrypting the PSK with short-term quantum-resistant and classical public keys.",The invention provides a method for securely exchanging a pre-shared key (PSK) in a VPN by sequentially encrypting the PSK. The PSK is first encrypted using a short-term quantum-resistant public key and then the resulting ciphertext is encrypted using a short-term classical public key.,hybrid,hybrid,core_invention,"Quantum-resistant cryptography (specifically Kyber) is central to the independent claims, which require receiving a short-term quantum-resistant public key and using it to encrypt the PSK. The invention is a hybrid scheme combining PQC with classical cryptography.",IKEv2; OpenVPN; L2TP/IPSec; PPTP; SSTP; WireGuard; TLS,X25519; ECDH; RSA; DSA; ECDSA; Diffie-Hellman; AES,Kyber,quantum_computing,generation; exchange; distribution; storage,,possession,NIST Post-Quantum Cryptography Standardization,quantum-attack; brute-force,,KEM; symmetric-cipher,cloud; telecom,method for receiving keys and sequentially encrypting a PSK; system for receiving keys and sequentially encrypting a PSK,,session-keys,,US12603863; US12010102,[],"[{""algorithm"": ""Kyber"", ""status"": ""fips_203""}]",6,"Title implies hybrid crypto for VPNs, a key PQC migration vector, but lacks explicit NIST PQC algorithm references.",citations_present:2,medium_pqc_relevance,yes,2026-07-07,,active,,
12670267,Ciphertext hybrid operation method and device,Li; Yiran et al.,Cloud Intelligence Assets Holding (Singapore) Private Limited,2023-03-02,2026-06-30,G06F21/602;H04L9/14;H04L9/32,"A method for hybrid operations on ciphertexts of different types by determining a target ciphertext type based on a multi-level conversion relationship, decrypting operands, converting them to the target type, and performing the operation.","The invention introduces a multi-level ciphertext conversion relationship to manage hybrid operations on ciphertexts of different types. It determines a target ciphertext type located in paths between operand types and a highest-level type, decrypts operands, converts them to the target type, and performs the operation.",unclear,none,none,none,,,,none,,,,,,,,cloud,ciphertext hybrid operation method; ciphertext hybrid operation apparatus; computer-readable storage medium,efficiency,,,US20170126638; US20190087354; US20220078194; US20220083374,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""ciphertext hybrid operation method""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""ciphertext hybrid operation apparatus""}, {""claim"": 3, ""depends_on"": [], ""subject"": ""computer-readable storage medium""}, {""claim"": 4, ""depends_on"": [], ""subject"": ""electronic device""}]",[],6,"Title implies hybrid crypto, likely PQC-classical, but lacks explicit NIST algorithm references.",citations_present:4,medium_pqc_relevance,yes,2026-07-07,,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
20260180789,PQC ADAPTATION FOR 6G AKA PROCEDURE,MAVUREDDI DHANASEKARAN; Ranganathan et al.,Nokia Technologies Oy,2025-12-08,2026-06-25,H04L9/0825;H04L9/006;H04L9/3073,Methods and apparatus for enhancing 6G Authentication and Key Agreement procedures using post-quantum cryptography via pre-shared keys or key encapsulation mechanisms.,The invention provides a method for 6G AKA where user equipment and network entities use pre-shared post-quantum keys or PQC-based public/private key pairs to derive authentication tokens and shared secrets. It enables mutual authentication and key generation resistant to quantum attacks by integrating PQC primitives into standard 5G/6G core network signaling.,hybrid,in_place_upgrade,core_invention,"Post-quantum cryptography is central to the independent claims, which define apparatuses using PQC keys (PPK or KEM) for 6G AKA. The invention is designed specifically to provide quantum-resistant authentication.",AKA; 5G AKA; 6G AKA,,KEM,none,generation; derivation; exchange; distribution; storage,mobile; IoT,possession,3GPP TS 33.501 Rel-19,quantum-attack,,KEM; hash; MAC,telecom,apparatus for PPK-based AKA; apparatus for PQC KEM-based AKA,,session-keys; root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""apparatus using pre-shared post quantum key (PPK) for AKA""}, {""claim"": 2, ""depends_on"": [], ""subject"": ""apparatus using list of pre-shared post quantum keys (PPKs) for AKA""}, {""claim"": 3, ""depends_on"": [], ""subject"": ""apparatus computing enhanced response (RES*) using PPK""}, {""claim"": 4, ""depends_on"": [], ""subject"": ""apparatus computing enhanced response (RES*) using selected PPK from list""}, {""claim"": 5, ""depends_on"": [], ""subject"": ""apparatus using PQC key generation function for pk/sk in AKA""}, {""claim"": 6, ""depends_on"": [], ""subject"": ""apparatus using PQC KEM for NAS security mode command""}, {""claim"": 7, ""depends_on"": [], ""subject"": ""apparatus deriving AMF PQC key via concatenation""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""apparatus deriving gNB PQC key via concatenation""}]",[],9,"Directly addresses PQC migration in 6G AKA, a critical protocol for telecom security and HNDL mitigation.",no_citations_recorded,high_pqc_relevance,yes,2026-07-07,,active,,
20260178754,PROXY INTERCEPTION AND DOUBLE ENCRYPTION SYSTEM AND METHODS,TRINIDAD; CHRISTOPHER L. et al.,"QuSecure, Inc.",2022-12-29,2026-06-25,H04L9/0852;G06F21/602;G06F21/606;H04L9/0891,A system using a browser-based service worker to initiate a proxy that intercepts messages and performs double encryption using post-quantum cryptography within a secure virtualized environment.,"The invention provides a method for enabling custom cryptography by sending instructions to a client device to initiate a proxy via a service worker. This proxy intercepts user agent messages and performs post-quantum encryption or decryption within a secure virtualized environment, such as a sandboxed VM, to modify the message before forwarding it.",pqc_only,in_place_upgrade,core_invention,"Post-quantum cryptography is central to the independent claims, which describe performing custom cryptography that may comprise post-quantum cryptography. Specific algorithms like Kyber and SABER are listed in dependent claims. A Quantum Random Number Generator is listed as a hardware component in the system description.",TLS; HTTPS; HTTP; QSL; PQTLS,,Kyber; SABER; Enhanced McEliece; RLCE,qrng,,HSM; QRNG,,NIST,quantum-attack,QRNG,symmetric-cipher; KEM,cloud,method of custom cryptography; computing system configured to perform custom cryptography; method of enabling custom cryptography,,,,,[],"[{""algorithm"": ""Kyber"", ""status"": ""fips_203""}, {""algorithm"": ""SABER"", ""status"": ""withdrawn""}, {""algorithm"": ""Enhanced McEliece"", ""status"": ""round4_candidate""}, {""algorithm"": ""RLCE"", ""status"": ""round4_candidate""}]",2,Focuses on classical proxy encryption without explicit PQC algorithms or migration strategies.,no_citations_recorded,low_pqc_relevance,yes,2026-07-07,,active,,
20260180803,PQC ADAPTATION FOR 6G AKA PROCEDURE,MAVUREDDI DHANASEKARAN; Ranganathan et al.,Nokia Technologies Oy,2025-12-08,2026-06-25,H04L9/3213;H04L9/0852;H04L9/3242,"Methods and apparatus for enhancing 6G Authentication and Key Agreement procedures using post-quantum cryptography, including pre-shared keys and KEM-based key derivation for network entities.","The invention provides a method for 6G AKA where user equipment and network entities utilize post-quantum cryptography for authentication. This involves using pre-shared post-quantum keys or generating PQC key pairs to derive authentication vectors and shared secrets, ensuring quantum-resistant security during registration and key agreement.",hybrid,in_place_upgrade,core_invention,"Post-quantum cryptography is central to the independent claims, defining the use of PQC keys (PPK or KEM) for 6G AKA procedures. The invention is specifically designed to provide quantum-resistant authentication.",AKA; NAS; AS,,KEM,none,generation; derivation; exchange; distribution; storage,mobile; IoT,possession,3GPP TS 33.501 Rel-19,quantum-attack,,KEM; hash; MAC,telecom,apparatus for PPK-based AKA; apparatus for PQC KEM-based AKA,,session-keys; root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""apparatus using PPK for AKA""}, {""claim"": 2, ""depends_on"": [], ""subject"": ""apparatus using list of PPKs for AKA""}, {""claim"": 3, ""depends_on"": [], ""subject"": ""apparatus computing RES* with PPK""}, {""claim"": 4, ""depends_on"": [], ""subject"": ""apparatus computing RES* with selected PPK""}, {""claim"": 5, ""depends_on"": [], ""subject"": ""apparatus using PQC KEM pk/sk for AKA""}, {""claim"": 6, ""depends_on"": [], ""subject"": ""apparatus using PQC KEM for NAS SMC""}, {""claim"": 7, ""depends_on"": [], ""subject"": ""apparatus using PQC KEM for AMF key""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""apparatus using PQC KEM for gNB key""}]",[],9,"Directly addresses PQC migration in 6G AKA, a critical protocol for telecom security and HNDL mitigation.",no_citations_recorded,high_pqc_relevance,yes,2026-07-07,,active,,
20260179776,HARDWARE-SECURED FEDERATED AI PLATFORM FOR MULTIMODAL NEURODEGENERATIVE RISK PREDICTION AND ADAPTIVE GOVERNANCE,"Bickerstaff, III; George William","Bickerstaff, III; George William",2026-02-17,2026-06-25,G16H50/20;G06F21/57;H04L9/3278,"A hardware-secured federated AI platform for neurodegenerative risk prediction using HSM-bound identity tokens, encrypted model weights, and predicate-constrained fusion lattices.",The invention provides a system where AI model weights are stored encrypted and only decrypted within a Trusted Execution Environment upon validation of a hardware-bound Sovereign Identity Token. It utilizes a Predicate-Driven Fusion Lattice to align multimodal data and enforce biological constraints at the hardware level to ensure clinical safety.,classical_only,none,none,none,TLS; OAuth; RESTful; FHIR,AES-256; SHA-256; HMAC; Elliptic Curve Cryptography,,none,generation; derivation; storage; destruction,HSM; TEE; PUF,possession,HIPAA; FHIR,side-channel; insider; tampering; unauthorized_execution,TRNG,symmetric-cipher; signature; MAC; hash,healthcare; blockchain,"hardware-secured system for neurodegenerative risk prediction; method for secure, decentralized neurodegenerative assessment; non-transitory computer-readable medium",latency; resilience,PHI; genomic; imaging; behavioral; model-weights,HIPAA,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""hardware-secured system for neurodegenerative risk prediction""}, {""claim"": 2, ""depends_on"": [], ""subject"": ""method for secure, decentralized neurodegenerative assessment""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""non-transitory computer-readable medium""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""Sovereign Identity Token bound via PUF""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""Predicate-Logic Gate nullifies risk scores""}, {""claim"": 6, ""depends_on"": [2], ""subject"": ""recording model adaptation on Provenance Ledger""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""execution control resistant to bypass""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""Predicate-Logic Gate triggers Conflict Audit""}, {""claim"": 9, ""depends_on"": [2], ""subject"": ""re-validation via quorum consensus""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""fusion lattice applies hardware-verified attention mask""}, {""claim"": 11, ""depends_on"": [2], ""subject"": ""Swarm Propagation Protocol state recovery""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""differential privacy on gradients""}, {""claim"": 13, ""depends_on"": [2], ""subject"": ""baseline updates use quantile mapping""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""APIs conform to FHIR""}, {""claim"": 15, ""depends_on"": [2], ""subject"": ""outputs include Stakeholder Alignment Indices""}, {""claim"": 16, ""depends_on"": [1], ""subject"": ""resilience metrics evaluate swarm stability""}, {""claim"": 17, ""depends_on"": [2], ""subject"": ""predicate rules filter environmental noise""}, {""claim"": 18, ""depends_on"": [1], ""subject"": ""visualization interface includes trajectory graphs""}, {""claim"": 19, ""depends_on"": [1], ""subject"": ""session-specific decryption key erased on power cycle""}]",[],1,"Focuses on AI and general security; lacks any PQC algorithms, migration strategies, or quantum threat mitigation.",no_citations_recorded,low_pqc_relevance,yes,2026-07-07,,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
20260180790,MULTI-ALGORITHM BOOTSTRAPPING,Holmes; Stephen et al.,ARQIT LIMITED,2023-12-11,2026-06-25,H04L9/0838;H04L9/14;H04L9/0816;H04L9/0822;H04L9/085;H04L9/0852;H04L9/16;H04L63/061,A method for agreeing a final symmetric bootstrap key by combining outputs from a plurality of diverse key exchange algorithms or key encapsulation mechanisms using a configurable combination scheme.,"The invention provides a method for agreeing a final symmetric key by retrieving a plurality of different key exchange algorithms or key encapsulation mechanisms and agreeing a set of keys using them. The agreed set of keys is then used to obtain a final symmetric key according to a combination scheme that specifies how each key is used, such as Shamir's Secret Sharing, XOR, or sequential encryption.",hybrid,crypto_agility,background_only,"Quantum computing is mentioned in the background as a threat to classical algorithms (Shor's algorithm) and as a motivation for using post-quantum algorithms. Post-quantum algorithms are claimed as optional components of the plurality of algorithms (dependent claims). The invention itself is a classical cryptographic method for key agreement and does not utilize quantum technology (e.g., QKD) for its operation.",TLS,Diffie-Hellman; ECDH; SHA-3,Classic McEliece; Kyber; FrodoKEM,quantum_computing,generation; derivation; exchange; storage,HSM; TPM; mobile; server,,,MITM; quantum-attack,OS,KEM; hash; symmetric-cipher,cloud,method of agreeing a final symmetric key; system comprising first and second computer devices; computing device configured to communicate,key-size; parallelization,session-keys; root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of agreeing a final symmetric key""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""combination scheme is Shamir's Secret Sharing""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""combination scheme is XOR""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""combination scheme includes hash functions""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""combination scheme is sequential encryption""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""algorithms include classical cryptographic algorithms""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""algorithms include post-quantum cryptographic algorithms""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""retrieving a policy with parameters""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""agreeing or sending the policy""}, {""claim"": 10, ""depends_on"": [2], ""subject"": ""policy comprises SSS parameters""}, {""claim"": 11, ""depends_on"": [8], ""subject"": ""parameters set based on technical constraints""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""technical constraints include memory, processing, time, bandwidth""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""algorithms are diverse""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""selecting diverse algorithms""}, {""claim"": 15, ""depends_on"": [1], ""subject"": ""maintaining database of algorithms""}, {""claim"": 16, ""depends_on"": [1], ""subject"": ""retrieving algorithms based on diversity""}, {""claim"": 17, ""depends_on"": [1], ""subject"": ""final symmetric key is bootstrap, authentication, or data encryption key""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""system comprising first and second computer devices""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""first device is server, second is user terminal""}, {""claim"": 20, ""depends_on"": [], ""subject"": ""computing device configured to communicate""}]","[{""algorithm"": ""Kyber"", ""status"": ""fips_203""}, {""algorithm"": ""Classic McEliece"", ""status"": ""fips_203""}, {""algorithm"": ""FrodoKEM"", ""status"": ""withdrawn""}, {""algorithm"": ""Diffie-Hellman"", ""status"": ""classical""}, {""algorithm"": ""ECDH"", ""status"": ""classical""}, {""algorithm"": ""SHA-3"", ""status"": ""classical""}]",9,"Arqit's multi-algorithm bootstrapping enables crypto agility and hybrid PQC migration, directly addressing HNDL threats.",no_citations_recorded,high_pqc_relevance,yes,2026-07-07,,active,,
