Name,Country,Role,Organization,Type,Category,Contribution,ImageUrl,WebsiteUrl,LinkedinUrl,KeyResourceRefs,KeyResourceUrls,trusted_source_id,peer_reviewed,vetting_body,data_quality_notes,status,deprecated_at,deprecated_reason,KeyResourceUrl,verified_date,PatentRefs,PatentUrls,MigrateCatalogRefs,MigrateCatalogUrls
Jérôme Notin,France,CEO,GIP ACYMA (cybermalveillance.gouv.fr),Public,Government,CEO of GIP ACYMA which operates cybermalveillance.gouv.fr; leads France's national cyber victim assistance platform; promotes quantum-safe awareness for SMEs and individuals.,https://ui-avatars.com/api/?name=Jerome+Notin&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.cybermalveillance.gouv.fr/,https://www.linkedin.com/in/jeromenotin/,ANSSI PQC Position Paper;ANSSI-PQC-FAQ-2025,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition; https://cyber.gouv.fr/publications/avis-de-lanssi-sur-la-migration-vers-la-cryptographie-post-quantique-0,gip-acyma,partial,GIP ACYMA (cybermalveillance.gouv.fr),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: Directeur Général (Director General) of GIP ACYMA / cybermalveillance.gouv.fr since March 2017 confirmed via the platform's own site and independent French press. 'CEO' is a reasonable English translation of the French title.,active,,,,2026-07-17,,,,
Andrei Gurtov,Sweden,Full Professor,Linköping University,Academic,Standards,Full Professor at Linköping University and adjunct professor at Aalto University and University of Helsinki; research in network security and PQC protocol design; contributes to quantum-safe communications standards.,https://ui-avatars.com/api/?name=Andrei+Gurtov&background=0b0d17&color=60a5fa&size=128&bold=true,https://liu.se/,https://www.linkedin.com/in/andrei-gurtov-9386a21/,RFC 9370;RFC 8784,https://www.rfc-editor.org/rfc/rfc9370; https://www.rfc-editor.org/rfc/rfc8784,,yes,IETF,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.; Fixed stale KeyResourceRefs 2026-07-17 (audit-leaders-refs.ts UNRESOLVED_REF): 'IETF RFC 9370'/'IETF RFC 8784' were renamed to 'RFC 9370'/'RFC 8784' in the library CSV upstream; old ids left deprecated. | First verification 2026-07-17: Full Professor role at Linköping University and adjunct professorships at Aalto/Helsinki all reconfirmed via university and IEEE ComSoc bios.,active,,,,2026-07-17,,,,
Dr. Martin Albrecht,United Kingdom,Professor,King's College London;SandboxAQ,Academic,Industry Vendor,Professor of Cybersecurity and Chair of Cryptography at King's College London; Research Scientist at SandboxAQ; leading PQC cryptanalysis expert who broke several NIST PQC candidates during the standardization process.,https://ui-avatars.com/api/?name=Martin+Albrecht&background=0b0d17&color=a78bfa&size=128&bold=true,https://resquant.com/,https://www.linkedin.com/in/martin-albrecht-42a74b95/,FIPS 203;FIPS 204;NIST IR 8413,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final; https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-csrc,partial,NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | source verified 2026-07-09 re-audit (wave2 leaders.md remediation),active,,,,2026-07-09,,,,
Dr. Scott Aaronson,United States,Professor,University of Texas Austin,Academic,Standards,Leading quantum computing theorist; contributes to understanding quantum threats to cryptography; authored 'Quantum Computing Since Democritus'.,https://ui-avatars.com/api/?name=Scott+Aaronson&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.scottaaronson.com/,https://www.linkedin.com/in/scott-aaronson-ab83933a0/,NIST IR 8105;GRI-Quantum-Threat-Timeline-2025,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8105.pdf; https://globalriskinstitute.org/publication/2025-quantum-threat-timeline-report/,nist-news,partial,ITU;NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | source verified 2026-07-09 re-audit (wave2 leaders.md remediation),active,,,,2026-07-09,,,,
Dr. Nadia Heninger,United States,Professor,UC San Diego,Academic,Algorithm Inventor,"Cryptanalysis expert at University of California, San Diego (UC San Diego) crypto group; discovered vulnerabilities in RSA and random number generation; PQC security analysis.",https://ui-avatars.com/api/?name=Nadia+Heninger&background=0b0d17&color=f59e0b&size=128&bold=true,https://cseweb.ucsd.edu/~nadiah/,https://www.linkedin.com/in/nadia-heninger-87578a5/,NIST IR 8105;NIST IR 8413,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8105.pdf; https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-news,partial,NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: current UC San Diego CSE professorship reconfirmed via her own faculty page; she returned to UCSD in 2019 after Penn and was named a 2026 IACR Fellow.,active,,,,2026-07-17,,,,
Dr. Emmanuelle Encrenaz,France,Associate Professor,Sorbonne Université (LIP6/CNRS),Academic,Standards,"Associate Professor (Maîtresse de Conférences) at Sorbonne Université, LIP6/CNRS, ALSOC team; research focus is hardware security -- side-channel (power analysis) attacks and formal verification of masked cryptographic implementations, published in TCHES/CHES (e.g. 'Blind-Folded: Simple Power Analysis Attacks', 'aLEAKator').",https://ui-avatars.com/api/?name=Emmanuelle+Encrenaz&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.lip6.fr/,https://www.linkedin.com/in/emmanuelle-encrenaz-34012b58/,ANSSI PQC Position Paper;NIST IR 8413,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition; https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,,partial,ANSSI;NIST,"FIELD CORRECTION (2026-07-17): Contribution corrected on two points -- (1) no evidence she sits on the PQCrypto steering committee (that fixed body is Bernstein, Buchmann, Crepeau, Ding, Gaborit, Lange, Micciancio, Mosca, Sendrier, Steinwandt, Takagi, Yang per PQCrypto conference proceedings front matter -- checked directly, she is not on it in any year); (2) her real research specialty is hardware/side-channel security, not 'algebraic and post-quantum cryptography' as originally claimed -- her IACR CryptoDB record shows no PQCrypto-conference papers. | Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.",active,,,,2026-07-17,,,,
Prof. Edoardo Persichetti,United States,Associate Professor,Florida Atlantic University,Academic,Standards,"Associate Professor at Florida Atlantic University; Director of the Center for Cryptology and Information Security; PQCrypto conference Program Committee member (confirmed for 2019, 2024, 2025); expert in code-based PQC algorithm development and lattice cryptography.",https://ui-avatars.com/api/?name=Edoardo+Persichetti&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.fau.edu/,https://www.linkedin.com/in/edoardo-persichetti-56a92a8b/,NIST IR 8545;NIST IR 8413,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-news,partial,NIST,"FIELD CORRECTION (2026-07-17): Contribution corrected -- he is a PQCrypto Program Committee member (confirmed across three years' CFPs), not a member of the PQCrypto steering committee, a separate, smaller, fixed standing body he does not appear on in any year checked. Same false-claim pattern found on the Emmanuelle Encrenaz row -- checked the rest of the dataset for the same 'PQCrypto steering committee' phrase, found nowhere else. | Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.",active,,,,2026-07-17,,,,
Dr. Dustin Moody,United States,PQC Standardization Lead,NIST,Public,Government,Led NIST's eight-year standardization effort; oversaw evaluation of 82 algorithms; directed finalization of FIPS 203/204/205 (Aug 2024); selected HQC (Mar 2025).,https://ui-avatars.com/api/?name=Dustin+Moody&background=0b0d17&color=22d3ee&size=128&bold=true,https://csrc.nist.gov/projects/post-quantum-cryptography,https://www.linkedin.com/in/dustin-moody-88410550/,NIST IR 8413;FIPS 203,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf; https://csrc.nist.gov/pubs/fips/203/final,nist-news,partial,NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: NIST PQC lead role and the FIPS 203/204/205 (Aug 2024) and HQC selection (Mar 2025) dates reconfirmed via NIST's own announcements.,active,,,,2026-07-17,,,,
Dr. Lily Chen,United States,NIST Fellow; Former Manager Cryptographic Technology Group,NIST,Public,Government,Co-architect of NIST's PQC standardization; co-authored foundational NISTIR 8105; 30+ years cryptography experience; leads NIST-ITU liaison.,https://ui-avatars.com/api/?name=Lily+Chen&background=0b0d17&color=22d3ee&size=128&bold=true,https://csrc.nist.gov/projects/post-quantum-cryptography/contact-info,https://www.linkedin.com/in/lily-lidong-chen-2666761/,FIPS 203;FIPS 204;FIPS 205,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final; https://csrc.nist.gov/pubs/fips/205/final,nist-csrc,yes,NIST,"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: NIST Fellow title and Cryptographic Technology Group Manager tenure (2012-2023) reconfirmed via her NIST bio; NISTIR 8105 co-authorship confirmed. | WebsiteUrl repointed 2026-08-09: nist.gov/people/lily-chen is a soft-404 (answers 200 with 'Page not found | NIST'). Repointed to the CSRC PQC project contact page, which is the NIST-hosted page that actually names her.",active,,,,2026-08-09,,,,
Ollie Whitehouse,United Kingdom,Chief Technology Officer,NCSC (UK),Public,Government,"First-ever NCSC CTO (Oct 2023); published three-phase PQC migration roadmap (Mar 2025) with 2035 deadline: identify by 2028, upgrade by 2031, complete by 2035; launched assured PQC consultancy scheme; endorsed NIST algorithms.",https://ui-avatars.com/api/?name=Ollie+Whitehouse&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.ncsc.gov.uk/,https://www.linkedin.com/in/olliewhitehouse/,UK NCSC PQC Guidance;UK-NCSC-Migration-Timelines-2025;UK-NCSC-PQC-Whitepaper-2024,https://www.ncsc.gov.uk/whitepaper/next-steps-preparing-for-post-quantum-cryptography; https://www.ncsc.gov.uk/guidance/pqc-migration-timelines; https://www.ncsc.gov.uk/whitepaper/next-steps-preparing-for-post-quantum-cryptography,ncsc-uk,partial,NCSC (UK),"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: first-ever NCSC CTO (Oct 2023) and the exact three-phase PQC migration roadmap dates (2028/2031/2035, published Mar 2025) reconfirmed via NCSC's own announcements.",active,,,,2026-07-17,,,,
