from_concept,to_concept,relationship_type,rationale_type,evidence,confidence,notes,extraction_source,extracted_at,review_status,reviewed_by,reviewed_date
NIST,FIPS 203,intersects_with,policy_reference,"""In August 2024, NIST released its principal PQC standards (as Federal Information Processing Standards, or FIPS)... FIPS 203 Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM)""",high,NIST is the issuing body for this standard.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
NIST,FIPS 204,intersects_with,policy_reference,"""In August 2024, NIST released its principal PQC standards (as Federal Information Processing Standards, or FIPS)... FIPS 204 Module-Lattice-Based Digital Signature Standard (ML-DSA)""",high,NIST is the issuing body for this standard.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
NIST,FIPS 205,intersects_with,policy_reference,"""In August 2024, NIST released its principal PQC standards (as Federal Information Processing Standards, or FIPS)... FIPS 205 Stateless Hash-Based Digital Signature Standard (SLH-DSA)""",high,NIST is the issuing body for this standard.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
NIST,United States:NIST,equivalent,equivalence,"""National Institute of Standards and Technology — US federal agency that standardized the first PQC algorithms""",high,"The compliance record ""NIST"" is the entity itself.",enrich-compliance-xwalk.py,2026-07-16,candidate,,
NIST,NIST IR 8547,intersects_with,timeline_anchor,"""Under the transition timeline in NIST IR 8547 , NIST will deprecate and ultimately remove quantum-vulnerable algorithms from its standards by 2035""",high,This document is explicitly cited as the source for the transition timeline.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
NIST,NIST IR 8545,intersects_with,policy_reference,"""NIST IR 8545, Status Report on the Fourth Round of the NIST Post-Quantum Cryptography Standardization Process is now available.""",high,Explicitly cited in the text as an available status report.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
FIPS-140-3,FIPS 140-3,equivalent,policy_reference,"""As of September 22, 2020, CMVP began validating cryptographic modules to Federal Information Processing Standard (FIPS) 140-3, Security Requirements for Cryptographic Modules.""",high,The compliance record is the validation program for this specific standard.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
FIPS-140-3,FIPS 140-2,intersects_with,timeline_anchor,"""CMVP accepted cryptographic module submissions to Federal Information Processing Standard (FIPS) 140-2... until March 31, 2022. As of April 1, 2022, the CMVP no longer accepted FIPS 140-2 submissions...""",high,FIPS 140-3 is the successor standard; the text defines the transition timeline between the two.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
FIPS-140-3,SP 800-140B,intersects_with,implementation_guidance,"""SP 800-140B: CMVP Security Policy Requirements""",high,"Listed under ""SP 800-140 Series Supplemental Information"" and linked to FIPS 140-3 resources.",enrich-compliance-xwalk.py,2026-07-16,candidate,,
FIPS-140-3,SP 800-140C,intersects_with,implementation_guidance,"""SP 800-140C: Approved Security Functions""",high,"Listed under ""SP 800-140 Series Supplemental Information"" and linked to FIPS 140-3 resources.",enrich-compliance-xwalk.py,2026-07-16,candidate,,
FIPS-140-3,SP 800-140D,intersects_with,implementation_guidance,"""SP 800-140D: Approved SSP Generation and Establishment Methods""",high,"Listed under ""SP 800-140 Series Supplemental Information"" and linked to FIPS 140-3 resources.",enrich-compliance-xwalk.py,2026-07-16,candidate,,
FIPS-140-3,SP 800-140Br1,intersects_with,implementation_guidance,"""the automated processing of SP 800-140Br1 formatted submissions will reduce the backlog in the validation process.""",high,Specific revision of SP 800-140B referenced for submission formatting.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
FIPS-140-3,CMVP FIPS 140-3 Management Manual,intersects_with,implementation_guidance,"""CMVP FIPS 140-3 Management Manual""",high,Listed as a specific resource link for the FIPS 140-3 validation program.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
FIPS-140-3,CMVP FIPS 140-3 Related References,intersects_with,implementation_guidance,"""CMVP FIPS 140-3 Related References""",high,Listed as a specific resource link for the FIPS 140-3 validation program.,enrich-compliance-xwalk.py,2026-07-16,candidate,,
