product_id,algorithm_name,implementation_name,software_name,implementation_type,implementation_url,verification_status,notes,implementation_url_quality,date_stamp,confidence_score
aigis-reference-implementation,Aigis-enc-L1,Aigis Reference (CACR 2020),Aigis Reference Implementation,Reference,https://github.com/pqcrypto-cn/Aigis,Verified,,url_authoritative,2026-05-06,30
pqmagic-shanghai-jiao-tong-university,Aigis-enc-L1,PQMagic (Shanghai Jiao Tong University),,Reference,https://github.com/pqcrypto-cn/PQMagic,Verified,,url_authoritative,2026-05-06,30
aigis-reference-implementation,Aigis-enc-L5,Aigis Reference (CACR 2020),Aigis Reference Implementation,Reference,https://github.com/pqcrypto-cn/Aigis,Verified,,url_authoritative,2026-05-06,30
pqmagic-shanghai-jiao-tong-university,Aigis-enc-L5,PQMagic (Shanghai Jiao Tong University),,Reference,https://github.com/pqcrypto-cn/PQMagic,Verified,,url_authoritative,2026-05-06,30
aigis-reference-implementation,Aigis-sig-L1,Aigis Reference (CACR 2020),Aigis Reference Implementation,Reference,https://github.com/pqcrypto-cn/Aigis,Verified,,url_authoritative,2026-05-06,30
pqmagic-shanghai-jiao-tong-university,Aigis-sig-L1,PQMagic (Shanghai Jiao Tong University),,Reference,https://github.com/pqcrypto-cn/PQMagic,Verified,,url_authoritative,2026-05-06,30
aigis-reference-implementation,Aigis-sig-L5,Aigis Reference (CACR 2020),Aigis Reference Implementation,Reference,https://github.com/pqcrypto-cn/Aigis,Verified,,url_authoritative,2026-05-06,30
pqmagic-shanghai-jiao-tong-university,Aigis-sig-L5,PQMagic (Shanghai Jiao Tong University),,Reference,https://github.com/pqcrypto-cn/PQMagic,Verified,,url_authoritative,2026-05-06,30
aimer-reference-implementation,AIMer-128f,AIMer Reference Implementation,AIMer Reference Implementation,Reference,https://github.com/aimergithub/aimer,Verified,,url_authoritative,2026-05-06,30
kpqclean-korean-reference,AIMer-128f,KpqClean (Korean reference),,Reference,https://github.com/kpqc-cryptocraft/KpqClean,Verified,,url_authoritative,2026-05-06,30
aimer-reference-implementation,AIMer-192f,AIMer Reference Implementation,AIMer Reference Implementation,Reference,https://github.com/aimergithub/aimer,Verified,,url_authoritative,2026-05-06,30
kpqclean-korean-reference,AIMer-192f,KpqClean (Korean reference),,Reference,https://github.com/kpqc-cryptocraft/KpqClean,Verified,,url_authoritative,2026-05-06,30
