id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website,local_file,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards,last_verified
NIST,NIST,National Institute of Standards and Technology — US federal agency that standardized the first PQC algorithms,92;52;54;62;22,US,yes,Ongoing,"NIST's PQC Standardization Project (launched 2016) selected ML-KEM (FIPS 203), ML-DSA (FIPS 204), and SLH-DSA (FIPS 205) as the first post-quantum standards, published August 2024. FN-DSA (FIPS 206) is not yet published as of 2026 (Falcon selected; draft pending). NIST IR 8547 defines the transition timeline: deprecate 112-bit classical asymmetric by 2030, disallow by 2035. NIST also runs CMVP (module validation) and CAVP (algorithm validation) programs that enforce these standards globally.",NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227;FIPS 206,United States:NIST,standardization_body,https://csrc.nist.gov/projects/post-quantum-cryptography,compliance/NIST.html,nist-csrc,yes,NIST,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:lifecycle,92;52;54;62;22,active,,,FIPS-203; FIPS-204; FIPS-205; NIST-IR-8547,
ENISA,ENISA,European Union Agency for Cybersecurity — EU's PQC guidance authority and EUCC scheme co-manager,92;54;52,PQC-REGION-EU,yes,Ongoing,ENISA published the landmark 2022 Post-Quantum Cryptography report and subsequent PQC guidelines adopted across EU member states. Co-manages the EUCC certification scheme with ECCG. Provides technical support for NIS2 implementation and coordinates EU-wide PQC migration readiness. ENISA's guidelines are the primary reference for EU organizations planning PQC transitions.,ENISA,ENISA PQC Guidelines;ENISA-Crypto-Market-Analysis-2024;ENISA-State-of-Cybersecurity-2024;ENISA-Threat-Landscape-2025,European Union:EC,standardization_body,https://www.enisa.europa.eu/,compliance/ENISA.html,enisa,yes,ENISA,url_authoritative,85,cswp39:governance,92;54;52,active,,,,
ISO-IEC,ISO/IEC JTC 1/SC 27,"ISO/IEC Joint Technical Committee 1, Subcommittee 27 — international body standardizing PQC algorithms for global adoption",92;54;52;62,PQC-REGION-GLOBAL,yes,Ongoing,"ISO/IEC JTC 1/SC 27 Working Group 2 standardizes cryptographic mechanisms for global use. Key PQC work items: ISO/IEC 14888-4 (ML-DSA/Dilithium digital signatures, under development), ISO/IEC 18033 series (encryption, ML-KEM alignment). ISO standards often harmonize with NIST outputs to enable global adoption outside US jurisdiction. Relevant for organizations requiring internationally recognized standards beyond NIST FIPS.",ISO/IEC,ISO/IEC 14888-4:2024;ISO/IEC 18033-2:2006/AMD1:2017,International:ISO/IEC,standardization_body,https://www.iso.org/committee/45306.html,compliance/ISO-IEC.html,iso-iec-sc27,yes,ISO/IEC,url_authoritative,85,cswp39:governance,92;54;52;62,active,,,,
IETF,IETF,"Internet Engineering Task Force — open standards body integrating PQC algorithms into internet protocols (TLS, SSH, CMS, S/MIME)",54;51;52,PQC-REGION-GLOBAL,yes,Ongoing,"IETF's PQUIP (Post-Quantum Use In Protocols) working group coordinates PQC integration across the internet protocol stack. 30+ active RFCs and drafts for PQC in 2025-2026 including: RFC 9881/9882 (ML-DSA in X.509/CMS), RFC 9794 (hybrid terminology), RFC 9814 (SLH-DSA in CMS), draft-ietf-tls-ecdhe-mlkem (TLS 1.3 hybrid), draft-ietf-lamps-pq-composite-kem (composite KEM). 6+ drafts in RFC Editor Queue as of early 2026.",IETF,RFC 9794;RFC 9881;RFC 9882;draft-ietf-tls-ecdhe-mlkem-04;draft-ietf-pquip-pqc-engineers-14,International:IETF,standardization_body,https://datatracker.ietf.org/wg/pquip/about/,compliance/IETF.html,ietf,yes,IETF,url_authoritative,85,cswp39:governance,54;51;52,active,,,NIST; RFC 9794,
FIPS-140-3,FIPS 140-3,NIST cryptographic module validation program,92;52;54,US;CA;AU,yes,2030 (NIST IR 8547 deprecation target),CMVP validation will require PQC algorithm support. FIPS 203/204/205 already published. The 2030 date reflects NIST IR 8547's timeline for deprecating 112-bit classical asymmetric algorithms. Important milestone: all FIPS 140-2 certificates move to the Historical list on September 21 2026 — after that date only FIPS 140-3 validated modules may be procured for new federal systems.,NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,United States:NIST,certification_body,https://csrc.nist.gov/projects/cryptographic-module-validation-program,compliance/FIPS-140-3.html,nist-csrc,yes,NIST,url_authoritative,85,cswp39:assurance;cswp39:lifecycle,92;52;54,active,,,NIST-SP-800-140B; NIST-SP-800-140C; NIST-SP-800-140D,
COMMON-CRITERIA,Common Criteria,International security evaluation framework,92;54,PQC-REGION-GLOBAL,yes,Ongoing — PQC protection profiles emerging,New protection profiles for PQC are being developed. Certification timelines vary by scheme.,CC Recognition Arrangement,EUCC v2.0 ACM,,certification_body,https://www.commoncriteriaportal.org,compliance/COMMON-CRITERIA.html,iso-iec-sc27,yes,CC Recognition Arrangement,url_authoritative,85,cswp39:assurance,92;54,active,,,,
ANSSI,ANSSI,French national cybersecurity agency regulation,92;52,FR,guidance,"2025-2030 (phased; ANSSI recommendation, not a legal mandate)","ANSSI recommends hybrid PQC for new systems via its position paper (not a legal mandate). Phase 2 (not before 2025): hybrid for PQC assurance; Phase 3 (not before 2030): standalone PQC optional. ANSSI issued its first PQC security certifications Sept-Oct 2025 (Thales MultiApp 5.2 Premium PQC, Samsung S3SSE2A).",ANSSI,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper;ANSSI-PQC-FAQ-2025;ANSSI-PG-083-v3-2026,France:ANSSI,compliance_framework,https://www.ssi.gouv.fr,compliance/ANSSI.html,anssi,yes,ANSSI,url_authoritative,85,cswp39:assurance;cswp39:governance,92;52,active,,,,
CNSA-2,CNSA 2.0,NSA mandate for national security systems,92,US,yes,2025-2033 (phased by category),"NSA mandate for U.S. national security systems. Phased deadlines by category: software/firmware signing prefer 2025 exclusively 2030; web/cloud prefer 2025 exclusively 2033; networking prefer 2026 exclusively 2030; OS prefer 2027 exclusively 2033; niche/legacy 2030-2033. Revised May 2025 algorithm document specifies ML-KEM-1024, ML-DSA-87, AES-256, SHA-384/512, LMS/XMSS. Executive Order 14306 (June 2025) ties CNSA 2.0 to federal procurement mandates via CISA product category list.",NSA,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum;EO-14306;DoD-CIO-PQC-Memo-2025;NIST CSWP 39,United States:NSA,compliance_framework,https://www.nsa.gov/Cybersecurity/CNSA-2-0/,compliance/CNSA-2.html,nsa-advisory,yes,NSA,url_authoritative,85,cswp39:governance,92,active,,,,
EIDAS,eIDAS 2.0,EU Digital Identity and Trust Services regulation,54;52,PQC-REGION-EU,expected,2026 (wallet deployments); 2030 (PQC high-risk); 2035 (PQC full),"The 2026/2030/2035 PQC milestones are from the NIS Cooperation Group Coordinated Implementation Roadmap for the Transition to Post-Quantum Cryptography (Jun 2025), mandated by EC Recommendation 2024/1101 (Apr 2024) — not from eIDAS itself. eIDAS 2.0 digital wallets fall under NIS2 essential-entity scope, which is how eIDAS-governed systems become subject to those timelines. Roadmap: digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography",European Commission,ENISA PQC Guidelines;EUDI-Wallet-ARF;ENISA-EUDI-Wallet-Security,European Union:EC,compliance_framework,https://digital-strategy.ec.europa.eu/en/policies/eidas-regulation,compliance/EIDAS.html,ec,yes,European Commission,url_authoritative,85,cswp39:governance,54;52,active,,,,
PCI-DSS,PCI DSS,Payment Card Industry Data Security Standard,52;44,PQC-REGION-GLOBAL,no,No explicit PQC timeline yet,PCI DSS 4.0 Requirement 12.3.3 (mandatory since March 2025) requires documented cryptographic cipher suite inventory and a plan for anticipated crypto changes — effectively a crypto-agility mandate. Payment card industry will follow NIST guidance for PQC algorithm specifics.,PCI SSC,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.pcisecuritystandards.org,compliance/PCI-DSS.html,pci-ssc,yes,PCI SSC,url_authoritative,85,cswp39:governance;cswp39:inventory,52;44,active,,,,
